Placement,Name,Score
1,Guanium,1:05.083
2,Sir Farmalot,1:15.8
3,Loeg,1:21.533
4,FeedMePi314,1:27.017
5,Felicia_Wh4t:),1:31.417
6,Heli sucks,1:36.9
7,Darth Plagueis,1:37.884
8,donkeymule2,1:38.65
9,ZeroLancer,1:40.5
10,L01Y,1:42.183
11,YT-FynnEbsen,1:50.55
12,WOR ZOII3 LAK,1:54.017
13,Cersa,2:02.867
14,WOR Z050 LAK,2:04.434
15,Tequila_233333,2:05.083
16,Westvirginia,2:06.266
17,DogFace,2:12.234
18,SupremeAvocado,2:16.133
19,ikun,2:18.984
20,Andre8657,2:23.15
21,WOR ZOII2 LAK,2:24.25
22,BengPro,2:28.183
23,QuintonMaxwell,2:29.85
24,Affable Eagle,2:31.75
25,Player,2:34.833
26,mt,2:36.783
27,Feinberg,2:38.034
28,Noshiro,2:38.616
29,MATTOCK,2:39.183
30,Ansppy,2:39.383
31,Long4J,2:40.15
32,ILoveThisGame,2:44.166
33,Essi,2:45.6
34,Petrichor,2:46.25
35,Hall988,2:46.934
36,bonk,2:48
37,fafe,2:50.267
38,Doubie,2:51.383
39,Hopper,2:53.35
40,Xerathking,2:57.433
41,Player9729105,2:58.35
42,FraiseTagada,2:59.134
43,need John Thom,3:02.5
44,WOR ZOI1 LAK,3:02.633
45,DiceNukem,3:04.033
46,Aleccrazy,3:04.45
47,Dakota Jackson,3:05.65
48,<elves>,3:06.533
49,940909681,3:06.666
50,01191020csl,3:07.3
51,TheIvyX,3:09.883
52,EECKLLP,3:11.617
53,Liam,3:13.05
54,Nocturnal,3:14.767
55,laplacian,3:17.117
56,Player,3:17.95
57,OG_Gamer2012,3:23.9
58,A'nan,3:24.234
59,SirCr0wley  :),3:26.367
60,spaceflight1st,3:27.467
61,Loconch,3:31.7
62,High Wizard jp,3:37.95
63,Affter,3:53.8
64,default,3:54.35
65,Player,3:57.833
66,Adrian Maskowy,3:58.733
67,crazysheep,3:59.4
68,yjdstcyjdstc,4:07.65
69,Polaris,4:11.817
70,Player,4:14.1
71,Kevin,4:14.883
72,Miz EG,4:17.95
73,Ayeccs,4:20.367
74,lpsz,4:30.35
75,h__y__x,4:33.4
76,wind,4:36.017
77,StarrySkyDF3,4:36.266
78,noxgloo,4:38.633
79,lxl bouns,4:42.7
80,ZungGaaYi,4:44.95
81,PHUC DU,4:45.334
82,Vert,4:46
83,ToddChris,4:46.483
84,Player,4:48.966
85,Objectsp,4:50.784
86,Ares,4:51.534
87,ronSold,4:54.15
88,dziadek981950,5:01.867
89,chuckddd,5:02.5
90,Betinho.RGLN,5:03.666
91,Failure,5:07.6
92,SebasTheGamer12,5:09.233
93,wind3366,5:18.683
94,BHD,5:19.983
95,Raxzor,5:20.316
96,GnMvD,5:20.783
97,Captain-Gunfire,5:21.717
98,Wythe,5:23.1
99,Snek,5:23.8
100,Player7369159,5:28.517
101,Slosko,5:28.85
102,Player6396065,5:30.567
103,Night Fury,5:33.266
104,Superbrad,5:38.216
105,ALL_INSTAS!!!,5:41.983
106,Qm3,5:44.8
107,SomeWabalan,5:45.183
108,mraggi,5:56.067
109,ai he,6:03.15
110,nuohu,6:04.033
111,ANDERSON RUJI,6:05.85
112,Arcturus,6:07.917
113,Harshad,6:07.983
114,A DISPLAYNAME,6:08.017
115,majorstudconan,6:12.533
116,c0ntext,6:16.733
117,Kyle,6:16.867
118,Player,6:17.617
119,rtthrd,6:17.833
120,Viiv,6:18.05
121,uvclive,6:19.6
122,Shaggy,6:27.1
123,Mawo,6:30.567
124,abcdefend,6:32.033
125,doudoubtd,6:35.083
126,Pudding,6:45.883
127,DocDapper,6:47.116
128,firm,6:48.334
129,obama care,6:56.633
130,PPT,6:59.666
131,1369523897,7:06.1
132,Supermonkey,7:06.867
133,etihw,7:08.133
134,Devin Kurant,7:08.517
135,Gu,7:08.883
136,ReWolverine,7:09.75
137,3062283445,7:12.133
138,Aaron Smith,7:22.017
139,Tijmenbee,7:22.7
140,Louis.Yu,7:32.367
141,C0nRad,7:32.984
142,mdeschu,7:34.484
143,Honeyfin,7:39.45
144,20245414,7:40.35
145,marcel_siema,7:41.667
146,Jeffy iz Best,7:52.917
147,toshii,7:54.35
148,Jerry,7:55.784
149,uniquewine,7:57.45
150,--Thefool--,7:58.4
151,Mr. Teeny,8:00.884
152,K,8:02.183
153,TopFreezer1811,8:04.05
154,Anderwar,8:04.866
155,DarkHMR,8:05.833
156,XigZus_PL,8:13.4
157,Kerone,8:18.283
158,EcoAlpha,8:19.767
159,NO_MCCXXII,8:20.683
160,1140735506,8:24.3
161,Support,8:24.584
162,Wobbles,8:25.967
163,Erky,8:26.033
164,Rampatse,8:26.184
165,114514,8:35.2
166,Player,8:35.283
167,miracle,8:36.05
168,2978710005,8:37.483
169,1624933654,8:42.666
170,dd8687336,8:49.034
171,Luna,8:53.167
172,Oliver,8:56.083
173,boots160,8:58.85
174,Diamondorun,9:02.116
175,song,9:02.866
176,Sietse Ok,9:04.95
177,AOmonsta,9:10.434
178,zhou123lv,9:11.084
179,FREEZING,9:19.35
180,Gergsi,9:21.034
181,DeadBush,9:25.033
182,Cyanea,9:25.1
183,LonelyDog,9:28.416
184,Kili33 33,9:30.7
185,Nighti,9:30.917
186,Jorcy,9:35.283
187,destinyxwq,9:36.25
188,JACK4YUAN,9:38.034
189,KiwiFreezer577,9:47.267
190,Leonidas,9:49.95
191,Smurfblade,9:51.566
192,wclei,9:51.9
193,- Apprentice -,9:56.167
194,Javiet05,10:00.9
195,JCProgrammer,10:01.433
196,MAco,10:02.517
197,Patkall,10:06.65
198,Alex,10:07.283
199,G-GOAT,10:07.316
200,iuueeng,10:07.65
201,87,10:07.833
202,Player,10:10.3
203,paradise,10:11.217
204,Berkano,10:11.433
205,ZER0ii,10:12.2
206,Capipgk,10:13.466
207,A6503,10:13.7
208,SonofaBishop,10:13.933
209,CHCR97,10:14.45
210,Shmeen,10:19.817
211,1315721336,10:20.417
212,LoS,10:23.366
213,Dylan Bechtold,10:27.217
214,SteelMushroom,10:30.05
215,Vizzini,10:34.316
216,Swalsh_1,10:37.65
217,Introlyse,10:38.55
218,FafelekOP,10:39.467
219,Khavik,10:41.283
220,Player,10:42.067
221,Kralju,10:42.9
222,Christophero87,10:43.017
223,GooZ,10:44.667
224,Teffg,10:45.717
225,IndoorWallaby8,10:47.566
226,bububu,10:52.217
227,MrOrigami,10:56.533
228,marcoggop18,11:01.45
229,1914545749,11:01.716
230,UniG,11:05.4
231,Gold-Games_SK,11:06.55
232,lipemaran,11:06.734
233,lucT0T,11:07.05
234,CappuChino,11:10.516
235,AinoYuushya,11:12.65
236,Zomb42,11:14.9
237,YT_@YinSan,11:16.1
238,ElasticmangoYT,11:18.783
239,Giorgos,11:22.067
240,693472654,11:22.817
241,MeowSummon,11:24.367
242,Genio250,11:26.733
243,I_Love_Maids,11:27.117
244,Player,11:32.533
245,Lilo14,11:33.683
246,Warper,11:36.2
247,BadBoiEduard,11:37.784
248,GHUNDERPLAYER,11:40.283
249,aammo,11:41.55
250,Player,11:43.25
251,ValiantBadger22,11:45.25
252,Mailman2500,11:45.867
253,Yukimashiro,11:46.034
254,bankennkun,11:47.134
255,tbiiucdanhxd,11:47.767
256,KiriKiri,11:47.85
257,Rhythm07,11:47.9
258,Reasons why,11:48.65
259,TheBolibas,11:49.333
260,Yunyunyu,11:51.584
261,Player8614771,11:51.884
262,wuhaha,11:52.05
263,Bobby,11:53.366
264,ForeverLove,11:54.267
265,Poul,11:55.9
266,Fufuji,11:57.25
267,playersamp420,12:02.2
268,Ethan,12:03.233
269,The-Epiphany,12:05.866
270,BlueTOM,12:06.25
271,Bsbisa,12:06.3
272,Bartekur,12:09.4
273,IamHusky,12:09.5
274,dretti,12:10.134
275,Cryptozoologist,12:11.367
276,skrunkewunk,12:11.917
277,AcerZ,12:12.366
278,elvarco2,12:14.134
279,Vortexussy,12:16.05
280,Cedartree,12:16.967
281,A1phaeus,12:17.567
282,DonnieSharko,12:20
283,tsg,12:23.766
284,PortugaMg,12:24.2
285,Li,12:26.117
286,SikaObi,12:26.866
287,topaz2698,12:27.483
288,sashb19,12:27.567
289,Gold-Games,12:29.75
290,czhzdzd,12:30.417
291,An Outsider,12:31.983
292,Staphaureus,12:32.417
293,Alleoni,12:33.067
294,Derpy_mcderp,12:33.25
295,chumo,12:33.917
296,Faustino,12:33.95
297,Visomero Brabo,12:34.567
298,SHS_tamber78,12:36.583
299,kanaki02,12:39.933
300,SagittaBlue,12:40.284
301,satanangelking,12:40.517
302,moto4ok,12:43.016
303,Jaboeshoe,12:43.017
304,Luizfcfelix,12:44.317
305,_Londres,12:45.4
306,maiya017,12:45.65
307,HuySky,12:47.483
308,Heng,12:48.15
309,budingdingA,12:49.95
310,arno.rings,12:51.534
311,teo-august,12:54.333
312,Zote,12:55
313,Player,12:55.15
314,bond2501,12:55.383
315,Dohhaaja,12:55.5
316,Driver 6865,12:56.2
317,Player,12:56.95
318,Lukki,12:59.5
319,OiBoiZ,13:01.133
320,YT: Kwko,13:01.333
321,Player,13:05
322,Pancake <3,13:05.45
323,King Arthur,13:06.234
324,GAME OVER,13:06.417
325,Wrath,13:07.317
326,William,13:10.85
327,Bread_Overlord,13:11.367
328,Irfan MN,13:11.516
329,hoovy,13:12.1
330,Manisdor,13:12.733
331,Blackcobra,13:13.867
332,N8,13:14.666
333,yoav68,13:15.85
334,QLPIK,13:16.2
335,WEN_MONSTER,13:17.15
336,Hyoretsu,13:18.9
337,Bridge,13:19.266
338,Player745891,13:20.066
339,Civet cat 1,13:20.284
340,Bumsack Ocrumbo,13:22.184
341,xiaoxi,13:22.466
342,live22morrow,13:22.717
343,Rien17feb,13:22.833
344,KmC,13:24.116
345,bbbs,13:24.383
346,TheKingOfAllV2,13:24.534
347,sadsad1370,13:25.45
348,Carnotoast21,13:27.25
349,renatobsf,13:27.25
350,Player,13:28.3
351,OJ,13:28.333
352,Kanon,13:29.3
353,hakka17,13:29.367
354,Magicskill241,13:30.033
355,Mr McDunkin,13:31.417
356,Miko72,13:33.033
357,AwesomePhoenix,13:33.9
358,Agita,13:34.25
359,SirNButter,13:40.2
360,Kananugett,13:42.3
361,justdumbcat,13:43.634
362,SzychU,13:44.384
363,mitaka_fortnite,13:45.167
364,mrsquie,13:45.233
365,JordanTCFANN,13:45.433
366,Jimjam,13:46.833
367,erick,13:47.867
368,Player3291062,13:49.467
369,hkfg,13:49.716
370,Greaterstandar,13:50.1
371,reflect,13:52.667
372,P,13:52.7
373,Redy the bird,13:53.95
374,Duong,13:55.983
375,zhaoeither,13:56.25
376,itiskop,13:56.5
377,fleischi2,13:56.95
378,Waffieepic,13:57.117
379,PlasmaHD,13:57.6
380,Maciej,13:57.617
381,Paking444,13:58.517
382,kdogg8173,13:58.684
383,DARTH ENIGMA,13:58.833
384,kinofalcon,13:58.85
385,ckdd,13:58.85
386,Player4390636,13:59.483
387,-Kev2048-,14:01.067
388,Player8414004,14:01.334
389,TandborsteN,14:02
390,Huynhbob1,14:03.967
391,ever,14:05.567
392,Nebula Dream,14:06.1
393,yapzhongqing,14:06.817
394,Papayn,14:07.917
395,benboy7887,14:07.95
396,Jalenn10,14:08.083
397,Stin083a,14:08.084
398,narcotic_9000,14:08.1
399,P Y 3 W W,14:09.05
400,TenKtoryLiczy,14:09.267
401,OnlyfansLover,14:09.633
402,taiks,14:09.867
403,El Barto,14:09.9
404,Epic Klien,14:10.183
405,WalkingBrain,14:10.433
406,Smith Keith,14:11.016
407,TheCaker,14:11.1
408,no one,14:12.883
409,TheCaptainwho,14:13.3
410,Player,14:13.55
411,hirogracz,14:14.617
412,Ariky,14:14.633
413,Bloon Master,14:14.717
414,Chaste0702,14:15.15
415,Dominospaghetti,14:15.383
416,Sercigamer2.0,14:15.417
