Placement,Name,Score
1,Fenix-YT,92960,60:41.6
2,MrPietrek :),93435,43:32.2
3,Nos,93705,47:24.1
4,Peter,94215,44:26.9
5,Charlie51135,96235,43:04.2
6,SupremeAvocado,96435,30:15.1
7,HSpartaL,96660,38:38
8,Wilzy,96910,38:49.3
9,Jakey0122,97070,45:29.4
10,Maistas,97190,39:07.8
11,anonekpro,97335,16:04.3
12,Hyperion,97590,42:05.4
13,IchM4gKekse,97770,41:33.4
14,TechTerr0r,97840,30:18
15,Andromeda,98265,39:18.6
16,Spoony,98575,38:25
17,AwesomeWizard4,99000,40:15.1
18,hotj3w infinit,99020,26:34.2
19,Algi,99380,41:23.8
20,zuimeng,99520,55:54.5
21,deez nuts,99915,40:01.7
22,YEETUS_S,100660,52:59.9
23,Los3r,100675,48:56.9
24,Sharpcon 400,100710,41:26.2
25,Heli sucks,100860,38:54.2
26,Hopper,101050,37:18.9
27,EWIE10,101180,45:18.8
28,jmwjmw27,101205,42:09.4
29,Khaos,101390,43:44
30,elodie,101410,37:56.6
31,TheProz2006,101410,44:11.9
32,Sniper 355,101555,38:48.2
33,Jerry,101585,42:17.2
34,Kyrond,101700,41:37.6
35,M3mes,101740,42:19.2
36,SugarryBoi,101745,39:51.8
37,Jumbledmind24,101770,39:42.4
38,Kyu,101830,40:54.1
39,terminator,101885,44:16.3
40,Lord Claro,101935,40:25
41,Rampatse,101980,39:22.8
42,Janky,102005,36:24.1
43,chickenshark,102005,43:59.2
44,moto4ok,102050,40:24.4
45,BloonGoon,102115,39:11.6
46,Kyle Smith,102260,38:42.3
47,vike275,102290,41:45.9
48,NaanBreadXD,102300,44:56.6
49,Vania,102350,42:43.8
50,morethingstodo,102390,43:57.7
51,Visomero :),102395,41:46
52,VioletHero1760,102415,43:44.4
53,Alex,102425,39:56.4
54,HunkBoy,102445,43:02.8
55,Diamondorun,102460,39:15.8
56,Lino,102460,39:17.8
57,Greendragon,102470,38:57
58,Shadowball88,102505,36:38.7
59,FluffyUnicorn,102530,44:41.2
60,Striker,102560,39:40.8
61,Boeo,102560,42:50.5
62,Gunnar,102565,37:11.7
63,Alyserse,102580,39:21.1
64,anonymous_,102590,41:04.2
65,Mopp,102600,41:51.2
66,Ariky,102605,36:22.7
67,Ns1018,102605,40:56
68,Supermonkey,102625,39:38.8
69,Vert,102645,40:59.5
70,800lb Gorilla,102645,40:59.9
71,Liew,102670,40:25.8
72,Big beanos,102670,42:32.8
73,Regen,102675,35:56.6
74,obama care,102705,40:17.8
75,song,102710,39:58.3
76,dmpape11,102755,39:16.6
77,mrsquie,102760,43:22.9
78,Parasollie,102775,37:37.6
79,Wallus,102780,40:33.7
80,BlueBi0 :),102795,41:04.3
81,denn :),102830,40:45.9
82,Zoobs,102880,43:38.9
83,cilliwer123,102920,41:19.3
84,Dragon Hunter,102930,42:40.4
85,sauce_dude,102940,42:41.5
86,NoClo,102945,36:04.1
87,likuigg,102945,42:58.9
88,Poogey,102955,38:24.3
89,FreezingDog152,102955,40:23.8
90,Sprinkles152,102960,39:56.6
91,hanomed,102985,38:17.3
92,corgigamer,102985,40:36.8
93,Ibiza,102985,41:53.2
94,Punji :),102985,41:56.7
95,Romorlau,102985,42:11.5
96,Bee Chanoknan,102985,46:23.9
97,MamaParagonT,102995,37:32.3
98,Harshpreet,102995,40:25.2
99,Sakana,102995,41:17.4
100,ILoveThisGame,103055,37:26.8
101,Ankan,103055,44:18.4
102,TJK07,103075,38:57.4
103,Player,103095,39:18.5
104,Tspike,103100,42:30.6
105,Power,103105,40:22.6
106,BroCat58,103200,42:26.6
107,Jerusalem,103270,38:56.4
108,AwesomePopper3,103305,43:54
109,nguyentony99,103335,36:15.1
110,Player,103340,44:46
111,Max,103345,40:55.9
112,Pancake <3,103375,38:45.7
113,Zony,103375,43:29.6
114,Mackan Rules,103390,55:19.7
115,HolyHerb,103480,39:56.7
116,LEGEND1169,103480,42:36.1
117,YoPlayer,103550,36:53.1
118,LiL $KRiL,103550,39:28.7
119,SebasTheGamer12,103550,39:53.7
120,ThunderWolf,103605,39:49.4
121,NoHa,103640,37:46.3
122,DLUM,103905,40:51.2
123,Spiff,104205,36:59.2
124,PeachPanda4409,104435,41:45
125,Nico9723,104455,35:37.2
126,gungrave176,104875,40:38.6
127,tbsp,104930,35:20.9
128,pingklol,105470,41:09.8
129,Gladiator,105830,36:49.9
130,Tee,105850,41:29.4
131,LpoolBomber,105855,39:56
132,WaspSting,106630,40:41.3
133,Renegade89,106690,43:32.5
134,Gielepino,106805,34:40.7
135,LogicLogin,106820,42:47.5
136,Destro,106950,31:46.9
137,Objectsp,107140,42:01
138,Calone,107210,45:10.1
139,Zhua,107290,39:10.5
140,ImToe,107380,42:57.8
141,Emmac,107465,39:23.4
142,A DISPLAYNAME,107680,39:49.8
143,Aronn9 :),107785,39:39.5
144,psx,107820,42:33.7
145,Bambooo,107865,50:32.9
146,LennyCrafter,108025,41:43.1
147,Caleb Elliott,108115,42:58.6
148,N0name_14,108235,41:36.3
149,TehMaster327,108345,42:06.8
150,mysaru,108365,48:52.1
151,G-GOAT,108760,37:50.6
152,RomanBab,108845,43:05.8
153,Jackksun,108850,39:53.8
154,541113whu,108870,44:33.6
155,Munch,109370,40:12.3
156,Najdus,109435,39:51.8
157,El Ratto,109480,43:03
158,Maciej,109570,40:52.4
159,Samualgod,109605,38:51.5
160,Cyrkill,109620,40:01.8
161,saif13128(:,109715,42:42.4
162,Boni,110075,45:42.3
163,Enderkill,110220,29:45.7
164,Setsuna,110630,41:09.4
165,Julian Fei,110720,44:18.9
166,Echo.UwU,111050,42:53
167,Player_0,111285,35:16.6
168,Gamerman11,111580,10:29.4
169,mfpinyohead,111685,39:34.4
170,IceAce4088,111745,37:02.7
171,vitkon213,111775,35:44.1
172,Jac0b,112045,42:53.1
173,Lit Husky,112210,61:47.5
174,Dave,112255,44:55.3
175,Kaushik,112295,36:44.1
176,Georgie,112335,40:17.5
177,Teits,112380,46:48.4
178,jeox,112417,40:01.4
179,Luke99M,112680,39:34.7
180,186934,112685,46:33
181,Basti :),112765,45:40.6
182,SpiderDude,112840,39:55.4
183,diced in paris,112975,42:35.3
184,Herobrine,113055,39:18.4
185,YunNova,113075,31:10.8
186,ClosestForest,113335,44:47.3
187,Jeevan,113440,59:16.2
188,TealZebra1324,113580,42:59
189,kittycatliver1,113585,44:42.8
190,Scott,113600,40:18.5
191,Chara,113650,41:35.7
192,Helstar,113665,44:37.6
193,dirtbags,113670,40:23.5
194,FroStee,114080,29:43.4
195,Yuri Tarded,114085,40:06.3
196,WorldPotato11,114130,43:54.6
197,machu000,114150,39:53.3
198,Hunter,114170,43:24.2
199,crazy man games,114175,45:31.1
200,Elder Price,114245,42:52.7
201,ZK_Kondzio,114390,38:20.1
202,Alt profile,114400,40:03.5
203,UrMo_mIsHot,114585,33:27.5
204,Tiger,114615,38:28.4
205,Dakota Jackson,114895,31:59.8
206,DeathMan,114920,42:42
207,Janda Forever,114975,40:17.3
208,415739421,114980,43:32.3
209,Dixu,115080,41:56.4
210,MrPointFifty,115100,31:26
211,bllade,115120,43:43.4
212,ConIsOp,115640,41:55.5
213,DriftGod,115900,37:38.7
214,Etienne,116145,40:34.3
215,TopPhoenix1607,116215,42:39.2
216,Zero owo,116505,39:55.8
217,TomiYea,116700,61:55
218,Kiwin,116720,32:14.2
219,Lunne,116735,59:28.2
220,BreakWolfer,116845,45:14.2
221,- Cyclop3s 49 -,116915,33:32.1
222,NerfDartling,117375,40:51.6
223,Vitrux,117455,31:20.9
224,Axelocity,117600,45:09.2
225,Whuh Thuh Fuh,117625,60:17.8
226,Cube,117720,57:04.9
227,M1200,117985,38:10.5
228,Unelevate,118390,36:45
229,Hachey,118645,35:05.8
230,ComplexOri,118660,31:10.2
231,Adrian Maskowy,118660,59:16.9
232,InfinatEmber,119145,29:09.7
233,ilovemoabshove,119265,58:52.4
234,Miko72,119295,30:39.8
235,Johannes,119445,42:12.9
236,Sichisichse,119500,68:21
237,Flame,119505,42:22.3
238,Zaphenzo,119620,56:48.8
239,114514,119645,66:04.4
240,InfiniteTrash,119765,39:50
241,Night Fury,119800,43:38.4
242,Sala,120045,37:48.3
243,Just a noob,120135,24:44.4
244,FeedMePi314,120300,43:59.4
245,Cerulean,120375,38:23.3
246,AurusT,120470,41:32.9
247,Brandonadragna,120520,40:21.8
248,holy monkey,120665,24:13.6
249,Pascal,120955,32:20.1
250,sauda<3,121550,34:42
251,0 _O,121560,28:08.4
252,Jakob GHG,121715,28:48.3
253,tAdPole,121790,32:26.6
254,Personman,121870,38:01.6
255,IceElite5108,121890,24:48.5
256,Triggs,121910,27:17.1
257,Zero Two,121910,58:42.9
258,Deatharmy102,122355,28:26.3
259,StarlordGuyMan,122365,30:19.7
260,majorstudconan,122380,56:38.9
261,Super C,122400,29:26
262,PSI,122405,27:58.7
263,masmaves,122485,34:05.4
264,NinjaAce56121,122535,29:06.3
265,TTsWars.URL,122535,32:02.1
266,Christoph,122605,28:47.5
267,Zerozire,122620,30:15
268,MonkeyAce58486,122730,29:22
269,niels,123020,30:23.9
270,Huka74,123035,27:08.3
271,yakgoesbaroo,123100,24:54.5
272,Solar,123115,37:26.2
273,Travis47,123170,32:55.4
274,Recruit,123225,45:57.7
275,ro4564,123450,25:23.6
276,TeodorJ,123875,41:25.6
277,Ark Prime,123915,53:40.1
278,AmberLeader198,123985,31:12
279,Ninja monkey,124065,30:18.8
280,PapiWood,124085,28:37
281,Pacific,124130,40:40.5
282,Springduck,124245,27:39.9
283,RandomRain,124280,32:40.6
284,Westvirginia,124470,27:53.6
285,Guz00,124535,28:50.2
286,Jolli Lolli,124585,47:20.3
287,Failure,124825,49:57.8
288,TheKingOfAllV2,124855,30:16.1
289,Linkin,124940,29:31.2
290,Manisdor,124960,27:10.5
291,Drew,125005,37:27.6
292,Redfoxyboi,125010,28:23.3
293,akonRiis,125055,25:47.5
294,Eltaz,125065,39:49.3
295,ILoveMen,125215,28:03.4
296,Mister_Weaboo,125290,32:50.2
297,+ Noodles 02 +,125590,55:50.2
298,Lickay,125625,38:23.7
299,FlixelKlicker,125675,28:54.9
300,Player,126000,38:11.4
301,Ambr0,126375,25:51
302,locus17,126425,42:12.4
303,AC11,126465,41:50.6
304,NotSure,126500,30:02.9
305,Somnolence,126600,31:10.5
306,Ability,126740,29:35.8
307,EloyLuna,126775,27:24.3
308,balbo,126875,30:39.9
309,Babo,126900,30:28.2
310,schmusekroko,126985,27:01.9
311,lukas_pukkas,127065,30:55.6
312,Banana,127160,38:57.6
313,Gonztuzgvo,127220,42:17.7
314,Cal5,127285,26:54.1
315,ValiantBadger27,127384,43:36.1
316,YTSEJAM,127460,26:39
317,XenoBlivion,127480,39:40
318,TheMonkeyKing,127615,38:45.2
319,Dabloon,127755,34:17.4
320,Moin1010,127910,31:16.3
321,oKampuss,127975,30:17.4
322,Dhuunta,128035,54:08.3
323,Ningasebu,128065,56:15.1
324,CSLA1998,128210,37:49.3
325,xrlylyl,128235,47:31.5
326,Yimyum,128305,26:35
327,Rheaneas,128345,33:54.6
328,Phil_146,128620,31:13
329,Ramis,128660,22:32.3
330,TheKing11199882,128785,30:34.4
331,Die_nuss3000,128945,31:13.8
332,TIMO,129005,37:30.4
333,Kai187439,129055,30:45.2
334,waner,129145,38:43.5
335,Klefki98,129155,32:22.3
336,matan,129395,30:18.9
337,0uel1lw3,129425,39:19.7
338,Shazza,129460,25:31.9
339,KiligRose,129505,36:00.1
340,wah,129675,36:54.4
341,schuschi,129755,22:59.8
342,JALSG,129800,36:35.8
343,BrightGiraffe11,129935,37:22.3
344,ThaEmprahh,129935,38:38.8
345,Marco,129945,41:03.1
346,FlyingNick,129955,39:03.9
347,Smashcake,129975,43:40.4
348,FeedMeNachos,129985,29:20.2
349,Lopertyup,130000,54:44.5
350,Extr3m3,130200,44:34.2
351,J3SUS,130455,39:42.9
352,When City,130680,20:26.9
353,Im a cat,130695,39:31.2
354,Pavel_Bure,130795,39:31.2
355,swedishchess11,130820,40:35.6
356,80sthrash,130910,25:10.6
357,AHardyLopunny,131015,32:25.5
358,TH-714,131060,30:38.7
359,IAmMenkey,131060,40:57.5
360,KingZHK,131195,29:13.8
361,TheBADplayer,131250,38:12.1
362,PurpleCarrot,131250,44:16.9
363,the panda,131270,28:56.8
364,MrPlasma,131385,23:14.5
365,Kusinaata,131415,26:09.8
366,Rafa_50,131495,53:08.8
367,Septher123456,131525,24:25.3
368,Valen,131550,30:26.3
369,weenoo,131565,44:31.5
370,lanabananarama,131650,39:05
371,2632490895,131725,38:11.6
372,Player2131634,131770,23:29
373,NKinsella1,132050,28:06.4
374,Reasons why,132070,38:31.2
375,BloonTooter,132080,41:52.8
