Placement,Name,Score,id
1,MrPietrek :),1:03.75,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
2,WhiteNight,1:03.767,9cee45dfd6c0fef44a448f190e21b324c9041be89f418b3d
3,Guanium,1:11.9,9ce942dedd93a8a61e13871f5b7be77ec8054beacc428e31
4,donkeymule2,1:13.683,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
5,AroundAverage,1:20.183,9cba44df8cc4f9ac18448a420b72b475cc0c1db8ca19896d
6,Jandalf (Real),1:26.567,9cea43d88996fea44d47da1d5f20e07f9d034eb99813df6c
7,Patthebigmonke,1:40.533,9fbf12828e9fada44d41864f5d7ae575cc5014b99711dd6d
8,Wugezideming,1:44.117,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
9,YT:ANDRE8657,1:44.3,9fbc438bdfc2aca21b148a4a5977e270cd501abb9c15dc6b
10,animal,1:48.55,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
11,Axyom,1:51.517,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
12,ZeroLancer,1:52.266,9fbe46ddd8c7afa41c47d94e5a76e074ce5615edcf17d038
13,Hachey,1:55.084,9cea12888c94adf04942884f5b77e1739d0715b8cb46dc31
14,FeedMePi314,1:56.35,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
15,Evan,2:02.867,9cea128bd795aff019168d4a0c20e374980048b5ca43d06a
16,Gone,2:12.984,9fbe1fddddc4fef64d41861f5873e377c9524eb99614d86c
17,WinterFox7,2:25.567,9cb642d9d69ef9f01e4287490b71b070cc554eef9f16df3b
18,SupremeAvocado,2:30.433,9cb812d8dd94ffa31f40d9430d22b726cc0d19b497198b30
19,Jerry,2:30.517,9cb841d98a96aca41f10d94b0a76b421ce5614b49611d83f
20,Kerone,2:34.35,9cea168adb95aba14b458b420b25e77fce551dbbcf158a31
21,SomeWabalan,2:36.95,9fbc1ed98c92fcf34b42dd1d0971ef779a571aba9619896d
22,Creator,2:37.566,9cba12da8bc2fff64b118b195870ee21ca5514bdc8458d6e
23,Cici,2:38.283,9fbc1edf8c96a8a74d138d4f5a74e670c8571fbdcb16d06c
24,Hopper,2:45.383,9ce94183dc95faa14e458a4e5871e77f98511ebe9c41d13f
25,choccy onion,2:55.016,9fbd148f8e97acf64916da495f21ef74c5514eef9d458b3d
26,User-a5549921b4,2:57.85,9fbc468adc96adf410138c425926e577cf044eea9e188b3d
27,K4S6M,3:02.917,9ceb1e8ed994f8a41b41d91f5e71e423c95649b49c13893d
28,DotTrevv,3:03.483,9ce91fded892fea41d1686190c21e370cf031fe998458e3b
29,Vert,3:03.833,9fbf13d98dc0fba74b40d94a5a74e4749d021fbe9a42da6a
30,A'nan,3:05.1,9fbc128cda95a8f61b43894d5a21e0269a0c4ebfcf448b3c
31,Cinta_ku,3:05.466,9fbf178e8b96a8f718178b4b5c20e773cf5014bb9e198a3f
32,Monster,3:09.45,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
33,royalor,3:09.933,9fbb44d98cc2faa64c17874e0b20e7769f0414e899438e31
34,SquashMyMouse,3:10.084,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
35,Ayeccs,3:13.417,9ced158ad6c7abf74d408e1e5f22b424cd0148b99a43dc3f
36,WOR ZOII3 LAK,3:16.666,9fbc428fdf94f1a74e43dc4e5973e07fc90748b8cb148a6a
37,pllan,3:17.783,9fbe13de8e91fea51116dd420e7ae67fce0114bccb17dc69
38,doudizhu,3:18.434,9fbb46ded79ef9f31d40da185b76ee24cc5014e8cf46d039
39,HeroicTiger1003,3:18.617,9fbd16dad79ef1a14a408b4f5a25b270ca501dee9c41d83e
40,Xerath,3:18.784,9fbc438f8a90f1f34c14db4b0e20e622985249b89e18d930
41,Loconch,3:22.066,9fbc42d9d9c5a8ac1e408a4e0d26b5719f014eb49b178c3b
42,2649935474,3:22.367,9fbe44d8dc91f9a510408f180d20e27f9a074befca13d93d
43,RiceandDice,3:25.534,9cb81682d89faaf64a1186195f75b574cc0d19bb9a458c6e
44,DonnieSharko,3:26.433,9ced158a8b93acf64b168f485721e071c8044cb89612d838
45,7,3:27.233,9cb81683d993fba24947dd4a5c21b471cc0d18bfca438c38
46,Dakota Jackson,3:33.533,9ced428adcc2fdac4b14db4c0b74e275cc554fbeca19df30
47,Polaris,3:38.25,9ce94288da96f8a718438f485676e77ecb0248bf9d448a69
48,Player,3:39.816,9fbc448c8b90acf01940891f5970e174cc021cbbca15d869
49,Dragostorm,3:43.867,9fbe43dddec3f0a01b44864b5e74e521cd0114b496148b6d
50,Quiet_light,3:50.15,9fbb438ade93a8f34e42884b5e27b026c50019e89646dc38
51,2586154638,3:57.4,9fbe13828c92f1f61a45da435d74e573c40249b5cc15db6c
52,Aleccrazy,3:57.917,9fbf15dad79fa8a74e448d190c7be771ca5749b99914d130
53,bagguette,3:58.95,9ceb1188df90fda04a43871a5b27e770ca041fb89f448c3f
54,A DISPLAYNAME,3:59.767,9fbc1edd8b90acf61d17dd1e5b70b575cd041fe99744d869
55,Salmonella,4:04.834,9cee1f8ddcc7f9a21f47864f5722ee22cc5714ea9d17d93a
56,WOR ZOI1 LAK,4:07.217,9fbc46df8e9eada21e458d4e5821ef2498021ee99d17d838
57,ultimatescotty,4:08.45,9cb8128cdec7f9f7104a8c420d70b422cc0d4fef9f43d169
58,megumi,4:12.133,9fbb148f89c4aaad4d44db1a5f21e526cf5118be9817db6c
59,etihw,4:17.683,9fbc1e8ed79ffca11f41dc480c71b4769a041fbec8118e3d
60,EcoAlpha,4:18.55,9fbc46d9d9c5f0a61913dd1e5f22b2249e0d4bb49b138c6e
61,LEEEROOOOOOOY,4:20.45,9fbc468bdcc2f8ac4d43de485926ee769f5615bb9e448c39
62,uvclive,4:20.95,9ceb458a8991f8f1494b884c5677e471cc024cbe9714df38
63,ZungGaaYi,4:23.534,9cea168a8a91abf14a448b1d0c76e77fcc554ce99b108c3c
64,lenndoli,4:26.15,9fbe178edf93f9a11a11891f0a20e57e980c15b89b148d31
65,GQC,4:27.083,9cea4183d9c0afa74d16db1a0e7ae323cb574cbd9e15d06b
66,lpsz,4:28.717,9ced148eddc0f0a1194787480976ee76ce521abf9e42d939
67,LunchPunchCrab,4:32.334,9cb615ddda92a8f74a428e485722b277cc554eed99118a3c
68,Itna,4:34.833,9ce945dfde94aba71c178d425725e674cb041ab9c819df6e
69,0ldman,4:36.45,9cb81e888990fca710108a4d5770e023cc501fef9f46da30
70,Hypernova,4:37.85,9fbc11ddd7c5fda51b14da185a7ae121ce5618b4cd43db6b
71,Player,4:38.05,9fbb1489d6c3fea64a418d4b5671e0729e051cb5cc178e6d
72,camilo_figueira,4:43.883,9fbe468f8cc2adf34945864c5d72e72598004cbccd45db3a
73,General,4:45.884,9fbb1edd8a92f9a54e4ada1f587be7779f5515e89b188939
74,IORI,4:48.567,9fbb108d8ac2aff14b11dd4c587ab0769a5648e99846dd39
75,SuplierZWTF,4:50.217,9fbb438b8a90f8a01e148d4d5e70e073cf554fbacf188c6e
76,Wulihard,4:51.583,9fbe12dd8dc7fbf71d478b4c5e25e576c5011aee98428e30
77,Andi N,4:51.95,9cb91188de9fa8a4184a8e495673b473cc0d4bbbcf138e31
78,RT.Nino,4:52.5,9ceb428f8b91fcf11b14dc4f5926e5769f511db59d138c6b
79,IndoorWallaby8,4:53.267,9fbf46888dc7aba11c108f4c597be423ce051bbacc18da3c
80,rtthrd,4:53.483,9fbf128edac7fba410178f1e0d21e42198561bee9f11df6d
81,lemu0202,4:53.683,9fbb44dfdfc2fba749168a4c5871ee76995149b59a42d86d
82,Superbrad,4:56.366,9ce9148ed79ff1ac1e1687425d22e77fc8034cea9c11df3c
83,ALL_INSTAS!!!,5:05.467,9ced1f83d9c3fda511428e4f5b20ee71c95214e8cd43d139
84,Number1NkHater,5:10.75,9fbb1f8edac3fea0194486420d27e025cf511ebcc846de6b
85,ophelia.,5:18.734,9fbe41d88d97fda01f13d9495825b071ca574cbd9e14dd3b
86,Lawrence_nz,5:19.9,9fbd45d8d791ffa74e468b435c26b37f9f511cbfcb17db3b
