Placement,Name,Score,id
1,MrPietrek :),0:34.883,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
2,YtseJam,0:34.933,9ce941d9ddc2afa3494a8f495d70e77f98071ebacc118b6a
3,Gone,0:35.233,9fbe1fddddc4fef64d41861f5873e377c9524eb99614d86c
4,Olinequ,0:35.3,9fbf158ddb93afac1f4b8a1f5874e122c9574fb89c168e3f
5,BTD 6 NO0O0B,0:35.3,9cee418f8a93fca01f468d1a5d26ef25cc064be8cb19dd6b
6,- Cyclop3s 49 -,0:36.567,9cec1edfd99efda74e178b4f5a70b321ca0348e99b14d169
7,tbsp,0:36.767,9fbd43d8dfc2faa44d138f4c0c70e726cd551fb5cd148a6c
8,Overclock,0:37.233,9fbd15dfdf97aca2494b86195874b776c50d14e99e42df6e
9,FeedMePi314,0:37.267,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
10,animal,0:37.35,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
11,AroundAverage,0:37.567,9cba44df8cc4f9ac18448a420b72b475cc0c1db8ca19896d
12,Patthebigmonke,0:37.633,9fbf12828e9fada44d41864f5d7ae575cc5014b99711dd6d
13,Punji :),0:37.85,9ce9418ad79ff1a2494389430c76e77f98501cbe98158a3c
14,Axyom,0:38,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
15,ZeroLancer,0:38.267,9fbe46ddd8c7afa41c47d94e5a76e074ce5615edcf17d038
16,Kerone,0:38.4,9cea168adb95aba14b458b420b25e77fce551dbbcf158a31
17,BroCat58,0:38.433,9fbd108cdbc5f1a51c46861e0c25ef75c5571eed96448e6a
18,YT: Kwko,0:38.717,9fbf42df8a90f9f01e4adc1a0c21e27eca0748bc9f41da69
19,TechTerr0r,0:38.75,9ce91f89db94abf61a10891a5d76e22298571eb9c8418b6c
20,Felicia(real),0:38.767,9cea458c8bc2abac1044da4c5d7be77fc50615b49d41d83d
21,SquashMyMouse,0:38.867,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
22,Evan,0:38.9,9cea128bd795aff019168d4a0c20e374980048b5ca43d06a
23,Monster,0:39.117,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
24,der_ute,0:39.167,9fbd168dda95fead18458f425b76e775cd031beacb19df3b
25,M3mes,0:39.333,9ceb4682d99ff1a14c43de4a597ae77fc9071ae89b12dc38
26,Asen0923,0:39.65,9cb842898d9facf44a468a185c7aee23cc501abcc846d86a
27,TiltMachine123,0:39.7,9fbb1f828a91ffac10168a490e72b5769d571bedcb12df6a
28,Instigator,0:39.767,9cec1f88d696faa511428d495a75e17fc85619bc9e19d938
29,A'nan,0:39.767,9fbc128cda95a8f61b43894d5a21e0269a0c4ebfcf448b3c
30,Flora,0:39.783,9ce9158d8bc0f1f01a17dc495a27e1749f0315ee9c448c3f
31,geshemJR,0:39.883,9cec42ddd693aba61c168749567aef72c9021eba9a42d93b
32,MasterBub,0:39.933,9ce94283dfc3fead19468e4b0a70e77ecc571eef9b19d03f
33,DonnieSharko,0:39.933,9ced158a8b93acf64b168f485721e071c8044cb89612d838
34,Ayeccs,0:40.067,9ced158ad6c7abf74d408e1e5f22b424cd0148b99a43dc3f
35,Luci,0:40.067,9fbd128cdf93f0a0114a89435b72b57699061bef98418a30
36,failure___,0:40.15,9fbb14d8da9fa8f04a4a86490a71e7219a051fb898118e39
37,Monkeman,0:40.267,9fbd43da8ec0aba34d4b86490a20e2239a0d4ebc9714de3a
38,Westvirginia,0:40.35,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
39,Shhdaddysworkn,0:40.467,9fbe46de8e93fda31c16da4b0a25e171c4514bb8cc15df39
40,chickenshark,0:40.517,9fbe17dfd8c0f8a14d4a8d1e5974e621ca551dbb9843d130
41,General,0:40.9,9fbb1edd8a92f9a54e4ada1f587be7779f5515e89b188939
42,06bob fan,0:40.917,9fbd1589d790f9f71111d94c5d75e623cc504cbccc45db3b
43,Godbot,0:41,9cea1082dd90acf34d148d185977e77fcb004fbac813d03c
