Placement,Name,Score,id
1,Wingmonkey OP,50,29:46.2,9fbd43d8dfc2faa44d138f4c0c70e726cd551fb5cd148a6c
2,xing er,55,32:26.8,9cea118a8b90acf31c4a8649097ae77fc9074ee99743d93e
3,Feedme Seymour,56,32:58.7,9fbf12828e9fada44d41864f5d7ae575cc5014b99711dd6d
4,animal,57,31:50.1,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
5,hengzwis,60,27:47.4,9fbc428d8c9eadf31c45de195f72b025980c14ea9746de6c
6,FeedMePi314,60,30:57.4,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
7,Luna,62,30:44.2,9fbe428adf95f1a51d438a4c0921e176cd011ab59646d83c
8,Westvirginia,62,32:05.4,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
9,Justin,63,31:01.5,9ced16dfdb9eada71113db4a0975ef75ce051dba9844df38
10,Reasons why,63,31:22.6,9fbc168a8b94aaf71a1788495871e2249d0d1cbb9e16d031
11,Adr3n4lyn,63,31:49.7,9fbb1e83de94aaac4b418d4e5821e225c4564cb8cb458e6d
12,aardcat,63,31:53.6,9cec4683d995aff01041da195825ee21ca034cbf99118b3d
13,girlygamergal,63,32:32.3,9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39
14,qouesm,64,27:38.1,9fbd4582dd94abad19408e1f5d74b57398001bea9d15db69
15,Benji,64,27:41.6,9fbd1589d790f9f71111d94c5d75e623cc504cbccc45db3b
16,Milin,64,28:08,9fbb168bdac0afa11a45dc490d22b225ca514ceecb178a3a
17,Ghostly,64,28:28.6,9ce913dddf94f0f41c45dc430d70e77398074fbb9942d131
18,ACKTOU,64,28:44,9fbe468dde93a8f74a10d91a5c27e475990314ba9e17893e
19,DogFace,64,28:44,9cea14898cc0aff41946dd1d5c70e022ca551cb49942d83e
20,Rikudo,64,28:49.9,9fbf10dede93f8a31d1189480b7ae77499064bb9cb44db3e
21,M3mes,64,28:54,9ceb4682d99ff1a14c43de4a597ae77fc9071ae89b12dc38
22,Domingus Boomr,64,29:03.8,9fbf42dddcc7fcad4c11d94a0e7be022cd5214bd9b19dd38
23,Karu7210,64,29:30.2,9cea1683d896fdf41944d91e0971e7249a5615b89e168b31
24,dmpape11,64,29:51.3,9cb6108a89c3f0a51c11de1a5d20b524cc551abccd15896d
25,TIME,64,30:10.6,9fba16da8bc5f8a01b118d425c7ab225cd571dbaca118c3f
26,chickenshark,64,30:14.5,9fbe17dfd8c0f8a14d4a8d1e5974e621ca551dbb9843d130
27,YT:RCCH,64,30:29.1,9cb71f82dec0f9f11e168b4b5d26e472cc5618b59f108e6a
28,Paul*!,64,30:34.3,9cb71f8ade92fba11a46db435d7bb073cc0d48b5c843d831
29,datguy79,64,30:46,9cb6178eda9faba51a4a891a5d76e725cc554bee9916dd3b
30,Muteki Gamer,64,30:46.9,9fbb45ded69ea8f44917d9195e71e124cb0349be9745d06d
31,Saul Goodman,64,30:47.4,9ce944d98a9fafa21d138e1f5a20e372990448bf9f11d130
32,HappyJTC,64,31:08.5,9fbc44df8dc5ada14d448b4d5d7be7729d0218bdcf18da31
33,buluberi,64,31:20,9fbb44ded690aba41141de4c0b75b7269a5615b49d448c30
34,Stav24,64,31:38.2,9fbc178edb97aaf41f16dc1e5a73ee21ca061cb9cd17dd3d
35,liu,64,31:39.2,9fbb128fd7c2aaa31a40de1d5a72ee729e0715b4c818d13c
36,Riegmandem,65,26:39.9,9fbe46838a9ffaa11d168f1e5c7ae376c55515e9c811d16c
37,Bee Chanoknan,65,27:15.4,9ced148d8a90fca61c168e420b22b574ce564fb99942dd30
38,Andi N,65,28:17.6,9cb91188de9fa8a4184a8e495673b473cc0d4bbbcf138e31
39,GOLLUMBOI,65,28:47,9fbc10dadf90f9a04e4a8c430a77b42598074bedcd43d06b
40,KoJi,65,28:47.8,9fbe45898a94fea14911dc1d5c71e175ca0215bccb16df3d
41,VeDAN,65,29:01.7,9cb612deddc2aaa01910de490b21b524cc5548bd9a16dc6b
42,SkysHD-,65,32:31.8,9cba41d98d92ada11e4389185c22e077cd524eed9d118d3b
43,Dawxdio,66,29:09.5,9fbb42dad993aba21b47de4c5877b4779a561fba9946da31
44,Phaser,67,30:13.2,9cea118e89c2a8f349138e4e0c75e77fcc0318be9b19dc3b
45,Calone,67,30:53.4,9cb910df8e9ffda119408d4a5e27b726cf004eea9846d13d
46,ThanhDatVN,68,31:01.6,9cb917da8e9effac4a11de1e0c20ee75cf5515b49a418d69
47,cuter than you,69,31:23.2,9fbf438e8b94afad4b478c4f0c73e324c8004bb9cf178a3b
48,ANG-Z,70,27:17.4,9cea1fde8b93aca34b11db4a0d75e7709a501bee98118d39
49,Heartless,70,28:14.3,9fbf15dfde90fcf41b16dc425a7ae077cc021ab5ca198e3d
50,royalor,70,29:22.1,9fbb44d98cc2faa64c17874e0b20e7769f0414e899438e31
51,Chip,70,30:25.4,9fbd41d9df90aca44910dd180c20e025cd0615ee9619896b
52,Lukas456,70,31:15.4,9cea13d8de93fea41c44864c0c21e37499061ce9c8148d6b
53,Superjombombo,71,27:47.1,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
54,luo_bo_tao,71,29:26.1,9fbb43838994f1f01c4a88420a22b0769a511fe8cf108d31
55,redblue,71,29:52.2,9fbd46888ac0acac4b41894b5722b4769f014cb4cb10de30
56,Lionheart233,71,31:02.6,9ce945ded990f1ad11468c425d22e3229d561bbccc16de6e
