Placement,Name,Score,id
1,Milin,74,31:16.1,9fbb168bdac0afa11a45dc490d22b225ca514ceecb178a3a
2,WOR ZOII3 LAK,74,31:16.1,9fbc428fdf94f1a74e43dc4e5973e07fc90748b8cb148a6a
3,Unicorn,74,31:16.1,9fbf11df8c90a8ac4d43874a5a75e576c9564fba9c12da30
4,MysticaL,74,31:16.1,9cec1edf8b96adf01b43d94f5e74e677ca5614e9cb45d96c
5,Player,82,16:47.2,9fba1589dcc4acf7194088180b7ae723ca0c4bef9846dd3c
6,Thelegitnate,82,16:47.2,9fba158a8996f0ac1b14dd4b5d20e475990d4cbecc16dc69
7,BananaLegend980,82,16:47.2,9fbb44d8dc94faa41f43db4e5673b026c9041cef9b42d130
8,Rwby,82,16:47.2,9ce942dfd694afa4194a8d180b26e77ecb0d1fb49813db30
9,bcxmf,82,26:57.8,9fbb43838bc7f0f01d168b185a74e4739d0748b5cc188a6e
10,YELLOWOCEAN,82,26:57.8,9fbb10d9d990f0a41943dc185b26e775cc5148b496168e6a
11,10,82,26:57.8,9fbb14ddd8c5ada4114486185622e676cc0149ba9c45d16e
12,Soul,107,28:49.7,9fbb438dda95f8a54c10d91e0d7bb777c50648ba9a188b39
13,E,115,34:13.2,9ce9428c899ff9a11045dc430922e77ec9571cb49c17db3d
14,Gumball,115,34:13.2,9cbb1ed88a90aba61e47db4c0c73b571ce0d1fb89b17dc3f
15,battleforce6,135,28:55.9,9fbd42828dc0f9a04b43da4a5d7be77fcd0048ea9d428c3d
16,Bobett10,135,28:55.9,9ceb438bdd94abf61c148e1d097ae271c50348ed9843d131
17,Jesse,183,26:00.8,9fbf16ddde96ada71f43881f0b72e771ce021de99d10d030
18,TealZebra1156,187,29:53.3,9fbb1f83dcc5abac1c4ade1d0c70b575cf561dbe9d18d83c
19,Christoph2205,187,29:53.3,9fbc448adac5ffad1a14dd1f5a22e176ca571bb99c198e6b
20,Der_ute,187,29:53.3,9fbd168dda95fead18458f425b76e775cd031beacb19df3b
21,YT-FynnEbsen,187,29:53.3,9ce941df899efea14c16874c5627e77f9f521de99e458d3d
22,cowboyfl19,221,25:51.6,9fbf15898b92fda41a13da495f75e2729e074bbb9b41db6a
23,Kakakarotcake,221,25:51.6,9cec14dada97fff34b4a89495921e170c8024fba9b17d038
24,Dude,225,26:34.2,9fbb42d98c95f8a24a458e4c0a26ef769f5115ef9c158b6b
