Placement,Name,Score,id
1,animal,23,29:43.9,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
2,feedmewaterh2o,23,33:23.8,9fbc438bdfc2aca21b148a4a5977e270cd501abb9c15dc6b
3,Benji,23,33:31.1,9fbd1589d790f9f71111d94c5d75e623cc504cbccc45db3b
4,ISAB,23,33:34.9,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
5,Loaf of Pug,23,33:49.8,9ce91788d896fda11a44d91d5622e271c80c4ebf9f18db6e
6,MrPietrek :),23,34:07.4,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
7,WeAreToast,24,28:33,9cb8138e8bc3fef61146884e5f22b424cc0d4eb89f13d13d
8,No_Message,24,29:24.7,9fbd10d8d890f9ad1b4bde430a7ae771c5511ced9e438a3b
9,Leros,24,30:30.8,9fbe13838dc7fdf34d17864c597ae276990349eecc438b3c
10,Salmonella,24,30:45,9cee1f8ddcc7f9a21f47864f5722ee22cc5714ea9d17d93a
11,Lunne,24,30:59.2,9ced15d88e95faf7104b8b1d0d7bef70cd571bbacc418c30
12,FiatAccompli,24,31:16.4,9ce941d88a9faba41e4add4e5f71e421cc0c4bb496448a31
13,A DISPLAYNAME,24,32:01.8,9fbc1edd8b90acf61d17dd1e5b70b575cd041fe99744d869
14,Soccerspence,24,32:07.8,9cbb1f888ac0f9a24b14864f0e70b570ca0249bb9817dd3b
15,ttawii,24,32:26.7,9fbd118d8d91fbac1b13da1e0e77ef70cf0418bc9b19dd3d
16,verybadplayer,24,32:30.4,9cec44dadb9ffead4a40864b5c7bef26ca0618ba97168d38
17,Fif Gen,24,32:50.4,9fbd4589de91aca51a1387195b26ee24cb0c4bbd9814da6b
18,Rebear,24,32:54.2,9fbd46828ec2f8f119178c4f5c25e021cb0c18e99a418d3c
19,Tranqylity,24,33:11.1,9ceb44d9d69efef41e418e1f5b25e32399521fe9cb17df3c
20,FeedMePi314,24,33:26.4,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
21,bloonariussy,24,33:28,9ce91588de94ffa21117894b5c7be377ca0d19ea9c10da6e
22,Team awesome,24,33:32.8,9cea42dfdbc4f9a61d45dc4b5a70e724cf574cef9c46da3a
23,HELP ME,24,33:52.6,9fbb44ddd797f9f31d4487195626b3779a054bb59e18dd38
24,fl1x2004,24,34:14.8,9cec14888d95f8a24d438d1a5f26e222cb564fbe9b178e3a
25,Masterzan,24,34:20.8,9cb911deddc5afa518458d4f5970b721cc0d1ab59c13d06d
26,Adr3n4lyn,24,34:29.7,9fbb1e83de94aaac4b418d4e5821e225c4564cb8cb458e6d
27,Darth Plagueis,24,34:33.4,9cb746da8d92aaf31b45de435a7bb072cc0d1feecb148e6b
28,ZZ LOVE CY,24,34:38.2,9cec4688d695adf410108d480925b223cd071eb8c8458e6a
29,Jamijam58,24,34:54.7,9cee11d9899ef9a11d118b185d22e07fcf064cef9d19d83b
30,LintyBlanket,24,35:00.4,9fbf46dfd8c4aaa64e1486435a20e7229e0c1aeacf19dd6d
31,Cyai,24,35:07.8,9ced468cdcc3aca64e40dc4d5a72b270ca5215bc9816d93a
32,creeper,24,35:13.9,9ceb428eddc4fff01b14dc4f5926e5769f511db5ca15df6a
33,Cactus,24,35:28.3,9ceb458cddc5f9a41140881d0d76e4729e504fefc8468b6e
34,Tee,24,35:47.9,9fbd14828c96fdf71e4586195d71e473ce554cedcc10de6a
35,Stealthy8,24,35:51.2,9ced418f8d93a8a21b1489485e76b47ec85148bdcb17d838
36,RiceandDice,24,35:56.3,9cb81682d89faaf64a1186195f75b574cc0d19bb9a458c6e
37,Odrobro,24,36:44.1,9fbc4189d991aba44e11861d5675e174cf0d18ee9e45db69
38,k4p1g4m3s,24,37:15.3,9fbc46d8d996aca14a11dc4f5c26e271990748b89842df6c
39,CyanRabbit2842,24,37:20.5,9fbd16d8d896f1a34c168d4c5f7bb421990418be9b19de38
40,cuter than you,24,37:24.5,9fbf438e8b94afad4b478c4f0c73e324c8004bb9cf178a3b
41,BrightGiraffe44,24,37:28.6,9fbb448edb97ffa7111488430926e176c4561def9a42d93e
42,NoGodPlz,24,37:31,9fbf1383d991ffa34d118f420b21e270c9571eea9810d83e
43,SaltyBTD,24,37:38.6,9ce9428bdf93fca31d168b4e0d76e77eca0c1ebd9715de39
44,Heartless,24,37:44,9fbf15dfde90fcf41b16dc425a7ae077cc021ab5ca198e3d
45,DaNi,24,37:45.2,9fbf158c8dc4aaa44e118d425e70e121c50718e99f19db38
46,AOPSUser,24,37:52.5,9ce94182db94fef64d41871f5c26e77eca521defcc198d6e
47,SkysHD-,24,38:15.1,9cba41d98d92ada11e4389185c22e077cd524eed9d118d3b
48,Andi N,24,38:22,9cb91188de9fa8a4184a8e495673b473cc0d4bbbcf138e31
49,VeDAN,24,38:31.9,9cb612deddc2aaa01910de490b21b524cc5548bd9a16dc6b
50,Kooatree,24,38:32.8,9cb9138c8dc0aba21116874b5a7aee21cc0d4fbe98468a6b
51,dmpape11,24,38:42.1,9cb6108a89c3f0a51c11de1a5d20b524cc551abccd15896d
52,KhaZix,24,38:42.8,9fbb41ddda9ea8f44e118b195d7ab423cb041cee9711d16c
53,9800023,24,38:44.8,9fbf428bdf93fba74b468b4f5621e523cc004be8cf41d139
54,Berkano,24,39:01.1,9fbc43d98d90f8f14c16dd4f5720e073cc561aef9b13df3f
55,Xwuya,24,39:09.8,9fbb428ede91adf71c42874f5977e523c40649bc9b12de6c
56,415739421,24,39:35,9fbf148a8992a8a21f438a495975e771ca074be9ca128d3b
57,Westvirginia,24,39:44.3,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
58,Chud,24,40:01,9ceb128cde95aaf018478c4e5d21e3779f0149bdcc19dc69
59,datguy79,24,40:19.5,9cb6178eda9faba51a4a891a5d76e725cc554bee9916dd3b
60,Okidoki,24,40:30,9fbc448ddb91fdf41f43de190e77e775980d19bc9e18dd38
61,choccy onion,24,40:38.4,9fbd148f8e97acf64916da495f21ef74c5514eef9d458b3d
62,chickenshark,24,40:50.1,9fbe17dfd8c0f8a14d4a8d1e5974e621ca551dbb9843d130
63,aardcat,24,41:10.5,9cec4683d995aff01041da195825ee21ca034cbf99118b3d
64,ACKTOU,24,41:31,9fbe468dde93a8f74a10d91a5c27e475990314ba9e17893e
65,Larold,24,43:09.9,9fba1682dfc4f0ac1e14de495b70e622ce021dba9d44dc39
66,Twiexd,24,43:17.9,9ceb178fde9efaa54e10884d5d7ae524cb5248b8cc14db3d
67,UnluckyGiraffe,24,43:22.9,9fbc118a8b93afa718178b4e5925e373cd0d4eb89b19de69
68,Thomkraft,24,43:51.6,9cb7468bd995abf31913874c0a71b321cc0d14ba9f428d6e
69,ISAB,25,28:35.6,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
70,girlygamergal,25,29:52,9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39
71,SomeWabalan,25,34:19.8,9fbc1ed98c92fcf34b42dd1d0971ef779a571aba9619896d
72,SquashMyMouse,25,34:29.4,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
73,Infinity,25,36:28.2,9fbe42d9da93afa01f408c1d0b7be67f995618efcb19db6a
74,(Katabu),25,36:33.3,9cec1eded894a8a6184a8d420925e575ca5615bacd17d83e
75,i eat soap,25,36:42.1,9fbd1589d894ada34e4b891f5920e0269e5714b59c138e3e
76,W,25,36:58.6,9cee418ddd90f9a34a458e4d5e25e47fcb021db598188c3d
77,Hyperion,25,37:07.5,9cec108bddc0fba04d47de1d5a25b372c90c4bbfcd44de69
78,Dot,25,37:08.8,9fbe15da8bc5aff34c4bdd4a5873e575cd0c4fbfcf42d869
79,Hugan101,25,37:30.7,9ced158d8a9efaa04e4b874e5677e676cd561cb997118a6a
80,StarKirby749,25,37:31,9fbf438ad7c4fef14a42da4b5a71e77e990149eac818d86a
81,itex1,25,37:41.7,9ceb438ddfc5ffad1846de420926e073cf034bba9618dc39
82,Sharpcon 400,25,37:47.5,9fbe1688d795f8a04c17861f0d7be37e9f5018e99815d13a
83,Gooberbora,25,38:09.8,9fbe16888993aca31b4289195f21e5769f0718becf188d6c
84,Feedme Seymour,25,38:55.6,9fbf12828e9fada44d41864f5d7ae575cc5014b99711dd6d
85,gugu,25,38:57.9,9fbf168e8991fef311468f4e0c76e771c9064cedcd13d13a
86,pata$$fustyy,25,39:04.4,9ce915d88997faf34d17871d5e73e77fcb024bb4cb17df6b
87,Dawxdio,25,39:13.1,9fbb42dad993aba21b47de4c5877b4779a561fba9946da31
88,Yuzusoft,25,39:14,9cea46da8ac0fff31e47de4a5677e0259d011ebf9845d93f
89,TPH,25,39:45.3,9fbc46d8de92f1f61e458d4e5821ef2498021eed9a11dc6a
90,Spani:3,25,39:52.6,9cea458c8bc2abac1044da4c5d7be77fc50615b49d41d83d
91,AmAlive,25,39:55.5,9fbb45828ec2fdf14d16871a0976b472c4014bbd9a13d139
92,Filipus,25,39:59,9fbf4383df9eada61110891f5a22e072c9024ee89a15dc3c
93,lemu0202,25,40:13.4,9fbb44dfdfc2fba749168a4c5871ee76995149b59a42d86d
94,Player,25,40:27.3,9fbf1289db95faf14945db4e0a76e021cb0d19ea9b148d31
95,El CID,25,40:28.6,9fbb468edec0fbad4b10d9185b73e47e980718b59f11df6b
96,Vonek,25,40:29.6,9fbc4583de91f8ac4e428a48587ae47fc90748e99a15d13d
97,Raymond,25,40:33.1,9fbe11ded696aba61943dd1d0d76e576ca034fbaca13dd3e
98,guumi,25,40:33.4,9ced1589dd92aca54d408e1e5f22b424cd0148ba9c17d16e
99,rtthrd,25,40:37.5,9fbf128edac7fba410178f1e0d21e42198561bee9f11df6d
100,BTD Express,25,40:43.3,9ceb1e83d695fda51f4a8f1f5874e17e9d0218e89e18896e
