Placement,Name,Score,id
1,molonyy,31,37:26.2,9fbb43de8cc5fda51941884b5c21e1709a571fe8c846df3f
2,SynthesisCT,31,37:26.2,9ce9418ad99ea8a74b108d1a5922e77eca0415b59841df6d
3,Milin,31,48:57,9fbb168bdac0afa11a45dc490d22b225ca514ceecb178a3a
4,ikun,31,48:57,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
5,1224790991,31,48:57,9fbd45dfdf9efda410448f490b25e3749f5618b89a168a3f
6,ISAB,32,28:00.7,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
7,ISAB,32,28:00.7,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
8,BigBoatTootToot,32,32:51.7,9fbb4282de95fca41b40874f0a75e272c4061de89c43d86a
9,gamer0078a,32,35:23.4,9fbb42828b92aaa34e4787190971e677c5511abc9f19d03c
10,ykaiaaa,32,35:23.4,9fbb43ded796a8f14e4b8d485726e473ce014ebfca418930
11,Tacotown314,34,37:42.2,9ce911dd8a95acac18138a1d5d73e77fcc551eef96128a39
12,SAvocado,34,37:57.8,9fbc1ed9d7c4fbf61a138a180c20e477cc064befcd19d93f
13,SupremeAvocado,34,37:57.8,9cb812d8dd94ffa31f40d9430d22b726cc0d19b497198b30
14,unhomie,34,41:13,9fbe14838cc3abad1944de1f5e72e17fca074bb59f138d3b
15,YELLOWOCEAN,34,47:15.2,9fbb10d9d990f0a41943dc185b26e775cc5148b496168e6a
16,10,34,47:15.2,9fbb14ddd8c5ada4114486185622e676cc0149ba9c45d16e
17,Y.,37,37:24.5,9fbb44898d90aff64e1789425c7aee7f9d511dbf9d458d30
18,giddy4,37,37:24.5,9fbc4482d891f9a24d13da4d5a76e324cb014bedcc438b39
19,infopeek,37,37:24.5,9ce94289d99efaac11178b1a5821e77ecb5015bf9e168a31
20,Cubi,38,34:42.8,9cb914ded696f8a21b11de490e21e323cc011eb89d128a3a
21,MrIncredible,38,34:42.8,9fbb44df8996f8a41e1087185b7ae27ecd0c1eedcb118a31
22,Y2J,42,30:45,9fbb1483de97faa51f418c4c5b76e472cc0218ed9741dc3b
23,zuimeng,42,30:45,9fbe41dfde93f1f34c108f1e5721b773cf5014bc9e13d030
24,Myrrh the maid,42,30:45,9ce941898cc4fba110468e195922e77ec9501cee9a448e69
25,BlueFrost,42,33:25.2,9ced158a8dc0f0a54b4bdc185872e377cd011fed9b14d038
26,kaddee,42,33:25.2,9cec418adac7fff71a448a1e5e26b423c95215bc9a44d03d
27,Blue_Kiwi,43,28:08.8,9fbd41dadd9ff8ad1b118e1a0e71b3769d011aed98138c6b
28,RanFujimiyaTTV,43,28:08.8,9ce9178c8e96aba61a118a1f5f72e425cc0c4bbd9a10d86a
29,Secno,43,28:08.8,9cee13dd8c94aaf7194b86485f26e371cc5649be9e16893a
30,3062283445,48,30:58.5,9fbb148adac7fba04d13da4e0925b774cb064ebd9744d03a
31,linjiangzhixian,48,30:58.5,9fbc46ddd6c2fda74b16dd4c0b72b376ca0c1aedc814df6a
32,WYF731,48,30:58.5,9fbf128ed791f1f14b45dc4d5b70e1269e0518be9917d86d
33,Jinyinqiu,49,26:33.6,9fbd4582de97faa71a168f425676e67f985119ee9943de3a
34,Mardorla,49,26:33.6,9cb61188da94f0ac1a178f4f5a26b524cc551abb9f17d938
35,DokiDokiGB,50,32:14.6,9fbd428f8ac4aaa01f40884e5827e673ca501cedcd18d131
36,SeekNDstry,50,32:14.6,9ce942dfdb90f1ac1c42dc4a0a7ae77ecb071abeca13dc38
37,Vlip,50,35:40,9fbc45de8b96f0f11911894e5c77b27ecf0218b99c15d969
38,Mew,50,35:40,9cb7108c8dc2ffa618408a430a7ab575cf511dea9741da3a
39,osiris,53,17:22.7,9fbc1ed9d690a8f01d13de4e5b73b77ece0c48bb96448a3d
40,THIGARIUS,53,17:22.7,9fbd12d8da95aaf611408e435f71ef7fc9031fb49f428e31
41,Jadiel727,53,17:22.7,9cb742838a96fca21a41dd435725e725cc5548bcc819df3c
42,samgo,55,31:19.8,9fbb1f82d9c2aff64c428a4d5870e4749a5018b999198a69
43,benbi,55,31:19.8,9fbb14dedfc2fca24d14881d5622b077c8061cb89914d96d
44,3187627312,55,31:19.8,9fbc1ededfc7afa510478d4c5721e222c55019bf97118b3c
45,SdEE SpeedRUN%,56,24:26.4,9fbb12deda93f1f01d4a891f5e76e5719e0348e89742df69
46,arina k-pop,57,26:42.5,9fbd438ad790afa71b41dc1a5c70e523cf0315ed9a46da6d
47,OrangeRhino3412,57,35:57.3,9fbb438bd793adac1e148d4d5e70e073cf554fb9cf12df3b
48,Ph4nt0m8979,57,35:57.3,9fbe118ad89ef8a71d42da1a5a74e272cd061dbc9b15de6a
49,Geno,57,35:57.3,9fbf1e8edd93f9f64b138e190e77e576cb564cbb9b12d831
50,Courraffe,58,42:15.1,9fbd178ad8c3a8f11a138d4b0d76b721cc001ebb96178b3f
51,micol_papera,58,42:15.1,9fbe46d88e95ffa71810de490b73e121cc0119e99a118d69
52,Joo,58,42:15.1,9cea108c8ec7fbf0494bdb4d5f73e77fc5004cbe9b45db39
53,zScrollcamp,61,33:39.3,9ce94189d79ffda1184a8c1a0b75e77ecc0c19bacd43de6e
54,BrightGiraffe18,61,33:39.3,9fbb1fd9dac2f8f41b418843577bef72c8031dbb9711de3f
55,Lontra,69,32:06.6,9fba168f8cc0afa61f4bde430d76e121cc061fe99742d830
56,Luizin,69,32:06.6,9fbf468ed790f9f01947dc1f0d73e622cd5119bf9a46d13e
57,Sparky,69,32:28,9fbb44dddd90ada51e448f195721e025cb054bb49e45893a
58,Descent,69,32:28,9fbb158e8b9ffba11914d91d0b7be476c40749bd9719d03b
59,Corpse Golemer,70,19:39.9,9fbc12da8cc3aba24e138c4e0d21e672c80548b597438c39
60,AkA,73,30:26.4,9cec108c8c96fbac4d10dd4e0c7aef76c90248ba9815d13c
61,Starlight,75,23:46.8,9fbe11828c96f8a71847871a5777e57699061ebb9e15db31
62,Mo,75,32:06.4,9fbb15de8bc2f8f31d4b8d4a0d7be722cc0714ef96448e3c
63,MsrHono,75,32:06.4,9fbc16838c96abf04d168b4d5620b577cd0515e8ca45896e
64,FLAME,75,32:06.4,9ceb1e8fd694fef41117de480926e070c40c4eed97128b3f
65,not unhomie,76,22:29.7,9fbb44d98c91fba61e45891d5b74e173c9021abb9614db3d
66,Lostkk,77,33:26.5,9fbb428ada92acf71c42de195a7ab372c90519be9a148c31
67,luc 3702,77,33:26.5,9fbb44ded893aca64a16de4f5f21e1259d574cba9610896d
68,ImLuiz_,77,33:26.5,9fbf12dada96abf64e478c185722e670ce521dbd9d178b3c
69,googlephile,85,39:18,9fbb438cdb93f1ac1d168b185a74e4739d0748b9cd18de6c
70,Rave,85,39:18,9fbc138ed7c5fda11114de495776e47fc9051feeca44d93a
71,Valence,85,39:18,9ceb468bd892fba61b418f495b70e17f980115edc816dd38
72,MonkeyMan,89,31:53.4,9fbb178d8d92f9f74d448d495c22e726ce051ce8cd18d93f
73,ICEMOUNTAINX,89,31:53.4,9ced11dfd994f8ad1b43de1d5c73ee23c80618be9d438a3d
74,YF_2001,91,30:08.2,9fbb438edfc0fdf31f178d480a72e37798501be9cf13db31
75,Yttrium,91,30:08.2,9fbb448f8994fca34d108f480d75e575c40c49e8c845d030
76,SkillsOFF PLS,91,30:08.2,9fbc46de8993ada51e458d4e5821ef24980219bd9710dd3a
77,Dlaw,95,25:28.7,9cee1583d79eaaa71f418b195776b070ca014fbfcc17dc3a
78,Cali_Maki,95,25:28.7,9cb842dd8cc5fca64e17da435971ee23cc504cbc9a168e3e
79,WallFlower,98,17:51.3,9fbb118fd990aff64a13da4f5772b3219f5114eecf108a3f
80,NobleArrgon,98,17:51.3,9ced15deda94a8f41d108f4d5c74b375cc0d49b9cd468b6d
81,HanTheNanner,98,32:13.9,9fbb44d98bc7aca14b16861f5e70b7259a0714e89c16db3a
82,Twitch.Shazta24,98,32:13.9,9fbb44d98bc7ada34a42d91d5a70e175c80c49be9c45d831
83,xPhobaphobia10,98,32:13.9,9cee46da8bc3f9ac4d16d94f0b26e27ec85249ee9a10d030
84,Citrus,104,24:07.2,9fba178cdb92faa419148d4e5a22b425cc571dbbc8198c6b
85,TealZebra3242,104,24:07.2,9fbb1eddd99ffbf41017d94f5b7ab372cd001fb9cd148e6b
86,Jesse,104,24:07.2,9fbf16ddde96ada71f43881f0b72e771ce021de99d10d030
87,BANANANOMNOM,105,19:14.7,9fbc4189db90aaa44e11861d5675e174cf0d18edcf18df39
88,BananaJC,105,19:14.7,9fbc4189db90f8f418168d435b71e7749a5518e89c178a3a
89,BANANASC,105,19:14.7,9fbc468ddbc5fea54a13881d5972b074ce504cef9716db3b
90,Neghod,105,29:53.9,9fbb4388d99fa8a14e4588425c75e777c90214bd9814db31
91,Pr3s1d3ntCuni,105,29:53.9,9fbf43d8de93fea11c41de4e5e7be672cc5115bd9d11d83c
92,DanielGFX,105,29:53.9,9ceb10828bc5faf718438b43587be07f98511cba99138c6e
93,HxHaku,108,26:22.8,9fbb1e8ddf93fef04d43884a0973b026ce561fbdcf16de3a
94,Topu,108,26:22.8,9cea1089d8c2f9a11e44de1f587be77fcc0114b5cd14da6c
95,Quesk-chan,108,26:22.8,9cb615dddd9efea71b4587480a73b275cc5519eeca45dd69
96,Hanneki,108,33:09.1,9fbd45df8ac5aaa41914da185922e074cc521fbfca12da6c
97,Pullis,108,33:09.1,9ce9448dd792ffa01043dd425720e526cc011aed9a42896a
98,EOH,108,33:09.1,9cea1789d99faca51a478e4e5820e7729f501deacd42dc30
99,Tyler,112,31:33.2,9fbc14ddd8c7f1f31f11db4a0973e075985119e99c43dc3a
100,Compnerd22,112,31:33.2,9fbc14d8d891aca61a478d4c5c7ae57fca031ce8cf19df6b
