Placement,Name,Score,id
1,(Katabu),0:40.917,9cec1eded894a8a6184a8d420925e575ca5615bacd17d83e
1,Buttman do CT,0:40.917,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
2,BUTTMAN,0:54.366,9fbb10d9d990f0a41943dc185b26e775cc5148b496168e6a
2,BegkiL,0:54.366,9fbb4388d796afa54b4b87430922b077cc031abd9a45db39
2,Shigure Kira,0:54.366,9fbd14ded696aba54c478a1e0b72e223980115bc99148d31
3,SuperDonkey420,1:11.4,9fbe178c8cc4fbf64b41de4b5672e67ec4554bbac8108a3e
3,Kakakarotcake,1:11.4,9cec14dada97fff34b4a89495921e170c8024fba9b17d038
4,W,3:06.117,9cee418ddd90f9a34a458e4d5e25e47fcb021db598188c3d
4,TopPhoenix4523,3:06.117,9ceb46838b94ada74d42db4c5b71e2249f054eefcf428a6c
4,sgt. flint,3:06.117,9ceb148f8dc3faf41c418f1a5c7ae476cd501be9cb13dc31
5,rinko,4:12.55,9fbc1edf8e92f0ad1d4bde435671ef2398001eb9c812dd31
5,Orange,4:12.55,9cec45da8ac2fbf7104b89435621e725cd054bb89b17893d
5,1224790991,4:12.55,9fbd45dfdf9efda410448f490b25e3749f5618b89a168a3f
6,JuanGames,4:39.067,9fba15df8992fba11145dd4e5e7bb573cd0219ea9911d16c
6,X_wega_X,4:39.067,9fbf1489d892f1ad1a42dd195e7be771cf004cb59919d06e
7,NINJAKIWI,6:43.65,9ceb14d8d99faff01a118a4e5677e725c95719e997108a6e
8,lerekcam,10:35.517,9cb712da8b93ada41a10dc4d097bef71cc504ee999438e39
8,AodK,10:35.517,9cb714d9de9ff1f01113d91f5825ee75cc501cedc816dc6b
8,ThemanLobster,10:35.517,9cb714d9de9efaa71e408b1e5725e123cc501bbb9843db69
9,gardnerkylem1,11:27.917,9fbb42898ac2aaa54d42da1e0b75e07eca0618b9cb118a31
9,scaryman,11:27.917,9ced108a899ef8a01d11881d0d74b324cb5718edcd44d16c
9,So_Wil_D,11:27.917,9cec12d9d790f0ac1f43d9185827ee21cc061fbe9f15d03f
10,Yuxe,11:28.767,9fbb118edac5aca61c4b8b48597be023ce0c49b4c8448c3a
10,chartreuse,11:28.767,9cea1e8bd79fa8a5494a8f185f71e721ca0714ee9d438e3c
10,Sparky,11:28.767,9fbb44dddd90ada51e448f195721e025cb054bb49e45893a
11,davidsaccount,12:39.367,9fbc1f8d8b90f0f74a43dd420975e322ce524ce89842d13c
