Placement,Name,Score,id
1,ISAB,1058740,45:29.9,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
1,Jandalf,1058740,45:29.9,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
2,Floinkyy,1511395,24:03.5,9fba448ddbc2f0a41c428f490975e726cf074bbdc845df6d
2,Beast_Coast,1511395,24:03.5,9fbd12dfd8c5f9a01811884b5c72b7729d0c19b59716d83d
2,Heinz3.0,1511395,24:03.5,9fbf13d8d8c4f0a54d448c48577be3709f5015bbcb108e31
2,Kakakarotcake,1511395,24:03.5,9cec14dada97fff34b4a89495921e170c8024fba9b17d038
3,SdEE SpeedRun%,1640735,29:23,9fbb12deda93f1f01d4a891f5e76e5719e0348e89742df69
3,TTVJungleJuice,1640735,29:23,9fbc4189dac3afac4e448e4a5926ee249e5214be9d14d96c
3,Money$,1640735,29:23,9fbf4683d8c2ffa51a42de42577ae575cc5519b499188a31
4,NekomiyaShizuku,2796880,27:53.4,9fbc42d9d7c2f8ad4a16de1a5f25e07398024fe8cb46db3b
4,zuimeng,2796880,27:53.4,9fbe41dfde93f1f34c108f1e5721b773cf5014bc9e13d030
4,Francis,2796880,27:53.4,9fbe43828cc2afa41c108b190c7be27ec5551ce99810df3f
4,Myrrh the maid,2796880,27:53.4,9ce941898cc4fba110468e195922e77ec9501cee9a448e69
5,Der_ute,4330670,26:41,9fbd168dda95fead18458f425b76e775cd031beacb19df3b
5,Stulle,4330670,26:41,9fbe4688899efca31d168e4e0a7be576c50d1fb8cd19de6d
5,YT-FynnBTD6 :),4330670,26:41,9ce941df899efea14c16874c5627e77f9f521de99e458d3d
5,schmusekroko,4330670,26:41,9ceb44da8cc3aba71b46d91e5671e521c80115b99e16d86b
6,NeedBibi,5414283,28:47.8,9fba43df8c92aca24c41dc4f5b77e17e99511bef9846db3a
6,SnaKKeZZ,5414283,28:47.8,9fbe43d9d89ffaf44d44de1d5b22e271cb571ebc9b458c6d
6,Sleepyclone,5414283,28:47.8,9fbf118b8d96fef34b4b881f5d25e024cc5248bb98158a3c
6,LazyLizard,5414283,28:47.8,9ceb13df8dc4fca31a46864c5926e7259a5648e9c845df3b
7,SirCr0wley :),5460149,26:40.1,9cea43d88996fea44d47da1d5f20e07f9d034eb99813df6c
7,Fluffy Spani:3,5460149,26:40.1,9cea458c8bc2abac1044da4c5d7be77fc50615b49d41d83d
8,Isshiki,5504845,18:56,9fbe10d8d9c2aff71c1489485f76e5769a554bb89f148b3f
8,GTIZI,5504845,18:56,9fbf42898c97f1a21945891a5777e3219a5049eacd12d131
