Placement,Name,Score,id
1,tAdPole,200930,25:38,9cea17888bc2fda01b148e190d20e1759f561fb4ca45d138
1,YeastFornax,200930,25:38,9ceb448f8e95abf61c118c4c5720e725c4074bb9cb128b6d
1,vinegar,200930,25:38,9ced418a8ac7fca71f17d9420b76b722cd014fb99e458a6b
2,papaniesus,218930,22:05.1,9fba46d98ec3ffa04e4788435b26e72299031cbf9912df3b
2,PeachPanda3841,218930,22:05.1,9fbd178d8e9eaba24d40dc4a5e22b023c40c4fea9f158a6b
2,Ethan1005,218930,22:05.1,9cee178cdf90fca64e468f4e5d21ef21c90249b599128e6b
3,Fluffy Spani:3,223753,25:31.4,9cea458c8bc2abac1044da4c5d7be77fc50615b49d41d83d
3,ISAB,223753,25:31.4,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
3,Jandalf,223753,25:31.4,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
4,NNNNNnN,229015,20:32.5,9fba45dadf93fcf74d16871f0d72e026cc514be8ca108939
4,1359460526,229015,20:32.5,9fbb4488d692adf71e16dd4c5825e324980d18bec8448e3c
4,guojia123,229015,20:32.5,9fbc1283d690ada11142d9185e22e573ca0015b596148969
5,JinyinQiu,231920,23:26.2,9fbd4582de97faa71a168f425676e67f985119ee9943de3a
6,gucio enjoyer,243330,18:15.7,9fbc468ede9faaa41c1087420b7be5709a571aee9843d13d
6,Archie,243330,18:15.7,9fbe4589d9c2f0a61f4a894c5c22e674cc0c1befc8188938
7,Isshiki,273160,14:16.4,9fbe10d8d9c2aff71c1489485f76e5769a554bb89f148b3f
7,GTIZI,273160,14:16.4,9fbf42898c97f1a21945891a5777e3219a5049eacd12d131
7,Kronos,273160,14:16.4,9cea17ddd8c4a8a21d42881a5820e7709a551bedcf448d3e
8,Gandalf,289530,20:52.9,9fbb11898e9ff0f31e43db495c70b77fc40d1ce9cf42db38
8,Kakakarotcake,289530,20:52.9,9cec14dada97fff34b4a89495921e170c8024fba9b17d038
9,nalaihe,289725,21:59.5,9fba448e8b9efdac1d4bd91e5826e172ce5048bb97468e3b
9,DEPOME,289725,21:59.5,9fba448edf9eada31f4b88435c70e271cb054eed9819da6e
9,li jun hao,289725,21:59.5,9ce91782d896f0f31f448a185621e575990c4be89f11d06c
10,ningmengjin,291815,20:36.4,9fbd45de8e92fef11c478f1e5d72b371cf561bef9745893b
10,cai,291815,20:36.4,9ce914d8d697fda24a168b1f0b73e77fcb044ee896168d3d
