Placement,Name,Score,Time
1,masmaves,438860,45:09.4
2,blackberry,468850,37:14.7
3,xing er,470660,36:18.1
4,raspberry,486325,36:29.6
5,RandomRain,500660,41:24.4
6,Playerzmz100,507210,37:44.9
7,suboptimal,525950,49:24.4
8,LIN001,629180,52:03.1
9,Fluffy Spani:3,695815,38:43.3
10,zuimeng,739460,33:48.6
11,Hopper,804605,41:32.2
12,PKU_PHY,820820,45:01.5
13,CaptainFroszt,849105,49:53.9
14,mdrouge,908825,34:38
15,Calone,963600,36:30.1
16,HunkBoy,990655,46:02.6
17,Epitaph,1009195,44:14.4
18,SupremeAvocado,1105050,40:25.4
19,High Wizard jp,1128925,27:07.9
20,luotianyi,1177960,52:40.2
21,NicoYeet,1185575,40:53.8
22,Baconator,1202735,47:36
23,FeedMePi314,1207615,45:45.3
24,Westvirginia,1218780,46:25.2
25,Anti-NATO,1227800,41:14.4
26,Heartless,1227990,35:52.8
27,Hachey,1255405,60:20
28,Failure,1299510,42:01.1
29,186934,1345885,47:49.4
30,Vert,1346845,39:36.6
31,Barry lay yt,1348240,44:00.8
32,LtChaos18,1348650,40:40.6
33,Pullis,1350360,39:42.8
34,VeDAN,1350970,34:06.4
35,Dakota Jackson,1351185,37:51.6
36,PsykomanT,1360225,41:47.3
37,SquashMyMouse,1361225,32:39.2
38,PeachPanda4409,1365945,51:35.9
39,finkarush,1371755,31:50.2
40,uvclive,1380430,46:48.5
41,EOH,1387250,54:41.6
42,Amatore,1389030,39:52.4
43,lazze,1394560,33:55
44,QuintonMaxwell,1397810,43:29.5
45,- Cyclop3s 49 -,1403851,51:05.7
46,c0ntext,1414351,46:46
47,IndoorWallaby8,1423715,27:48.9
48,viennariver,1443810,42:00.4
49,ThaEmprahh,1452965,34:03
50,YeetDaNoob,1466420,28:57
51,Alex,1475205,40:24.1
52,Khaos,1478105,41:36.4
53,TheProz2006,1482540,38:11.3
54,Gielepino,1483475,45:39.3
55,YoPlayer,1497325,31:12.8
56,Ding Chilling,1530955,53:26.4
57,Tur1n9,1535265,44:52.5
58,mrsquie,1535860,46:02.3
59,Darkline,1537210,40:51.5
60,Ji.,1537800,44:00.6
61,Player,1539900,44:53.9
62,Tting,1540495,43:38
63,Player,1548475,41:26.6
64,satanangelking,1549050,40:52
65,PlonicGaming,1555010,33:21.1
66,WiderLizard101,1556245,36:58.6
67,Nelithexe,1558570,45:50.4
68,Player,1562460,45:41.2
69,TZZLSY,1562690,43:19.2
70,qian meng,1564255,45:43.5
71,Player,1564610,45:40.8
72,Player1475844,1564765,46:13.9
73,Captain-Gunfire,1564800,42:50.4
74,hui,1565180,44:38.2
75,940909681,1565185,43:58.4
76,WOR ZOII3 LAK,1566035,45:54
77,Player,1566110,44:34
78,CHenMoOn,1566255,45:50.6
79,York,1566260,45:32.5
80,fantasycat,1566335,43:40.5
81,lighting820,1566665,41:11.5
82,QingFeng,1567000,45:50.1
83,lelapinblanc,1567085,47:49
84,MonkeyNovice47,1567575,45:14.8
85,konoDIOda!,1567810,48:46.5
86,1140735506,1567885,42:37.3
87,skyliwen,1568185,45:06
88,Player,1568855,44:28.9
89,XFF99999,1569470,49:51.9
90,spoony_qing,1571265,42:20.8
91,Inner ghost_,1573030,48:31
92,MHG370,1573925,46:08.3
93,Player,1575195,47:49.6
94,Kevin-Young,1576370,44:30.7
95,mendoukusai,1576965,47:41.8
96,xiao2444089648,1578085,46:09.6
97,Fufuji,1581965,38:08
98,PowerDino3773,1586545,45:41.9
99,Loconch,1586765,44:35.2
100,Moon_cake18,1588140,44:05.6
101,fuvv,1588220,45:28.6
102,Aleccrazy,1588755,36:51.6
103,wclei,1589680,44:28.3
104,Supermonkey,1598075,53:36.8
105,likuigg,1600290,48:00.5
106,va_nish,1602825,46:06.9
107,I'm sb,1607165,47:50.9
108,IceAce4088,1608816,43:25.4
109,Erhe,1612595,42:25.8
110,kk,1618515,35:48.2
111,FoeverYoung123,1619180,42:49.3
112,479290165,1620835,39:55.6
