Placement,Name,Score,id
1,Platypus,45,69:49.8,9cb61e8bd7c0fda34c46de1d0c7bb276cc551abc9e448a69
2,tbsp,45,83:38.4,9fbd43d8dfc2faa44d138f4c0c70e726cd551fb5cd148a6c
3,Wugezideming,47,49:23.1,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
4,feinberg,47,50:49.9,9fbc44df8c95aaf61f43874d5d75e377980149e89e44893c
5,Master Chief,47,53:22.8,9cb8118a8e9ff0f41b4b884c0c74b77ecc0d1ab59e42da38
6,Hachey,47,57:07.9,9cea12888c94adf04942884f5b77e1739d0715b8cb46dc31
7,donkeymule2,47,58:11.6,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
8,Gonztuzgvo,47,59:13.7,9ced118e8c9ffbf019108f1e5d73b724cf0748b8cd14d03f
9,ikun,47,65:05.2,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
10,luotianyi,47,68:28.1,9fbf41d98a91adac4946894a0d76e07ecb551cb89c15d839
11,xrlylyl,49,52:44.8,9fbe1edddcc7aaac1b40d91f5f26e576c40c48be9641d03e
12,dog gaming,49,53:55.8,9fbd138bdb95f1f44e17864e5875b2739a031eb49b178e30
13,Cyrkill,51,59:35.5,9cea41ddd797aff010108b4b5626e77ec9564fbaca428d30
14,Milin,52,45:27.6,9fbb168bdac0afa11a45dc490d22b225ca514ceecb178a3a
15,Tompa,52,46:26.6,9fbf1188db96faf14c4686485974e575cc061ebe9919dc30
16,SquashMyMouse,52,51:17.8,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
17,Spoony,52,51:40.5,9cb71f838ec2fef61f4688185620e570cf074cedc817dd69
18,chickenshark,52,53:04.8,9fbe17dfd8c0f8a14d4a8d1e5974e621ca551dbb9843d130
19,DhafinPxi,52,53:27.9,9fbf468d8bc0afad4b13db1e0c77e673ce561dbf9b138a39
20,ThroatedGoat,52,54:04.9,9ce916da8a92f0a64946d91d5a25e27fce071cb8cc46de31
21,LunchPunchCrab,52,55:17.7,9cb615ddda92a8f74a428e485722b277cc554eed99118a3c
