Placement,Name,Score,id
1,zarrot,17,51:42.9,9cec118d8b96f1a31f118b4a5a76e526ca031eb89e42df38
2,MrPietrek :),19,37:51.8,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
3,FeedMePi314,19,56:00.6,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
4,xrlylyl,19,61:03.9,9fbe1edddcc7aaac1b40d91f5f26e576c40c48be9641d03e
5,Platypus,19,66:27.4,9cb61e8bd7c0fda34c46de1d0c7bb276cc551abc9e448a69
6,Shadowball88,19,71:12.2,9fbc468c8996f0a14942de4f5674e42499074ebdcf128a3b
7,Gnod911,19,71:45.8,9fbc468a8e94ffac11138f4b5f7aee23c50015ea9e438a3d
8,FAZEK,19,72:09.9,9ced178bd796fcf64d448c4e5d73b776cc5718eac811df69
9,TBM Afro,19,72:35.8,9cb716df8cc5ffa14d41874c0977e326c80415b49d42d83b
10,Kival Evan,19,72:59.2,9fbe10d88996a8ac1943de4f5c72e575ce071bb4cc14d169
11,StarKirby749,19,73:02.5,9fbf438ad7c4fef14a42da4b5a71e77e990149eac818d86a
12,W,19,73:14.2,9cee418ddd90f9a34a458e4d5e25e47fcb021db598188c3d
13,EvilBxnny,19,73:33.2,9cea11898b97f9a21f45d91d097ae7709a031fb49818d16d
14,PABLO ESCOBAR,19,73:36.6,9fbe148d8b95aaf61e4089495e7be576cb551abc9d198a3d
15,Punji :),19,73:51.1,9ce9418ad79ff1a2494389430c76e77f98501cbe98158a3c
16,Darth Plagueis,19,73:52.7,9cb746da8d92aaf31b45de435a7bb072cc0d1feecb148e6b
17,Oneplay ID,19,73:54.4,9fbe4389dec2faf31917864b0972e272cd511cbaca43896b
18,Huse,19,74:04.3,9fbd42de899facad4c46dd4d0e76e675c40215ef96108e69
19,SaltCrusher,19,74:12,9fbc1ed8d6c3f0f71d4bde435671ef2398001ebf9843dd3b
20,NitsuaGames,19,74:12.1,9fbc468e8991aba01d478f1f5726b271c5004bbfcb178930
21,8191,19,74:18.1,9fbb1488dfc7fda51913dc4c597be625c50048be99438c30
22,Azz,19,74:19.4,9ceb17d98ac3fcf11942dd1f5c76e270ca004bba9718db3f
23,Spoony,19,74:25.1,9cb71f838ec2fef61f4688185620e570cf074cedc817dd69
24,AlexTT,19,74:28.8,9cba178f8b9fffa01d40db1d5925e226cf571ab49e18db3e
25,Shooky92,19,74:29.7,9cea138ad79ffca11c41dd195926e77ecc0c1bb5c812d830
26,Star,19,74:31.2,9cea178b8994f9a31b148e190d20e1759f561ceac845dd6c
27,Drag3r,19,74:37.1,9cb711898ec4aaa04c4a8a1f5627ef23cc5015be9910d13c
28,Cameronicicic,19,74:37.9,9ced14dad795fff14c108f1f5b75e125c9561cbcca458a6a
29,06bob fan,19,74:44,9fbd1589d790f9f71111d94c5d75e623cc504cbccc45db3b
30,Maistas,19,74:50.8,9ceb43df8e94faf74e438f185f72e426cd561deacd45de31
31,Giisen,19,74:51.7,9cee1683d994abf41b468c4d5c76b572cd031bee9c158c3a
32,AwsomeWizard8,19,74:58.4,9ceb41df899eafa44a408f4b0b25e373cb524eb5cf188a39
33,ThroatedGoat,19,74:59.3,9ce916da8a92f0a64946d91d5a25e27fce071cb8cc46de31
34,SparksElm,19,74:59.7,9ce9178bddc4afad1e42894e5a7be322ca5718b99a44dc3f
35,Nuub,19,75:02,9cb917888c97fdf61e13dd420a70ee70cb0d15e9c813dc3b
36,B@byC@rr0t,19,75:12.9,9ce9438edc94fea51a1187185a71e07e9a0514bbc815d03f
