Placement,Name,Score,id
1,WhiteNight,1:51.683,9cee45dfd6c0fef44a448f190e21b324c9041be89f418b3d
2,zarrot,2:13.55,9cec118d8b96f1a31f118b4a5a76e526ca031eb89e42df38
3,donkeymule2,2:35.317,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
4,FeedMePi314,3:13.016,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
5,ikun,3:17.183,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
6,SupremeAvocado,4:09.667,9cb812d8dd94ffa31f40d9430d22b726cc0d19b497198b30
7,Hachey,4:18.616,9cea12888c94adf04942884f5b77e1739d0715b8cb46dc31
8,ZeroLancer,4:37.433,9fbe46ddd8c7afa41c47d94e5a76e074ce5615edcf17d038
9,Westvirginia,4:42.483,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
10,QwQ,4:52.75,9fbb44d8db92ada11e45891d5b74e173c9021ab4ca45d03b
11,Cici,5:04.567,9fbc1edf8c96a8a74d138d4f5a74e670c8571fbdcb16d06c
12,Blackbamboo,5:26.433,9fbc45dfdd91fda14d458b4e5b75b47498074fbf9f19dc3d
13,SeeRukio,5:27.483,9fbd14ded696aba54c478a1e0b72e223980115bc99148d31
14,SomeWabalan,5:46.066,9fbc1ed98c92fcf34b42dd1d0971ef779a571aba9619896d
15,A'nan,5:53.466,9fbc128cda95a8f61b43894d5a21e0269a0c4ebfcf448b3c
16,Monster,6:20.683,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
17,IndoorWallaby8,6:29.616,9fbf46888dc7aba11c108f4c597be423ce051bbacc18da3c
18,Nanachi,6:37.266,9fbe178edf91fcf111108b1e5d7be4749a574bbd9642d838
19,Loconch,6:38.517,9fbc42d9d9c5a8ac1e408a4e0d26b5719f014eb49b178c3b
20,Vert,6:48.733,9fbf13d98dc0fba74b40d94a5a74e4749d021fbe9a42da6a
21,WinterFox7,6:57.833,9cb642d9d69ef9f01e4287490b71b070cc554eef9f16df3b
22,Kerone,6:58.483,9cea168adb95aba14b458b420b25e77fce551dbbcf158a31
23,Ayeccs,7:02.867,9ced158ad6c7abf74d408e1e5f22b424cd0148b99a43dc3f
24,MuYe,7:05.15,9fbc468cdfc3ada5494bd9495725b271c40718b9cf41da6e
25,RT.Nino,7:07.666,9ceb428f8b91fcf11b14dc4f5926e5769f511db59d138c6b
26,DotTrevv,7:08.033,9ce91fded892fea41d1686190c21e370cf031fe998458e3b
27,etihw,7:10.917,9fbc1e8ed79ffca11f41dc480c71b4769a041fbec8118e3d
