Placement,Name,Score,id
1,WhiteNight,0:40.983,9cee45dfd6c0fef44a448f190e21b324c9041be89f418b3d
2,Guanium,0:47.95,9ce942dedd93a8a61e13871f5b7be77ec8054beacc428e31
3,Gone's friend,0:51.034,9fbc178e8b92f8f41f16dc1e5a73ee21ca061cbacb19896b
4,YT : ZT BTD6,0:54.667,9fba17dada95f0a71c40894d5e7ab274cd004eea99438e3d
5,Loaf of Pug,0:54.7,9ce91788d896fda11a44d91d5622e271c80c4ebf9f18db6e
6,FeedMePi314,0:55.167,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
7,Overclock,0:56.466,9fbd15dfdf97aca2494b86195874b776c50d14e99e42df6e
8,Patthebigmonke,0:57.7,9fbf12828e9fada44d41864f5d7ae575cc5014b99711dd6d
9,Axyom,0:58.85,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
10,Shhdaddysworkn,0:59.417,9fbe46de8e93fda31c16da4b0a25e171c4514bb8cc15df39
11,Evilbxnny,1:00.1,9cea11898b97f9a21f45d91d097ae7709a031fb49818d16d
12,EpilepticToast,1:00.283,9cea16dadf94abad194b8b4b0a70e770995215ed9e14896a
13,Darth Plagueis,1:00.383,9cb746da8d92aaf31b45de435a7bb072cc0d1feecb148e6b
14,Punji :),1:02.4,9ce9418ad79ff1a2494389430c76e77f98501cbe98158a3c
15,2632490895,1:03.467,9ce942838ec3adf418438d4f5921e77f9f011bbcc811d13e
16,ZeroLancer,1:05.4,9fbe46ddd8c7afa41c47d94e5a76e074ce5615edcf17d038
17,Westvirginia,1:05.517,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
18,Cici,1:07.95,9fbc1edf8c96a8a74d138d4f5a74e670c8571fbdcb16d06c
19,Monster,1:08.017,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
20,QwQ,1:08.867,9fbb44d8db92ada11e45891d5b74e173c9021ab4ca45d03b
21,SquashMyMouse,1:09.167,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
22,VeDAN,1:10.25,9cb612deddc2aaa01910de490b21b524cc5548bd9a16dc6b
23,ikun,1:10.717,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
24,animal,1:10.9,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
25,royalor,1:11.983,9fbb44d98cc2faa64c17874e0b20e7769f0414e899438e31
26,Hopper,1:12.2,9ce94183dc95faa14e458a4e5871e77f98511ebe9c41d13f
27,Baconman,1:13.667,9fbb1eded693afa21f418d495826e2719f054bbd9c15d96b
28,RiceandDice,1:14.334,9cb81682d89faaf64a1186195f75b574cc0d19bb9a458c6e
29,ImmaSnarl,1:14.45,9cee178adf95f8f34a41864e0927b424cc0549b5cb188a39
30,Domingus Boomr,1:14.6,9fbf42dddcc7fcad4c11d94a0e7be022cd5214bd9b19dd38
31,BlueFrost,1:15.933,9ced158a8dc0f0a54b4bdc185872e377cd011fed9b14d038
32,Louise,1:16.866,9ceb438e8ac3fda24e148d4c5e75e675c50019ba9a43de6d
33,YT:RCCH,1:18.517,9cb71f82dec0f9f11e168b4b5d26e472cc5618b59f108e6a
34,Geno,1:19.734,9fbf1e8edd93f9f64b138e190e77e576cb564cbb9b12d831
35,K4S6M,1:19.767,9ceb1e8ed994f8a41b41d91f5e71e423c95649b49c13893d
36,Der_ute,1:20.283,9fbd168dda95fead18458f425b76e775cd031beacb19df3b
37,Wiz1001,1:21.217,9cb64683dbc4afad104bdd185b70b522cc5548ee9e44893a
38,WeAreToast,1:22.45,9cb8138e8bc3fef61146884e5f22b424cc0d4eb89f13d13d
39,A'nan,1:23.467,9fbc128cda95a8f61b43894d5a21e0269a0c4ebfcf448b3c
40,Superbrad,1:23.717,9ce9148ed79ff1ac1e1687425d22e77fc8034cea9c11df3c
41,I_C_U,1:24.05,9cb916898ec2f9a01842894f5f21e023ce5015b89c128e6e
42,Louiskungfui,1:24.117,9fbc1fd9d69efcad1f41884a5620b375c55015bb9f178d31
43,ThaEmprahh,1:24.767,9fbe11d8d9c7fdf111108e4f5920e575cc051ee9cb45da3e
44,IndoorWallaby8,1:25.033,9fbf46888dc7aba11c108f4c597be423ce051bbacc18da3c
45,Blax 356,1:25.133,9fbb148adcc5a8a71d47861e0d7ab22498041db9cb43df3a
46,DonnieSharko,1:28.317,9ced158a8b93acf64b168f485721e071c8044cb89612d838
47,Garbok,1:28.967,9cea13828e9ffca71f45db4c5b22e77fcb0649efcc15db38
48,ALL_INSTAS!!!,1:29.75,9ced1f83d9c3fda511428e4f5b20ee71c95214e8cd43d139
49,Dakota Jackson,1:31.767,9ced428adcc2fdac4b14db4c0b74e275cc554fbeca19df30
50,3062283445,1:34.25,9fbb148adac7fba04d13da4e0925b774cb064ebd9744d03a
51,luo_bo_tao,1:35.216,9fbb43838994f1f01c4a88420a22b0769a511fe8cf108d31
52,RickAstley,1:36.5,9fbf41dddec0abf34946894a0d76e07ecb551cef97418e39
53,guumi,1:36.667,9ced1589dd92aca54d408e1e5f22b424cd0148ba9c17d16e
54,GreatMonkey4742,1:36.95,9fbd44dad9c7f8a11a108e4b0d27e422cb0719baca14da69
55,Sharpcon 400,1:37.583,9fbe1688d795f8a04c17861f0d7be37e9f5018e99815d13a
56,Cruzt,1:38.017,9cba178a8ac2afa31f40dd195875ee71cd514bbb9612dd6d
57,TTV NaonSih,1:39.85,9fbe46d9d794f0a74a40dd4f5b74e07ec50c1feac8458a69
58,Ayeccs,1:40.283,9ced158ad6c7abf74d408e1e5f22b424cd0148b99a43dc3f
59,20444,1:40.433,9fbb43888e9faaa41f118b435972e574cc0d4cba9b44d96e
60,Antonio,1:40.717,9fbb44d98bc4aff010478e485c25e77ecc0c1bb59d43da6b
61,Kuta,1:42.783,9fbd458e8cc2afa61e168c1a5627e072c80149ba99188e30
62,Raymond,1:45.133,9fbe11ded696aba61943dd1d0d76e576ca034fbaca13dd3e
63,Isa Baguette,1:45.567,9fbc1ed9d694ffa54a10894c0a77e421ce5015ed9c42d86d
64,DotTrevv,1:46.767,9ce91fded892fea41d1686190c21e370cf031fe998458e3b
65,Loconch,1:48.066,9fbc42d9d9c5a8ac1e408a4e0d26b5719f014eb49b178c3b
66,Alex,1:48.966,9fbc41d9d795f9f119448c4b0977e0229d0315bd9e16da31
67,Szarlotka32,1:49.333,9ced138a8c95fbf71c40884d0c77e776cd071ee99a44d869
68,z2k,1:49.55,9fbc418ade91ffa618408d4d0a71ee73c40c1fbccc45d96b
69,A DISPLAYNAME,1:51.45,9fbc1edd8b90acf61d17dd1e5b70b575cd041fe99744d869
70,Jerry,1:52.217,9cb841d98a96aca41f10d94b0a76b421ce5614b49611d83f
71,geronimo tauren,1:52.284,9ced158a8a9efdf31d41dd495727b075cf524bbb99128b3a
72,Mrqfish,1:52.383,9fbe44dedfc7faad1a478c485a71e172cf001fbac844d939
73,Guardian,1:53.133,9cea4588db94f1a74b14de4b5871e7219d011dee9c16db3f
74,ReWolverine,1:53.417,9fbd17dada94afa31a418a490e27e274ce0418ba9a17d169
75,Thomkraft,1:54.717,9cb7468bd995abf31913874c0a71b321cc0d14ba9f428d6e
76,PsykomanT,1:55.383,9fbd138f8dc0afac4e41db4e5976b77198071be9c8128d3d
77,Cinta_ku,1:55.6,9fbf178e8b96a8f718178b4b5c20e773cf5014bb9e198a3f
78,Aequinoktium,1:55.684,9ce910dddd95faa118118e485974e2219e054cbc9a10db69
79,SomeWabalan,1:56.283,9fbc1ed98c92fcf34b42dd1d0971ef779a571aba9619896d
80,doudizhu,1:57.234,9fbb46ded79ef9f31d40da185b76ee24cc5014e8cf46d039
81,Edubbzz,1:58.533,9cee1ed88ac0f1f34a42dc4e5a7aef23cd574feacd448d6b
82,Picea_09,2:00.167,9fbb438bd79fada01d43891f0a26b725c5514bb59c17da3a
83,CyanRabbit2842,2:00.75,9fbd16d8d896f1a34c168d4c5f7bb421990418be9b19de38
84,EnchantedBlade,2:02.25,9fbc4488dac7aca71a178b4f5e27b2749f014fba9a178b3b
85,Riegmandem,2:02.883,9fbe46838a9ffaa11d168f1e5c7ae376c55515e9c811d16c
86,Michael,2:07,9cb810ded7c5f0a54b42de4f0b7aee76cf0314b9cd168d6a
87,uvclive,2:07.467,9ceb458a8991f8f1494b884c5677e471cc024cbe9714df38
88,Player,2:10.284,9fbc448c8b90acf01940891f5970e174cc021cbbca15d869
89,Lucia,2:10.783,9fbe4682db96acf11f45dc425c77e070cb051bbfcf468b6b
90,C0nRad,2:11.234,9ce9418f8a90fdac1a42de4b0c75e77ec4014cb4cd43dc3c
91,Nanachi,2:12.367,9fbe178edf91fcf111108b1e5d7be4749a574bbd9642d838
92,ANG-Z,2:12.8,9cea1fde8b93aca34b11db4a0d75e7709a501bee98118d39
93,benni1209,2:14.583,9fbe1183d891f1ad4a46871d0c71e226cd571db89919d96c
94,Kerone,2:14.85,9cea168adb95aba14b458b420b25e77fce551dbbcf158a31
95,Arjan Hilbrands,2:15,9cbb42888c9ff8f14e4a8a4c5a25b273cc0c1aed97188c3b
96,aardcat,2:15.383,9cec4683d995aff01041da195825ee21ca034cbf99118b3d
97,msc,2:17.616,9fbb448cd694fea54d108f480d75e575c40c48b99f19d16c
98,Buttman,2:17.667,9fbb10d9d990f0a41943dc185b26e775cc5148b496168e6a
99,music_guru,2:17.867,9fbc44d88d90f1a21113861d5f7aee24c4574fbb98448a6c
100,Player1013193,2:17.967,9fbc1fd98ec7fca1104086480a73e075c8071eb9cf15db6c
101,AskingHippo,2:21.233,9fbf468fda91fef01a10de4f5e70e571c90719ba9a118c3a
102,Fif Gen,2:23.183,9fbd4589de91aca51a1387195b26ee24cb0c4bbd9814da6b
103,xererain,2:23.916,9ce941888d9ef0a34945d91e0c74e77eca051dbaca108969
104,Shaggy,2:25.817,9cb71e8e8994f0ac4c438c495f7bb077cc0d48ef96428e6d
105,impicklesus,2:26.367,9cec45dadb96aff7494786495d73b372cd0615b4c8178c69
106,Bobett10,2:27.017,9ceb438bdd94abf61c148e1d097ae271c50348ed9843d131
107,VioletHero1760,2:27.1,9fbc1e8c8d94fdf31046dc185e26b526c4574cbb9713dc3d
