Placement,Name,Score,id
1,SirCr0wley :),2:26.25,9cea43d88996fea44d47da1d5f20e07f9d034eb99813df6c
1,DonnieSharko,2:26.25,9ced158a8b93acf64b168f485721e071c8044cb89612d838
1,Jandalf,2:26.25,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
1,ISAB,2:26.25,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
2,SdEE SpeedRUN%,2:49.683,9fbb12deda93f1f01d4a891f5e76e5719e0348e89742df69
2,Your_Internet,2:49.683,9cea438b89c2f8a71c17dc485720e0259a551bbb9e45db3e
2,--Thefool--,2:49.683,9ced168a8990f1a61a4486435f72e024cf0719efca188b69
2,MoLo1276,2:49.683,9fbb438adf97f1ad1c4b8a4f5976ee7ecd0649ed9915df31
3,XSHshooter,3:05.433,9fbb418fd991fcf61c458b4e567ab576cf034eb49e13de31
3,wzymy,3:05.433,9fbc1edf8c94abf71c42da1a5c20b7719e074cb5c819896a
3,3149729122,3:05.433,9fbb168fdc93fca218138a4c5b74b073c9061aea9617dd3e
4,Zeroyyz,3:17.667,9fbb44dedcc2aaf41941dd4c5e7bb073cf0c4bba9745d169
5,Tekno,4:21.5,9fbc428bdf90fef31a1786420e25b4739d031feacd198c3f
5,SynthesisCT,4:21.5,9ce9418ad99ea8a74b108d1a5922e77eca0415b59841df6d
6,bielgrinch,4:58.85,9fbb418e899ff8f01f108a185921e574cb5014bccf418b39
6,mc zoo!,4:58.85,9fbb44898e90f0f61046d94e0c21e67ec5001ee89c418d39
6,khwissy,4:58.85,9fbe4389d695afac4c438b4c5722e272cd064ebdcf10d830
6,Kakakarotcake,4:58.85,9cec14dada97fff34b4a89495921e170c8024fba9b17d038
7,GluePhoenix266,5:26.833,9fbb1ed8d9c7aff41d43d9435e72e67299504bbacd11db3e
7,DunGeonMaster,5:26.833,9fbb438bda97a8ac4d45d9485e71b7239a0118bf9612d138
8,xiaoyu,5:37.4,9fba138f8e92f0f11e148f435727e476cc0019ee9e128930
8,Saturno,5:37.4,9fbb4388dcc4fcf14c17871e0e71b52598504ebfcc118a39
8,Xie,5:37.4,9ce9418adac5afa54b108d1a5922e77eca0415b59a19d130
8,EndP_MuC,5:37.4,9fbb42dfd6c2f8f04e16864a0c75ee769d511eb5ca41d938
9,Lucifez6160,6:23.533,9fbb428ede9eaaa34b41d94e577aef7499551cb89a14d13d
9,i_dont_sab,6:23.533,9fbc43dad7c5fea0104486185b25e2719a0419ea9913dd39
9,Sparky,6:23.533,9fbb44dddd90ada51e448f195721e025cb054bb49e45893a
10,Pajgd,6:59.867,9fbb17dfda91f8f44d148b4a0976e3259d0319edcc11da38
10,Abd,6:59.867,9fbc468ada97faad1d1388195d76b573c9064eb9cb428a38
11,Ez,7:14.834,9cec168f8a96aba41f4bdd490921e677ce514ebf9814d93a
11,Ben251,7:14.834,9cb81e89ddc3acf61816dc4b0b71e721cf051fed9c428e3b
11,IHateLife,7:14.834,9ceb468ede9ea8f31e4a89490a25e77fcd0414b5c810d030
11,MostToxicWins,7:14.834,9cb9418c8d95fca34b47db1a0a22ef26cc554fef96158939
12,Player89,7:21.183,9fbb16da8ac3faf34d13dc4e5f70e077c95119ef9a43dc6d
12,Argbf,7:21.183,9fbb138d8bc7fea41d14db4c5625b421990619bacb108a6e
13,LongShanks,8:02.8,9fbf12dad9c3aaf01d108c1d5e73e07fc8514fbb9716d930
14,yao,8:17.067,9fbd13d989c5abf74d45de1e0977e070cc554be89d41dc31
14,DiegoRagazzi,8:17.067,9fbf108cdac5f0a5104a8d4e5972e322cc041ebbc818db6b
14,LPDasBacon,8:17.067,9cea168b8dc2fef41d42881a5820e7709a551be99f10da6d
14,Wika,8:17.067,9fbd1e888b97a8ad1a11dc4a5922b47fca011abf9c12dc6d
15,Mythical,8:24.916,9ced14dfd693aca61f45894c5770e725cd071dbec841896e
15,Aidan Martin,8:24.916,9cea12dedf90fef61945dc1a5926e77fcc021ae99a468b38
16,Crystal1501,8:36.4,9ceb128c8b95f8f34a148c185722e773c40c1ae89c41de3d
16,OrangeRhino2468,8:36.4,9fbb44dad894aba21a4a874e5b21e671c50d49b5cf41d830
