Placement,Name,Score
1,masmaves,96500
2,Guanium,104000
3,WhiteNight,105067
4,AroundAverage,117033
5,donkeymule2,119133
6,suboptimal,121134
7,ZeroLancer,146617
8,WOR ZOII3 LAK,187633
9,feinberg,210966
10,01191020csl,233117
11,BengPro,235600
12,Patthebigmonke,243767
13,Essi,246250
14,FeedMePi314,261267
15,Westvirginia,267000
16,DUSK,277350
17,IndoorWallaby8,287750
18,NIK,289850
19,Vert,298200
20,SupremeAvocado,305484
21,WOR ZOII2 LAK,306283
22,Ayeccs,307433
23,Long4J,307583
24,shenbuzhi,310733
25,zuimeng,311867
26,Tequila23333,315066
27,Liam,330200
28,Nocturnal,330617
29,Player,335017
30,Player,335184
31,Loconch,337433
32,44DartMonkeys,339033
33,Kerone,340033
34,Erhe,343550
35,K4S6M,352900
36,A'nan,353666
37,940909681,357017
38,choccy onion,357017
39,Mashiro,359050
40,waner,361000
41,Dakota Jackson,370617
42,<elves>,374134
43,KotalKatil,376450
44,xianyu_1234,377516
45,mt,378683
46,Player,388167
47,BroCat58,393183
48,crazysheep,394200
49,Mawo,402750
50,Pancake <3,414433
51,duanmuhezheng,415533
52,default,419683
53,firm,422433
54,Arthur,427133
55,Captain-Gunfire,439867
56,Player1320014,450183
57,SomeWabalan,454317
58,DonnieSharko,457833
59,ILoveThisGame,460400
60,85563369,463833
61,Blild,465117
62,fafe,483950
63,Murko,492634
64,Playerzmz100,497667
65,rtthrd,500917
66,Polaris,501583
67,Player9729105,503150
68,2649935474,510400
69,kanou-suguru,511766
70,uvclive,512317
71,jing qing,519484
72,yy,523800
73,C0nRad,524533
74,EcoAlpha,526833
75,EECKLLP,542917
76,pllan,550200
77,mustangOvO,557867
78,Cinta_ku,565233
79,LonelyDog,565867
80,DotTrevv,569550
81,TRekt,574317
82,SebasTheGamer12,579884
83,CHenMoOn,584300
84,Kyle,592700
85,ronSold,598734
86,Ansppy,601783
87,mdeschu,601850
88,lxl bouns,610184
89,Isab Girl,613766
90,Hopper,619884
91,laugh to death,623767
92,DarkHeldoro,624100
93,xkylol,624750
94,Mentor,626316
95,Knuckles,627867
96,Shinybobble,628800
97,Hala_CR,629900
98,Snek,636100
99,toshii,641117
100,nuohu,642016
101,Y,653000
102,Player,653433
103,500kg(OP)noob,667433
104,Oorz,669300
105,=V=,671766
106,uniquewine,672717
107,Hqingcheng,676800
108,Luna,678867
109,yjdstcyjdstc,680933
110,3062283445,696183
111,Quiet-pin,698733
112,BlackHeaven7,707783
113,noxgloo,708600
114,doudoubtd,708816
115,Failure,714700
116,Paganizonda07,718983
117,Yang,719567
118,Player,720233
119,SeeRukio,720717
120,Player,723450
121,User-a5549921b4,723800
122,LeglessSonic,724350
123,1nteractah,725933
124,DanieL H JameS,726216
125,DocDapper,738100
126,Viiv,739400
127,dd8687336,740350
128,ElHudsano,747883
129,Chaste0702,748133
130,ALL_INSTAS!!!,749383
131,Shmeen,752250
132,song,754500
133,cutesungt,754550
134,sam,756700
135,DBirdie,759617
136,3076187549,759650
137,Player4496261,763850
138,Svenoss,765066
139,lpsz,767133
140,Anjun,768166
141,Pyro,771650
142,Gold-Games,774250
143,WOR ZOII4 LAK,774750
144,derd,780100
145,Ninja048,781883
146,Chelios,790850
147,Hollzkopf,794050
148,Slime_Channel,798166
149,Miko72,801333
150,ReWolverine,803266
151,TheBolibas,804533
152,Emelita,805283
153,Xi-temper,805350
154,Tony,807100
155,Mr.Boomer,807733
156,Player,807783
157,donut.77,810834
158,DeadBush,810983
159,Dixu,811366
160,Zeno,813216
161,Slusherstreet,814616
162,Ariky,814650
163,KiwiFreezer577,815384
164,G-GOAT,816550
165,Jesuinox,816767
166,DummeR,818434
167,VanBummel,818866
168,sabishina,819950
169,Yorch,822434
170,Kitcher,823567
171,AllenPianoMan,824783
172,NitsuaGames,826533
173,Catstone,829500
174,Pengy,830250
175,Wherestherumham,831200
