Placement,Name,Score
1,MrPieTrek,0:50.183
2,YtseJam,0:50.883
3,Sir Farmalot,0:55.5
4,Gone,1:00.817
5,Guanium,1:06.9
6,Feinberg,1:09.567
7,Shhdaddysworkn,1:10.533
8,Gielepino,1:11.133
9,Loeg,1:16.033
10,AroundAverage,1:17.717
11,FeedMePi314,1:19.4
12,YT-FynnEbsen,1:20.383
13,fafe,1:24.9
14,Ansppy,1:25.183
15,Westvirginia,1:29.816
16,Patthebigmonke,1:31.017
17,Darth Plagueis,1:32.25
18,Player3895232,1:32.534
19,Monkeman,1:32.583
20,Ayeccs,1:32.85
21,BroCat58,1:32.95
22,Pancake <3,1:33.467
23,chickenshark,1:33.8
24,KaiWTF,1:34.417
25,Mawo,1:34.917
26,M3mes,1:35.467
27,BengPro,1:36.567
28,Punji :),1:36.7
29,Lino,1:38.983
30,FraiseTagada,1:39.1
31,JackIsthebest,1:39.7
32,Thompis,1:40.217
33,Maistas,1:40.267
34,BloonGoon,1:40.85
35,Dakota Jackson,1:40.95
36,CyanRabbit2842,1:41.884
37,Kerone,1:43.483
38,Jao,1:43.967
39,Janky Joongler,1:44.134
40,xener,1:44.95
41,OnlyfansLover,1:45.616
42,KUAN,1:46.05
43,Vert,1:46.067
44,Visomero Brabo,1:46.183
45,Salmonella,1:46.5
46,gamer_643280,1:46.917
47,Nikiglatzi,1:48.233
48,K4S6M,1:48.3
49,Anjun,1:48.917
50,NIK,1:49
51,Nocturnal,1:49.283
52,cedmin,1:49.317
53,Dracula,1:50.084
54,Legend,1:50.316
55,YeetDaNoob,1:50.65
56,ZeroLancer,1:51.3
57,BlueBi0,1:52.05
58,No_Message,1:55.983
59,Amatore,1:57.267
60,EcoAlpha,1:57.95
61,Geniusgamer007,1:58.084
62,Adrian Maskowy,1:58.416
63,misdraw,1:59.917
64,OatsFX,1:59.983
65,NitsuaGames,2:00.15
66,01191020csl,2:00.3
67,Kevin,2:01.383
68,The noob,2:01.883
69,c0ntext,2:02.583
70,Poke,2:02.9
71,bonk,2:03.133
72,EveningTempo,2:03.467
73,Player,2:06.117
74,Murko,2:06.484
75,chuckddd,2:07.583
76,iBenba,2:10.066
77,IndoorWallaby8,2:10.333
78,Txmmm7,2:10.567
79,Player,2:10.6
80,Nol Weigs,2:11.017
81,specker86,2:11.867
82,DetonaRJ,2:12.117
83,Andre8657,2:12.183
84,marcel_siema,2:12.417
85,default,2:12.784
86,ronSold,2:12.817
87,DANIEL,2:13.517
88,WOR ZOII4 LAK,2:13.9
89,jing qing,2:14.183
90,settam07,2:14.483
91,PsykomanT,2:15.283
92,HappyN12345,2:16.083
93,- Cyclop3s 49 -,2:16.8
94,M0nsterCat,2:18.3
95,aWildAviar,2:18.717
96,TheIvyX,2:19.05
97,sam,2:21.333
98,729,2:21.7
99,Yut,2:22.633
100,THIGARIUS,2:24.617
101,Dasius,2:24.816
102,VanBummel,2:25.267
103,ReWolverine,2:26.383
104,Pengy,2:27.033
105,Kuta,2:27.033
106,Domingus Boomr,2:28.2
107,VeDAN,2:28.233
108,(OG) Inosuke,2:31.784
109,TheTheSwagThe,2:32.283
110,HAMZA30(;,2:32.583
111,Dixu,2:32.767
112,AOmonsta,2:33.383
113,Honeybee,2:33.467
114,BOBsomethingg1,2:33.8
115,Ariq123,2:35.267
116,Laionshin,2:35.667
117,Raxzor,2:36.467
118,ILoveThisGame,2:37.084
119,Rivera,2:38.117
120,bjay23,2:38.417
121,JustToPro,2:38.75
122,David Rojas,2:39.233
123,LontaanEKI,2:39.517
124,Hopper,2:39.75
125,Valen,2:40
126,Xplay Ygrek,2:40.55
127,Nakittaja,2:40.617
128,Affter,2:42.766
129,Alex,2:43.3
130,ALL_INSTAS!!!,2:43.567
131,Bucket Codes,2:45.017
132,A1phaeus,2:45.35
133,Covid 19,2:46.767
134,Pinheadlarryo,2:48.917
135,BloonMaster625,2:48.967
136,aboni,2:49.3
137,DireRaven,2:53.116
138,_Dejw_,2:53.533
139,Mrqfish,2:53.6
140,Aceytok,2:53.716
141,Yuri Tarded,2:59.55
142,EWIE10,3:00.3
143,Morettinho22,3:00.8
144,JALSG,3:01.233
145,Kindreddy,3:01.584
146,Ryan Bretel,3:01.834
147,VeeThor,3:05.4
148,Kilos,3:06.684
149,redaktteedd,3:07.433
150,<elves>,3:07.483
151,22Unicore,3:07.867
152,JWill18,3:10.283
153,Esky,3:10.533
154,Zogazig,3:11.6
155,Boss Shifu,3:11.65
156,Shaggy,3:14.766
157,DoomKiller123,3:16.783
158,Trichi,3:17.267
159,parczalaw,3:17.8
160,Svenoss,3:18.65
161,CyanRabbit625,3:20.367
162,LonelyDog,3:21.784
163,uvclive,3:22.1
164,Lwex 2609!,3:23.667
165,Cinta_ku,3:23.783
166,Komok Shersty,3:25.584
167,Tcrosby1313,3:26.417
168,zakokyara,3:26.966
169,Textuarydwarf,3:27.117
170,Nate360,3:27.4
171,DJSajmon,3:28.183
172,Beriogerg,3:29.633
173,der_ute,3:31.75
174,PikiFox7,3:31.816
175,G-GOAT,3:34.484
176,OlliSol,3:35.634
177,Furious1290,3:36.55
178,AJ,3:36.767
179,TRekt,3:37.35
180,TonySugarDad,3:38.35
181,Wherestherumham,3:38.35
182,Card,3:39.066
183,Krystofire88,3:39.183
184,Ragdoll,3:40.05
185,Player,3:40.517
186,jaketutto,3:40.683
187,BTDYama,3:41.133
188,Odrobro,3:44.867
189,giau,3:45.117
190,A'nan,3:49.783
191,L_x19rs,3:50.267
192,SilenceEST,3:51.233
193,Player5812346,3:51.533
194,Roare,3:51.566
195,Bonnor,3:51.683
196,Snowfall598,3:52.517
197,JustAquilla,3:53.75
198,Kriynos,3:55.434
199,KaelMaelstrom,3:55.517
200,Khalisa75,3:56.1
201,Playerzmz100,3:57.35
202,Player,3:57.967
203,Leandro,3:58.483
204,DanTheMan,3:58.866
205,DuckDuckPony,4:00.116
206,CSLA1998,4:01.05
207,geronimo tauren,4:01.517
208,Konergamer2008,4:01.6
209,SpeedMati,4:01.666
210,kubaaau,4:02.4
211,RAE,4:02.434
212,Shikeki,4:03.1
213,Monke,4:03.233
214,Redrage,4:03.417
215,ceremelia,4:03.783
216,eklofalex,4:04.083
217,Mr.PPPenguin,4:07.1
218,MonkeyPhoenix5,4:07.334
219,7,4:08.483
220,Grobel,4:08.767
221,C0nRad,4:08.817
222,SOMEBODY,4:10.25
223,TheDen_100,4:14.417
224,BruhMomento,4:14.75
225,SomeWabalan,4:15.7
226,shoot_in_kidz68,4:16.4
227,bond2501,4:17.184
228,Tomek87,4:18.783
229,StealGaming101,4:23.233
230,gimmecheese5255,4:24.166
231,lsooyooo,4:24.717
232,Rastarocket,4:28.883
233,Oliver,4:29.233
234,etihw,4:29.517
235,rumpapumpa,4:29.783
236,Dank-Energy,4:29.866
237,rainman777th,4:30.583
238,Hexaaaa,4:31.65
239,Emmac,4:32.133
240,wjy,4:32.634
241,rtthrd,4:40.266
242,UGAfan2001,4:41.367
243,Ama-Fridgepad,4:43.333
244,Pyro,4:47.834
245,ALRayman.,4:47.9
246,DotTrevv,4:49.766
247,Cheese nuts,4:51.317
248,Tequila_233333,4:52.384
249,WolfFlash,4:53.867
250,GreatMonkey4742,4:54.317
251,Jagaimo1,4:54.783
252,KotalKatil,4:55.233
253,Darknest,4:56.15
254,Loconch,4:56.584
255,light,5:00.75
256,DonnieSharko,5:01.317
257,R824,5:01.717
258,gp0lp,5:01.833
259,fylingbird,5:05.1
260,Tymo Roys,5:08.567
261,ERNO ETUREISI,5:09.433
262,Raph,5:10.267
263,MeKesh,5:16.034
264,Gerhard,5:16.116
265,SPEEDRUNNING,5:17.267
266,Player9729105,5:18.317
267,Eric!,5:20.567
268,Player1320014,5:20.717
269,dsero,5:22.316
270,Player1013193,5:26.833
271,PeachPanda2321,5:28.416
272,Beneking1,5:30.5
273,Toxic102%,5:34.433
274,Lunne,5:34.434
275,Player6350819,5:35.967
276,MrPickles,5:38.95
277,KingThunder14,5:39.033
278,Liam,5:40.183
279,Lacerda_2003,5:41.384
280,Warper,5:41.917
281,85563369,5:45.983
282,Kai the Guy,5:45.984
283,T.Tv_Firefly,5:46.783
284,Essi,5:49.083
285,Kailolovna,5:50.75
286,Viiv,5:51.166
287,Ullokwak2,5:53.083
288,Polaris,5:54.917
289,Superbrad,5:55.3
290,Jav1,5:56.034
291,Player6355670,5:56.95
292,Coolguy 56 56,5:57.134
293,Peter,5:57.234
294,BestSimsMom,6:01.133
295,TeodorJ,6:03.75
296,SebasTheGamer12,6:04.5
297,YunNova,6:06.917
298,Caua_04321,6:07.933
299,gino,6:08.8
300,shenbuzhi,6:10.2
301,waner,6:15.084
302,Mr.Boomer,6:20.35
303,dretti,6:21.9
304,Faceless,6:25.5
305,Zzz...,6:25.967
306,FrixtalzYH,6:31.267
307,miracle,6:31.417
308,skodamogadon,6:32.2
309,Banzai,6:33.884
310,Yume,6:34.25
311,2000 elo krszn,6:34.65
312,matrex6,6:36.617
313,choccy onion,6:38.367
314,Diemar2504,6:40.934
315,GreatMonkey848,6:46.617
316,DX_Daxidx,6:46.683
317,HumbleLance15,6:47
318,EVirus72,6:47.933
319,Fxz,6:48.066
320,Nxah9935,6:55.55
321,Player4496261,6:55.933
322,chocbox,6:56.567
323,BHD,6:57.233
324,Skel007008,6:58.85
325,dziadek981950,7:01.284
326,ANDERSON RUJI,7:07.333
327,87,7:08
328,Quexel_,7:12.367
329,OldButGold,7:14.017
330,Captain-Gunfire,7:15.633
331,DUSK,7:18.2
332,2649935474,7:19.85
333,2586154638,7:21.1
334,Waxy,7:22.3
335,Player,7:22.733
336,Nagisa,7:23.067
337,Player,7:24.166
338,Supermonkey,7:24.95
339,Hala_CR,7:28.4
340,Player,7:29.634
341,Blackcastle,7:29.734
342,doudoubtd,7:30.3
343,Player9414715,7:30.783
344,kanou-suguru,7:31.533
345,uniquewine,7:33.417
346,danhtheman98,7:33.833
347,WOR ZOII2 LAK,7:34.883
348,DartPopper2325,7:37.5
349,Irfan MN,7:37.883
350,AnimalLover1269,7:38.383
351,pllan,7:39.617
352,kay,7:41.05
353,PaozinhoBR,7:41.317
354,toshii,7:41.483
355,taiks,7:42.283
356,Lazlo,7:43.75
357,I hate boss,7:45.917
358,Van Kronburg,7:46.416
359,Axel Robles,7:46.8
360,xianyu_1234,7:48.15
361,Mashiro,7:48.284
362,OMEGA,7:48.45
363,Agent W,7:54.734
364,EDP 445,7:56.716
365,Mr.MieseZeiten,7:57.017
366,Xi-temper,7:58.583
367,bububu,8:00.2
368,bruhsound002,8:01.184
369,Cryptozoologist,8:02.567
370,CHenMoOn,8:03
371,ShuddaPudda,8:04.15
372,Jerry,8:05.017
373,Phoniczze,8:07.717
374,TMBXimer,8:08.4
375,noxgloo,8:08.45
376,dd8687336,8:08.733
377,Ninjy,8:13.066
378,mt,8:14.3
379,3062283445,8:14.316
380,Erky,8:14.517
381,UniG,8:14.667
382,Mr. Teeny,8:14.8
383,Anderwar,8:17.717
384,Player,8:18.167
385,alamit164,8:18.883
386,FREEZING,8:22.834
387,firm,8:22.95
388,crazysheep,8:23.2
389,Bloonah,8:24.233
390,Betinho.RGLN,8:24.9
391,AlphaFish,8:25.383
392,Christophero87,8:26.667
393,940909681,8:26.784
394,Hollzkopf,8:27.3
395,nuohu,8:28.766
396,Villain,8:29.9
397,Player,8:30.95
398,Jeffy iz Best,8:31.1
399,ConIsOp,8:31.25
400,Patkall,8:31.733
401,xkylol,8:32.65
402,Luzera,8:32.916
403,Mighty-Moh,8:34.133
404,zhaoeither,8:34.75
405,donkeymule2,8:35.383
406,Y,8:36.767
407,Barry lay yt,8:42.3
408,13,8:45.1
409,mwsm,8:45.433
410,20245414,8:47.283
411,TreeTrunks,8:48.067
412,A DISPLAYNAME,8:50.083
413,SteelMushroom,8:50.833
414,derd,8:51.217
415,A Night Eif,8:51.383
416,miknoiz,8:55.383
417,Raoultje,8:56.283
418,Juuou,8:57.367
419,mdsllink,8:57.734
420,P,8:59.484
421,3076187549,8:59.867
422,narcotic_9000,9:00.75
423,yjdstcyjdstc,9:01.05
424,lucT0T,9:04.066
425,Wilzy,9:04.683
426,HarryLeif,9:06.284
427,TheMightyRR,9:07.134
428,Koishi,9:07.334
429,kuonoxda,9:07.533
430,Tonino,9:07.784
431,DBirdie,9:07.966
432,Suijin,9:09.234
433,Tobias,9:09.25
434,Speed D,9:09.517
435,Masus,9:10.633
436,DjJayGee,9:11.383
437,Burnout673,9:11.617
438,Z.O.M.G,9:11.833
439,DanieL H JameS,9:11.883
440,SHS_tamber78,9:15.334
441,Cyanotic Spark,9:16.517
442,Fadingblitz,9:16.884
443,Wegshmer8127,9:17.166
444,hanomed,9:18
445,Loki,9:19.4
446,mdeschu,9:20.05
447,SuperMaster387,9:21.4
448,Failure,9:21.483
449,Smith Keith,9:22.317
450,schubernie,9:23.683
451,sabishina,9:24.884
452,Nighti,9:25.117
453,Soloeinar,9:25.2
