Placement,Name,Score
1,WhiteNight,186650
2,YtseJam,186667
3,Infuriation,186667
4,Guanium,186983
5,AroundAverage,187483
6,Loeg,189200
7,FeedMePi314,189250
8,YT-FynnEbsen,189683
9,114514,191683
10,Patthebigmonke,193600
11,sejamstepbro,193817
12,Gielepino,194666
13,hori san,196433
14,Lava,196567
15,Westvirginia,196800
16,Jungerlink,196950
17,Punji :),197033
18,L01Y,197167
19,ZeroLancer,197800
20,Dakota Jackson,198084
21,SupremeAvocado,198367
22,viennariver,198400
23,Shhdaddysworkn,198983
24,Domingus Boomr,199000
25,Visomero Brabo,199100
26,JackIsthebest,199433
27,WOR ZOII3 LAK,199583
28,GruchaElPrimo,199784
29,Darth Plagueis,200217
30,Remove LC Boss,200534
31,Caleb Fraser,200667
32,- Cyclop3s 49 -,200767
33,wanda true,200783
34,PIESEL,200800
35,Jao,200817
36,Dihzzy,200867
37,ILoveThisGame,201033
38,Alkos,201316
39,Alexpv8080,201550
40,Monster,201617
41,VeDAN,201717
42,BengPro,202117
43,Marshader,202183
44,redaktteedd,202250
45,mizon yala,202333
46,Monkinator,202984
47,BloonGoon,203050
48,Dasius,203050
49,dsero,203167
50,ikun,203333
51,TheProz2006,203750
52,Kevin,203800
53,NicoYeet,203800
54,Nocturnal,203967
55,Peter,203983
56,Hopper,204250
57,BroCat58,204367
58,IndoorWallaby8,205617
59,K4S6M,205767
60,taiks,206234
61,Vert,206650
62,chickenshark,206734
63,Player9414715,207217
64,A'nan,207300
65,Cloudy,208100
66,Vatorino,208266
67,Bonzo,208350
68,Pineapple,208466
69,2649935474,208550
70,ANG-Z,209017
71,Tav alt,209067
72,Ayeccs,209300
73,No_Message,209383
74,StarKirby749,209767
75,iBenba,209783
76,geronimo tauren,209900
77,Roboh510,209983
78,TheIvyX,210833
79,Totti,211050
80,Secno,211150
81,Salmonella,211300
82,Rivera,211400
83,bonk,211433
84,DireRaven,211566
85,Takagi,211850
86,Fireryred,212016
87,Player,212250
88,UwUlfy,212450
89,Valen,212566
90,FraiseTagada,213350
91,WOR Z050 LAK,213583
92,WIZARDPARAGON,213616
93,default,213950
94,Oatmaster53,214150
95,M3mes,214267
96,Darkened_Duck,214384
97,Kerone,215333
98,chenboy 467,215450
99,choccy onion,215467
100,DANIEL,215717
101,Heriko04,216750
102,01191020csl,217866
103,kingmann1111,217967
104,Bjarne,218517
105,RiFt,218617
106,truebqccq,219383
107,David Rojas,219650
108,jdeer9,219817
109,<elves>,220033
110,fo0zya,220250
111,xiaohuanwizard,220267
112,7,222067
113,Marimba,222167
114,Psi,222233
115,GreatMonkey4742,222600
116,Dylan Gray,223816
117,gnay321oah,224717
118,AwesomeDude097,224733
119,JustSummmer,224767
120,Liam,225000
121,BlueBi0,225116
122,ronSold,225116
123,Lino,225250
124,Shinybobble,225416
125,ANDERSON RUJI,225450
126,Kirtap,225583
127,NIK,226150
128,Ev1de,226216
129,ttotto0417,226250
130,ZK_Kondzio,226734
131,Double J,227283
132,chuckddd,228816
133,Emel,228917
134,ivo_trumpetdude,228967
135,Arthur,229100
136,SomeWabalan,229333
137,houssam_masri,229700
138,roasted_bird,229967
139,ScoobsinBloons,229984
140,Flo28,230216
141,Gray Fullbuster,230333
142,Raymond,230483
143,VanBummel,230583
144,Kindpuffer,231617
145,PsykomanT,231684
146,Player7916100,232050
147,LtChaos18,233200
148,T.Tv_Firefly,233450
149,C0nRad,233716
150,DotTrevv,234150
151,OnlyfansLover,234417
152,Toon_WIZKHALIFA,234600
153,xener,234883
154,lollypatrolly,235267
155,Player,235417
156,pommes17013,236100
157,Superbrad,236500
158,Loczekson,236784
159,uvclive,236850
160,Weadeater,237250
161,Dave,237567
162,Sk8FastEatA55,237666
163,HeroicTiger1583,238083
164,NerfNinjaEngy,238483
165,KotalKatil,238783
166,TinTin,238900
167,Brixel,239333
168,Grobel,240816
169,jert0423,241083
170,Kiwi,241417
171,nibazaici,242167
172,Mjolnir,242217
173,G-GOAT,242567
174,Aequinoktium,242717
175,Poreduess,242983
