Placement,Name,Score
1,WhiteNight,4:40.883
2,Guanium,4:41.2
3,donkeymule2,4:45.85
4,Remove LC Boss,4:50.133
5,AroundAverage,4:50.9
6,Patthebigmonke,4:57.333
7,WOR ZOII3 LAK,4:58.267
8,FeedMePi314,5:01.067
9,BengPro,5:27.883
10,Monster,5:43.2
11,WOR ZOI1 LAK,5:48.8
12,Raxzor,5:50.216
13,ikun,5:58.984
14,WOR ZOII4 LAK,6:14.75
15,NIK,6:27.434
16,3062283445,6:29.517
17,Pancake <3,6:33.984
18,Nocturnal,6:34.834
19,A'nan,6:35.35
20,ILoveThisGame,6:37.35
21,Agent W,6:40.35
22,PHUC DU,6:40.833
23,M3mes,6:46.717
24,2649935474,6:48.133
25,Liam,6:50.75
26,User-a5549921b4,6:52.333
27,940909681,6:54.55
28,Kerone,6:58.4
29,64918652,7:00.467
30,WOR ZOII2 LAK,7:01.7
31,Player,7:03.783
32,Tequila_233333,7:10.183
33,Player,7:14.933
34,EECKLLP,7:27.184
35,Polaris,7:28.034
36,pllan,7:28.7
37,SomeWabalan,7:29.283
38,uvclive,7:30.917
39,bonk,7:35.883
40,Ayeccs,7:36.55
41,KotalKatil,7:40.233
42,Mashiro,7:40.65
43,VioletHero1760,7:46.367
44,Dakota Jackson,7:46.75
45,Betinho.RGLN,7:48.7
46,Wythe,7:51.85
47,Petrichor,7:54.283
48,1140735506,7:54.55
49,Loconch,7:56.283
50,IndoorWallaby8,7:58.683
51,Y,8:01.033
52,fafe,8:03.734
53,Player,8:13.167
54,SebasTheGamer12,8:14.584
55,Erhe,8:15.567
56,LonelyDog,8:15.616
57,lpsz,8:28.783
58,CR7,8:28.883
59,ZYR,8:29.717
60,rtthrd,8:34.6
61,chocbox,8:46.034
62,Superbrad,8:46.15
63,ALL_INSTAS!!!,8:54.3
64,Ansppy,9:04.483
65,Player,9:06.134
66,c0ntext,9:09.766
67,xianyu_1234,9:17.383
68,Jerry,9:19.8
69,FabzGreenww,9:23.733
70,Failure,9:27.767
71,zhaoeither,9:29.45
72,Player,9:30.284
73,ToddChris,9:31.967
74,Staphaureus,9:37.133
75,mdeschu,9:50.817
76,Devin Kurant,9:51.267
77,Player,9:53.533
78,mizon yala,9:56.633
79,Supermonkey,9:57.417
80,Anderwar,10:07.1
81,Christophero87,10:07.217
82,263547,10:13.066
83,spoony_qing,10:32.733
84,SpiritBearOkku,10:33.083
85,CIRCO*bruNera,10:33.3
86,Godynovv,10:36.7
87,bububu,10:41.75
88,firm,10:43.5
89,2312165978,10:53.934
90,KingThunder14,10:54.883
91,A DISPLAYNAME,10:56.017
92,Urgot,10:56.25
93,SteelMushroom,11:04.5
94,Kival Evan,11:10.1
95,wonder_joy0,11:17.75
96,Emelita,11:18.967
97,Dohhaaja,11:24.133
98,cadfje,11:28
99,dd8687336,11:29.3
100,ReWolverine,11:32.85
101,Xi-temper,11:49.317
102,The-Epiphany,11:51.583
103,A6503,11:54.833
104,Louis.Yu,11:59.217
105,cutesungt,11:59.217
106,bankennkun,12:01.75
107,Ariky,12:05.35
108,Miko72,12:07.433
109,Introlyse,12:08.084
110,MeteoroB,12:09.166
111,Smurfblade,12:10.7
112,DocDapper,12:13.866
113,song,12:14.234
114,mrsquie,12:14.884
115,vengeance,12:17.767
116,MeowSummon,12:19.466
117,A Potato,12:25.866
118,G-GOAT,12:26.217
119,Wobbles,12:27.417
120,iuueeng,12:29.8
121,doudoubtd,12:30.683
122,Khavik,12:30.716
123,Berkano,12:30.867
124,Luna,12:32.967
125,yjdstcyjdstc,12:33.05
126,Massive,12:34.134
127,Player,12:34.417
128,Reasons why,12:36.85
129,Mitchbemon,12:42.75
130,Bloon squash,12:43.983
131,No,12:47.1
132,Funny Valentine,12:48.434
133,VanBummel,12:48.5
134,Jumbledmind24,12:49.334
135,Shaggy,12:50.316
136,2134565,12:50.55
137,AlphaFish,12:52.834
138,Gorzata,12:53.85
139,YoguretZ,12:54.05
140,Chelios,12:55.017
141,Ares,12:57.283
142,nuohu,12:57.833
143,Romorlau,12:58.5
144,IamHusky,12:58.684
145,Nighti,12:59.967
146,Storm,13:02.6
147,TandborsteN,13:05.1
148,43Ahmed4344,13:05.367
149,KigyozoFeri,13:06.133
150,hoovy_gamer,13:08.217
151,bruhsound002,13:09.834
152,Player,13:10.933
153,wclei,13:11.55
154,FREEZING,13:12.1
155,AllenPianoMan,13:14.916
156,Aconis,13:18.367
157,Guz00,13:19.05
158,Yume,13:19.5
159,Dogwater,13:20.616
160,va_nish,13:20.817
161,(Dp) Nah m8,13:23.2
162,Ethan Hawkins,13:26.467
163,ZER0ii,13:27.333
164,Bsbisa,13:28.266
165,sadsad1370,13:28.267
166,Player,13:28.4
167,Namron_X,13:30.883
168,FighterMaze,13:33.784
169,Player9414715,13:34.183
170,20245414,13:34.234
171,Player,13:39.066
172,HOYHOY,13:39.517
173,Yorch,13:39.85
174,DarkSnas,13:41.016
175,topaz2698,13:43.017
176,aWildAviar,13:43.484
177,lucT0T,13:43.783
178,Knuckles,13:44.367
179,moto4ok,13:46.1
180,Django,13:46.634
181,Oat,13:48.45
182,4234is,13:49.916
183,REBE,13:50.966
184,skrunkewunk,13:52.516
185,abstractdragon,13:53.866
186,Stregabor,13:53.9
187,ArtfulNova,13:55.383
188,DoomKiller123,13:57.117
189,Phantomgunner,13:57.634
190,Smith Keith,13:57.666
191,Player,13:58.05
192,GabyHelp,13:58.05
193,Player7369159,13:58.416
194,Connor,13:59
195,CyanRabbit625,13:59.85
196,mrEli,14:00.617
197,Hallowinner,14:02.817
198,Kapejko,14:04.133
199,PikiFox7,14:06.466
200,PyroFlare,14:06.466
201,Nesc,14:06.633
202,Tom,14:06.85
203,NitsuaGames,14:08
204,Darian,14:08.4
205,awsr,14:09.183
206,Manisdor,14:10.016
207,Vynroid,14:12.933
208,Sprinkles152,14:13.2
209,mdsllink,14:13.283
210,Amon,14:18
211,Delta_Phoenix,14:18.417
212,DarkSweetHK,14:20.066
213,Seabazz,14:20.383
214,IronMage2309,14:22.483
215,KipperTail,14:22.583
216,Lemon,14:24.933
217,693472654,14:26.217
218,maltefp,14:28.283
219,abcdefend,14:28.883
220,AcerZ,14:31.033
221,Lunne,14:32.867
222,La-4che,14:35.083
223,H2,14:36.75
224,RizzCargo,14:37.733
225,Potatoemunch,14:38.033
226,Ronin,14:38.617
227,unbanbulka,14:40.917
228,Dpacman,14:41.85
229,Khan1995,14:42.65
230,EventualPay4,14:43.017
231,07henkka,14:43.084
232,13,14:44.667
233,Hyoretsu,14:45.25
234,An Outsider,14:46.067
235,Rayofdoom1227,14:46.85
236,HappyN12345,14:48
237,LiTianSuo,14:48.083
238,Kapitalisti,14:48.1
239,Tobias,14:48.316
240,Knorke,14:48.967
241,Gold-Games,14:49.317
242,IcePhoenix2056,14:49.684
243,bjay23,14:49.816
244,Robin,14:50.267
245,ckdd,14:50.916
246,HappyHippo,14:52.683
247,uRboicHIPp,14:52.783
248,kke,14:53.116
249,Gyld,14:54.833
250,Diego27kpro,14:54.884
251,wonwus,14:56.267
252,FakeRick,14:57.95
253,Karantes,14:58.967
254,Verticex00,14:59.417
255,navachdermeere,14:59.967
256,Huz,15:00.6
257,Vlip2010,15:01.567
258,renatobsf,15:01.783
259,Miz EG,15:02.916
260,BobbyRoss42,15:03.017
261,LoL_Guy_Die,15:03.567
262,Kralju,15:05.15
263,Tong Lexuan,15:05.783
264,rockzolid,15:05.85
265,Ryan,15:06.15
266,Ginosaji,15:07.483
267,Player,15:08.817
268,Nick Frost,15:08.85
269,Furlas,15:09.034
270,Player7904584,15:09.15
271,WILLDENPLAYS,15:09.5
272,Jacob,15:09.7
273,Irfan MN,15:10.8
274,FluffyUnicorn,15:11.683
275,playersamp420,15:12.034
276,Dixu,15:12.65
277,gort,15:12.916
278,WarrenG1001,15:13.05
279,Player6187869,15:13.167
280,IcePhoenix3801,15:13.317
281,Li,15:13.433
282,Amaryllis,15:13.9
283,Emmac,15:14.35
284,Luke,15:14.416
285,Gold-Games_SK,15:14.533
286,Player,15:14.983
287,goden monkey,15:15.934
288,Dirk,15:16.1
289,German,15:16.834
290,inphi,15:16.9
291,jeffunicorn,15:17.1
292,agarionoobz,15:18.65
293,wolf12,15:19
294,SavDoge,15:19.55
295,Rozaxa,15:20.05
296,Player,15:20.567
297,Luzianne,15:20.65
298,Rikki,15:20.883
299,Support,15:21.25
300,Meta_Kirby37,15:21.417
301,Alyserse,15:22.3
302,rainman777th,15:23.517
303,TopFreezer8057,15:23.883
304,OttO,15:23.917
305,Hakes.,15:24.017
306,Jet Maneheart,15:24.417
307,DaviT2901,15:24.8
308,Flynn,15:25.217
309,Pudding,15:25.45
310,pirarucu,15:26.017
311,1_Dio_brando_,15:26.916
312,spookey1456,15:27.067
313,Player3175974,15:27.416
314,Beddish,15:27.934
315,Tuat,15:28.033
316,lele12481632,15:28.234
317,kafsao,15:28.817
318,MichaelLalsangpuia,15:28.85
319,Felkazz,15:29.134
320,ThuNder,15:29.667
321,D4v1d,15:29.95
322,Player897293,15:29.967
323,Steveo,15:30.467
324,TheMightyRR,15:31.733
325,alvinokp,15:31.817
326,King Arthur,15:32.017
327,1BV,15:32.15
328,RoT q p,15:32.217
329,Zz_,15:32.533
330,CleanerHase,15:33.75
331,LiL $KRiL,15:33.917
332,Vik,15:34
333,Mining,15:34.25
334,Player,15:34.4
335,AlfMT,15:35.133
336,r9,15:36.1
337,PeachPanda3530,15:36.4
338,StranaScimmia,15:36.8
339,Douga,15:37.383
340,JOKER,15:37.4
341,Player,15:37.783
342,GAME OVER,15:37.834
343,CHENGnianM,15:38.083
344,Rocky4228,15:38.134
345,JQsen,15:38.85
346,Ding Chilling,15:38.85
347,JaviProxD1120,15:38.866
348,Jesuinox,15:38.984
349,Camponess,15:39.417
350,ValiantBadger22,15:39.65
351,lethalnarwall,15:39.733
352,yak40773,15:39.8
353,Metal_Jesus666,15:40.617
354,G0D Issa,15:42.617
355,depressao,15:42.95
356,479290165,15:43.083
357,isikmert1,15:43.5
358,tungstone,15:43.65
359,timmertim2008,15:43.867
360,GOD,15:44.05
361,YoPlayer,15:44.367
362,Theddeus Liu,15:44.85
363,King,15:45.2
364,binglong,15:45.283
365,ZeNyCL,15:45.3
366,Sarhiix,15:45.367
367,Lokura,15:45.483
368,WALAWALQ,15:45.8
369,Lillizzie,15:46.217
370,QuitschiCOBHC,15:46.616
371,Player04,15:47
372,Slime_Channel,15:47.95
373,Huse,15:47.983
374,Agent Six,15:48.683
375,Zanons,15:48.716
376,Driver 6865,15:48.883
377,Magicskill241,15:48.916
378,suniL,15:49.033
379,Kindreddy,15:49.233
380,Trevor Mode,15:49.517
381,PapierzPolak,15:49.734
382,schnibb,15:50.05
383,XDahora,15:50.166
384,Player,15:50.216
385,LeoW,15:50.834
386,Mr Banana,15:51.05
387,vadim5007,15:51.4
388,XxHACKERxX,15:51.583
389,Sixten Haga,15:51.75
390,avenberry,15:52.083
391,Kotel,15:52.484
392,dDISTURBEDb,15:53.233
393,ICHFLEXDICHWEG,15:53.7
394,aammo,15:53.767
395,Player,15:53.966
396,Slothboy,15:54.217
397,NepDownTown,15:54.25
398,artthur999,15:54.584
399,Stephan,15:54.716
400,NotSure,15:55.617
401,Darkline,15:56.133
402,NinjaMaster105,15:56.216
403,skygunfe,15:56.35
404,Luzera,15:56.583
405,JayZ,15:56.966
406,Nir,15:57.1
407,FapFox,15:57.15
408,Mailman2500,15:58.167
409,iloscar,15:58.717
410,mitashhh,15:58.917
411,little bit**,15:59.05
412,MOGG,15:59.066
413,Kanga Shiro,15:59.966
414,Tony,16:00
415,mathieu,16:00.284
416,FLANAMAN,16:00.6
417,Cheese,16:01.683
418,Player,16:01.917
419,DoBe,16:02.1
420,Virsagonn,16:02.366
421,PeachPanda4391,16:02.933
422,unLucky :(,16:03.117
423,Shavyha_off,16:04.534
424,Predator Peach,16:05.017
425,Watermelon,16:05.017
426,Blast,16:05.316
427,BEGONE,16:06.416
428,Waldos F,16:06.534
429,Benoit,16:06.75
430,TeodorJ,16:06.916
431,Redmistic,16:07.283
432,McGiuzinhoSBO,16:07.567
433,LEO,16:08.066
434,Terpy,16:08.083
435,1st Ned,16:08.3
436,rnylund05,16:08.366
437,DeltaVanStream,16:08.834
438,Conoccoli,16:09
439,MagicQueen,16:09.1
440,Teddy,16:09.367
441,GreatMonkey2945,16:09.584
442,icezolt,16:09.833
443,Sean Kee,16:10.133
444,Battlebros1,16:10.433
445,Shuvuu,16:10.434
446,Hideakie,16:10.567
447,Kachidoki,16:10.8
448,cwelson,16:11
449,BlqckFox,16:11.15
450,unkn1tsquash,16:11.283
451,Vito_2003,16:11.316
452,Player,16:11.55
453,VileRocK,16:11.917
454,Player,16:12.034
455,Plawiz,16:12.55
456,chronicle,16:12.6
457,Redrage,16:12.7
458,Oxhy,16:12.8
459,ElGato,16:12.816
460,Alex hatz john,16:12.967
461,WizarteroX,16:12.983
462,Blackdragon,16:13.417
463,Stix,16:13.567
464,Max_Power_HS,16:13.666
465,dior,16:13.866
466,tenmo player,16:14.116
467,Kirby:),16:14.117
468,Lamp bulb,16:14.334
469,Fredoriko,16:14.416
470,Saft Getraenk,16:14.65
471,Jalenn10,16:14.666
472,PurpleDolphin60,16:14.717
473,itiskop,16:14.783
474,night,16:15.167
475,WestyB48,16:15.266
476,Y2J,16:15.484
477,Funnyname,16:15.6
478,Geriz,16:15.683
479,suck,16:15.917
480,Kang,16:16.083
481,Imnotcool4,16:16.317
482,PLAYER_TWO,16:16.384
483,Saibot,16:16.683
484,Minimadguy67,16:16.766
485,VioletHero4007,16:17.1
486,Viiv,16:17.6
487,Smithy43210,16:17.8
488,swell,16:18.466
489,RR,16:18.634
490,Itz_Lykes_BTD6,16:18.866
491,liuzixuan123,16:19.166
492,Glaze,16:19.517
493,Fedrusya,16:19.6
494,Vol Demortal,16:20.15
495,Snackguy,16:20.167
496,CarpeDalen,16:20.283
497,Alvinho,16:20.434
498,LeFlyathon,16:20.45
499,Nugget0797,16:20.766
500,Bleak,16:21.167
501,HAERIN <3,16:21.234
502,Glue Gunner=OP,16:21.484
503,Pastel,16:22.05
504,tylerthibodeau,16:22.466
505,portuluga,16:22.467
506,Killr,16:22.684
507,MartLetsPlay,16:22.767
508,Carina,16:22.867
509,Simba,16:23.25
510,TopTower80180,16:23.35
511,YoinkySploinky1,16:23.75
512,Player1748792,16:23.75
513,GDUMB3C,16:23.767
514,yes,16:24.217
515,Player,16:24.284
516,Nightmare,16:24.317
517,Hu3du,16:24.583
518,_Londres,16:24.583
519,LootMaster69,16:24.75
520,iEric,16:24.95
521,Bobby,16:24.95
522,PapaSmurf,16:25.067
523,lufccorey1993,16:25.166
524,Andu,16:25.367
525,Weppie2002,16:25.4
526,Bzzzt,16:25.417
527,gijmpf,16:25.45
528,Chiis,16:25.467
529,Yiayboi,16:25.666
530,Bridge,16:25.783
531,shadow,16:25.783
532,Speed D,16:25.95
533,Player1107506,16:25.966
534,Bartecis,16:26.016
535,Player,16:26.05
536,SomeFatGuy,16:26.366
537,J U I C E M A N,16:26.416
538,AwesomePopper6,16:26.7
539,Viraxel,16:26.834
540,DEDE,16:26.983
541,Fat Pusty,16:27.217
542,Oofy,16:27.333
543,Helium,16:27.5
544,Aidan,16:27.683
545,QLPIK,16:27.767
546,Tur1n9,16:27.817
547,Endergoni_,16:27.883
548,Papenor Leuscar,16:27.9
549,volf30k,16:28.016
550,Lonemuk,16:28.316
551,sasy82721,16:28.35
552,rainclover,16:28.434
553,DGPlayer,16:28.45
554,Sicario2007,16:28.65
555,Zephyr,16:28.983
556,Mag3.14,16:29.884
557,Xiper666,16:29.95
558,Yunyunyu,16:30.1
559,in_kc,16:30.25
560,Deflang,16:30.384
561,Player,16:30.483
562,CyOWA,16:30.517
563,oooooooo,16:30.617
564,Emperyal,16:30.966
565,IncandescApe,16:31.716
566,Niko_Belick,16:31.833
567,3H0lt,16:31.9
568,Meep3068,16:31.95
569,TopWizard7276,16:32.084
570,hirogracz,16:32.433
571,JaySun,16:32.45
572,corgo ship tree,16:33.05
573,hisoka1,16:33.217
574,Adam Blakey,16:33.266
575,Singletrouble19,16:33.4
576,Warior Tmk,16:33.883
577,El Barto,16:33.983
578,Skip The Life,16:34
579,rob3n,16:34.283
580,Nuts,16:34.634
581,Tenyoush,16:34.733
582,Karnikal,16:34.883
583,PizzaPockets,16:35.45
584,rauwe-vogel,16:35.833
585,DARTH ENIGMA,16:36.283
586,WalkingBrain,16:36.3
587,=V=,16:36.317
588,Monkeyjumper69,16:36.384
589,WujcioDimitri,16:36.4
590,Ring of Fire,16:36.7
591,Bigboibiscut,16:36.934
592,Kongers,16:37.55
593,JohannesS420,16:37.6
594,KiwiFreezer815,16:37.817
595,Steam Player,16:37.85
596,F3dS0ny,16:38.25
597,SpinalDragon,16:38.367
598,Monkey Tamer,16:38.433
599,Billy Bob Joe,16:38.683
600,GalacticEevee,16:38.917
601,sBKM Arjuna,16:39.033
602,Smother04,16:39.25
603,gungrave176,16:39.35
604,Player,16:39.534
605,Jakey0122,16:39.85
606,J04N99,16:40.234
607,Bartekur,16:40.434
608,Visomero Brabo,16:40.583
609,ZenTheMattress,16:40.9
610,SuperAce71525,16:40.95
611,Kyle,16:40.983
612,TheKing11199882,16:41.8
613,Bati,16:41.834
614,Piegus23,16:41.9
615,PurpleCarrot,16:42.034
616,Sodye,16:42.267
617,PA1N0711,16:42.567
618,NicNicNic,16:42.634
619,Kim  JinYung,16:43.017
620,amiraaaa,16:43.517
621,KmC,16:43.883
622,LTA-Reaper,16:44.45
623,Lickay,16:44.566
624,Gustavo_jgf,16:44.7
625,Player,16:44.733
626,Kkmaier,16:44.867
627,TEMMI3,16:45.033
628,dyingtrying,16:45.416
629,:),16:46.35
630,piggy,16:46.917
631,Player,16:47.217
632,joao.fernandes,16:47.466
633,samrat19999,16:47.467
634,IMortel,16:47.5
635,chidekko,16:47.65
636,OshyWoshy,16:47.65
637,biryu75,16:47.767
638,Benjaminimum,16:47.884
639,hammah boy 32,16:47.984
640,ForeverLove,16:48.717
641,Player7535052,16:48.784
642,ThunderBolted,16:48.984
643,NorthKira,16:49.15
644,Schlauchboot,16:49.2
645,Kieran,16:49.317
646,Andrew Dhaenens,16:49.767
647,Player5232078,16:50.133
648,Pinehill,16:50.434
649,Igamarosnivy,16:50.85
650,Player2482709,16:51.2
651,Daniel,16:51.333
652,LCaneiro,16:51.383
653,Aceto2006,16:51.383
654,Morettinho22,16:51.417
655,157517306,16:51.433
656,Zecikk,16:51.617
657,STEROIDSMONKEY,16:51.983
658,Ethan,16:52.083
659,Imac,16:52.467
660,Hugga,16:52.8
661,uniquewine,16:54
662,Hellogoodbye,16:54.2
