Placement,Name,Score,id
1,FeedMePi314,884195,43:24.8,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
2,YT: ZT BTD6,962035,43:22.7,9fbc178bdfc5faa04c45de4d587be77fc4061fbec8128c3c
3,hengzwis,972645,50:46,9fbc428d8c9eadf31c45de195f72b025980c14ea9746de6c
4,animal,1105340,121:44.4,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
5,Axyom,1117615,39:27,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
6,JustInTheHouse,1327850,37:20,9ce9108dd7c0fdf61f168a195d25e721cf5249e8c810d83b
7,DonnieSharko,1328650,36:20.4,9ced158a8b93acf64b168f485721e071c8044cb89612d838
8,WeAreToast,1336255,179:43.9,9cb8138e8bc3fef61146884e5f22b424cc0d4eb89f13d13d
9,VC Overseas,1348915,30:52.7,9fbb418cd9c5f1a418408c420976ef25c80049ef9714d93f
10,Superjombombo,1377365,40:37.3,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
11,PowerDino3773,1390845,36:38.8,9fbb1e8dd692f0a61f10864d0d76e470cb014cbd9a468a3e
12,PolishFlag39.0,1405440,36:08.3,9ced46dedcc2fdf31b44864b0d76e374ca0c1bef9c14d06e
13,Grand Seiko,1411225,32:31.2,9fbb438c8d91fff34c42dc4c5d20e676cd034ebd9b16dd3e
14,Hopper,1424210,34:52.8,9ce94183dc95faa14e458a4e5871e77f98511ebe9c41d13f
15,Tote Glock 9s,1457545,40:39.5,9fbb438fdcc5faa21a47dd195827e6249d0d14ed9a10dc38
16,buttman,1460035,31:26.4,9fbb10d9d990f0a41943dc185b26e775cc5148b496168e6a
17,Louiskungfui,1464765,35:53.7,9fbc1fd9d69efcad1f41884a5620b375c55015bb9f178d31
18,giuliovhr,1465130,34:04,9cec4189da97f1a24a168d1e5b25e224c9521ce89e41da3d
19,circpaydad,1465200,31:28.8,9cec41df89c3fbf31c42874b0b7ae022cb5214bf9941db3e
20,Milin,1470010,32:06.3,9fbb168bdac0afa11a45dc490d22b225ca514ceecb178a3a
21,Redy the bird,1474340,38:32.7,9cb8128d8dc7ffa61c11861a0976b575cc0d4eb997128b3e
22,Lionheart233,1476125,33:23.2,9ce945ded990f1ad11468c425d22e3229d561bbccc16de6e
23,K326,1507315,37:37.7,9fbc1e8d8cc3fdad4b46dd1d5776ef71cf021db99c468b6c
24,Topaz,1512815,36:54.5,9cb7158fdb9fada34c4bdb4a0d73e176cd504be9cb17dc38
25,Yeeet,1521925,161:26.4,9cb943d9dd91fff3111786435c77b477cc0d1ee9c815d13a
26,krasi093,1522425,37:53.4,9fbf1583ddc7aaf11d11874f5821e771c40349bb9c198b3c
27,FiatAccompli,1524740,36:58.2,9ce941d88a9faba41e4add4e5f71e421cc0c4bb496448a31
28,doudizhu,1526410,30:27.3,9fbb46ded79ef9f31d40da185b76ee24cc5014e8cf46d039
29,xererain,1540530,27:45.8,9ce941888d9ef0a34945d91e0c74e77eca051dbaca108969
30,karma3023005719,1543515,35:39.3,9fbb44deddc2f1a34e4b8f4f5d7ae7259d011ee8ca12db3e
31,Viiv,1549185,34:36.5,9ced1f8cd692ffac191189425d25e074cf0419efcb18d030
32,petemob,1557830,35:48.1,9ced1782d894fcf01d40dd430c77e426cb524ebd9a12dd3c
33,ETL,1559430,34:01.5,9fbb1ededdc2f9a71f418d495826e2719f054bbc9f18df69
34,Creator,1576565,34:57.9,9cba12da8bc2fff64b118b195870ee21ca5514bdc8458d6e
35,Supermonkey,1590070,34:32.7,9ced158a8bc0fbf31d41dd495727b075cf524bbb9816db38
36,479290165,1595515,31:16.9,9fbc1ed8d7c7ffa14e41db4e5c7be0219d001ee897468c31
37,DeepSea,1601690,35:03.1,9fbb4182899efff119118b4e0d26e07ecd524cbb97138b69
38,kuososo,1602780,27:07.4,9fbf17d98c96a8a44a44894d5875e771ce0d1ab59e46dc69
39,JLC,1611000,25:38.4,9fbb428a8e90f8a14a44864d5a21e0249f064cefcb44d03d
40,Kyle (Niwatori),1617975,32:55.8,9fbf438ed694fca44e41d94c5625e175ce501cbd9917da3b
41,Remedy,1668220,26:25.6,9fbf428d8cc3aca5114bd91f5b7ae722c5024cb9c817dc3b
42,BB58,1679240,31:27.3,9fbb43dad891fca54946d94e0921b721ce501ded9b41d06b
43,Mr8k,1685560,33:38.9,9fbe128fda9ffba41e1389190b70e6749a511cb89a178d3e
44,ZeroLancer,1694680,34:51.1,9fbe46ddd8c7afa41c47d94e5a76e074ce5615edcf17d038
45,Trapipi,1715225,37:33.9,9cea458b8a91f9a24e4ada4d0b27e77fcf051ebb9619db6d
46,Aceplane,1717840,33:43.5,9cec168edec3abf44d138a4d5c21e023ce5118be9f18dd3b
47,Luna,1731180,34:04.4,9fbc12dddbc2fef34c468c4a5a27b77ec9564eed9b138969
48,CEDBURKES,1745800,31:05.9,9ce9178cdbc7a8f31a41884b0c25e6749e5715eecc13df3f
49,ZZ LOVE CY,1771995,35:23.7,9cec4688d695adf410108d480925b223cd071eb8c8458e6a
50,HELP ME,1772090,31:37.4,9fbb44ddd797f9f31d4487195626b3779a054bb59e18dd38
51,rtthrd,1775380,34:59.1,9fbf128edac7fba410178f1e0d21e42198561bee9f11df6d
52,Hypernova,1783185,35:17.9,9fbc11ddd7c5fda51b14da185a7ae121ce5618b4cd43db6b
53,Milish,1784095,32:36,9fbd1f8f8a95fcac1c448b420920b771cb521eb4c843df38
54,A DISPLAYNAME,1784340,29:34.4,9fbc1edd8b90acf61d17dd1e5b70b575cd041fe99744d869
55,SquashMyMouse,1784455,31:42.4,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
56,Yuinnna,1784495,29:20,9fbf438dde9ef8ac1b4a86180a73e6229d0114b8cf178a6b
