Placement,Name,Score,id
1,impicklesus,166695,27:01.5,9cec45dadb96aff7494786495d73b372cd0615b4c8178c69
2,xing er,172710,47:21.2,9cea118a8b90acf31c4a8649097ae77fc9074ee99743d93e
3,WeAreToast,176295,45:22.5,9cb8138e8bc3fef61146884e5f22b424cc0d4eb89f13d13d
4,FeedMePi314,177700,55:05.6,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
5,VeDAN,185030,47:01.8,9cb612deddc2aaa01910de490b21b524cc5548bd9a16dc6b
6,FiatAccompli,189040,39:20,9ce941d88a9faba41e4add4e5f71e421cc0c4bb496448a31
7,ISAB,192395,67:20.4,9fbe1fde8bc4aca31844881f5e75e5769d0c18bacd43d96d
8,ISAB,196735,46:39.9,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
9,tbsp,203590,49:49.6,9fbd43d8dfc2faa44d138f4c0c70e726cd551fb5cd148a6c
10,Darth Plagueis,208465,43:28.5,9cb746da8d92aaf31b45de435a7bb072cc0d1feecb148e6b
11,Jesse,209125,47:10.1,9fbf16ddde96ada71f43881f0b72e771ce021de99d10d030
12,stopthiseso,209250,58:02.8,9fbb438fdf96fbf61e44894d5973e0239a521ce8cc10d13a
13,SquashMyMouse,213525,52:59.6,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
14,Hopper,213590,47:13.6,9ce94183dc95faa14e458a4e5871e77f98511ebe9c41d13f
15,Westvirginia,213840,42:18.2,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
16,Chicken :),214025,42:55.7,9ce9158fdec0f9ac1a17dc495a27e1749f0315be9844db3d
17,Der_ute,214030,47:37.8,9fbd168dda95fead18458f425b76e775cd031beacb19df3b
18,8191,214060,43:52.7,9fbb1488dfc7fda51913dc4c597be625c50048be99438c30
19,Spani:3,214385,45:35.6,9cea458c8bc2abac1044da4c5d7be77fc50615b49d41d83d
20,Peter,215500,54:21,9cb8468f8e9ffca34c47de1e5b70e023cc504feacf12d969
21,temmmmy,215735,43:20.2,9fbb1f8cd8c3fbf11a138a490c26e2749f024eb59b188d3e
22,Benji,216590,49:56,9fbd1589d790f9f71111d94c5d75e623cc504cbccc45db3b
23,Dakota Jackson,217265,41:20,9ced428adcc2fdac4b14db4c0b74e275cc554fbeca19df30
24,googlephile,217290,54:41,9fbb438cdb93f1ac1d168b185a74e4739d0748b9cd18de6c
25,NinjaElite7868,217685,57:20.2,9fbc468adac2f9a318168f435a26e775cc0714b99717da3b
26,JLC,217740,53:03.2,9fbb428a8e90f8a14a44864d5a21e0249f064cefcb44d03d
27,Remedy,218290,33:44.2,9fbf428d8cc3aca5114bd91f5b7ae722c5024cb9c817dc3b
28,LuckyLuckLuc,218680,45:47.8,9fbe1eddd696f9a018408a495e25e226980019b9c819d131
29,Tomtom,218850,41:33,9cb6428b8c9ef0a31b14de4e5e21b57ecd0c49b5cd168b30
30,Tote Glock 9s,219120,56:04.4,9fbb438fdcc5faa21a47dd195827e6249d0d14ed9a10dc38
31,Loocas47,219140,56:48.3,9fbb44dedc9efba34b11884e5e73b473c85149e9ca46d931
32,Kooatree,220045,42:07.2,9cb9138c8dc0aba21116874b5a7aee21cc0d4fbe98468a6b
33,ThisGameEZ,220145,44:17.9,9ceb418dda97f8a61f10881d5d77e77fce574bbb9d148d6a
34,FloppyBanaenae,221150,46:14.8,9cb641df8991aff14d45d94d0977b022cd0118bbcf14d83c
35,Cat,222045,45:41,9cea178d8992faa51a478e4e5820e7729f501cedcb16dd6d
36,Isa Baguette,222385,39:55.8,9fbc1ed9d694ffa54a10894c0a77e421ce5015ed9c42d86d
37,No_Message,223565,41:06.7,9fbd10d8d890f9ad1b4bde430a7ae771c5511ced9e438a3b
38,Creator,223950,43:41.1,9cba12da8bc2fff64b118b195870ee21ca5514bdc8458d6e
39,StarKirby749,224715,51:28.2,9fbf438ad7c4fef14a42da4b5a71e77e990149eac818d86a
40,rtthrd,226340,43:59,9fbf128edac7fba410178f1e0d21e42198561bee9f11df6d
41,Bobett10,226360,60:01.2,9ceb438bdd94abf61c148e1d097ae271c50348ed9843d131
42,Player414787,226465,43:11.2,9ceb42d8dcc0fea41e108b4c5725e322ce0448ba9915dc3b
43,BB58,226555,41:28,9fbb43dad891fca54946d94e0921b721ce501ded9b41d06b
44,dmpape11,226675,45:26.9,9cb6108a89c3f0a51c11de1a5d20b524cc551abccd15896d
45,Alfadoc_,226770,39:27.7,9cea14d9de92fbf41f408c420e22e37e9d551be99c41d06e
46,SuplierZWTF,226805,54:51.4,9fbb438b8a90f8a01e148d4d5e70e073cf554fbacf188c6e
47,Death,226815,40:07.2,9ced1edf8b94fef14b408a48587be472c9501de9cb16d96a
48,1347957301,226910,41:59.8,9fbf42ded6c4fca0194b88490a72e27ec5071ce89b188d3f
49,King456,226950,39:59.9,9cea13d8de93fea41c44864c0c21e37499061ce9c8148d6b
50,Volker,227050,44:04.9,9fbb46898b96f9a51813884a5b25b2719f511aedcd18893e
51,mdeschu,227265,42:04.6,9ced458addc7f8a14c478a195e21e17eca0115e99b418a6c
