Placement,Name,Score,id
1,WhiteNight,4:29.433,9cee45dfd6c0fef44a448f190e21b324c9041be89f418b3d
2,zarrot,4:33.167,9cec118d8b96f1a31f118b4a5a76e526ca031eb89e42df38
3,Guanium,4:44.117,9ce942dedd93a8a61e13871f5b7be77ec8054beacc428e31
4,FeedMePi314,4:45.45,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
5,AroundAverage,4:50.133,9cba44df8cc4f9ac18448a420b72b475cc0c1db8ca19896d
6,ikun,5:08.933,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
7,donkeymule2,5:09.95,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
8,ThanhDatVN,5:15.233,9cb917da8e9effac4a11de1e0c20ee75cf5515b49a418d69
9,Axyom,5:17.567,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
10,Superjombombo,5:26.55,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
11,SeeRukio,5:31.8,9fbd14ded696aba54c478a1e0b72e223980115bc99148d31
12,Overclock,5:35.25,9fbd15dfdf97aca2494b86195874b776c50d14e99e42df6e
13,doudizhu,5:36.283,9fbb46ded79ef9f31d40da185b76ee24cc5014e8cf46d039
14,WOR ZOII3 LAK,5:36.367,9fbc428fdf94f1a74e43dc4e5973e07fc90748b8cb148a6a
15,SniperCup,5:36.916,9fbd1588db9ff8f64e4b891f5920e0269e5714eecf11dd6a
16,animal,5:39.15,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
17,royalor,5:43.567,9fbb44d98cc2faa64c17874e0b20e7769f0414e899438e31
18,A'nan,5:52.317,9fbc128cda95a8f61b43894d5a21e0269a0c4ebfcf448b3c
19,Olinequ,5:55.483,9fbf158ddb93afac1f4b8a1f5874e122c9574fb89c168e3f
20,Nature's Grace,5:58.783,9fbc438c8b96fda11044881e5927ee25cc0d1ae9c8418e6b
21,MuYe,5:59.233,9fbc468cdfc3ada5494bd9495725b271c40718b9cf41da6e
22,Monster,5:59.517,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
23,HappyJTC,5:59.6,9fbc44df8dc5ada14d448b4d5d7be7729d0218bdcf18da31
24,luo_bo_tao,6:00.417,9fbb43838994f1f01c4a88420a22b0769a511fe8cf108d31
25,Westvirginia,6:02.733,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
