Placement,Name,Score,id
1,Infuriation,3:06.533,9cb746d88c93aaa149148a495622b072cc0d18bf9a448b6b
2,YtseJam,3:06.6,9ce941d9ddc2afa3494a8f495d70e77f98071ebacc118b6a
3,- Cyclop3s 49 -,3:06.65,9cec1edfd99efda74e178b4f5a70b321ca0348e99b14d169
4,FeedMePi314,3:06.667,9fbc438bdfc2aca21b148a4a5977e270cd501abb9c15dc6b
5,--Thefool--,3:07.233,9ced168a8990f1a61a4486435f72e024cf0719efca188b69
6,Patthebigmonke,3:07.333,9fbf12828e9fada44d41864f5d7ae575cc5014b99711dd6d
7,FeedMePi314,3:08.483,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
8,Benji,3:09.05,9fbd1589d790f9f71111d94c5d75e623cc504cbccc45db3b
9,Axyom,3:10.167,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
10,Hasei,3:13.6,9fbb44d8d6c7fef64c17874e0b20e7769f0414eacf43d96c
11,A'nan,3:14.734,9fbc128cda95a8f61b43894d5a21e0269a0c4ebfcf448b3c
12,Cici,3:15.217,9fbc1edf8c96a8a74d138d4f5a74e670c8571fbdcb16d06c
13,SeeRukio,3:15.667,9fbd14ded696aba54c478a1e0b72e223980115bc99148d31
14,Shhdaddysworkn,3:17.167,9fbe46de8e93fda31c16da4b0a25e171c4514bb8cc15df39
15,AroundAverage,3:17.333,9cba44df8cc4f9ac18448a420b72b475cc0c1db8ca19896d
16,animal,3:17.35,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
17,FiatAccompli,3:19.033,9ce941d88a9faba41e4add4e5f71e421cc0c4bb496448a31
18,Pizdokleszcz,3:21.567,9fbf168ed790fdf7494b894e0e73e771c4574fb89c19dd3b
19,M3mes,3:23.083,9ceb4682d99ff1a14c43de4a597ae77fc9071ae89b12dc38
20,SomeWabalan,3:23.3,9fbc1ed98c92fcf34b42dd1d0971ef779a571aba9619896d
21,TIME,3:23.333,9fba16da8bc5f8a01b118d425c7ab225cd571dbaca118c3f
22,FroStee,3:23.483,9ce916dfd692fdf64d138d4b5776e471c80348e89d43d06e
23,SniperCup,3:23.583,9fbd1588db9ff8f64e4b891f5920e0269e5714eecf11dd6a
24,sorry1wanted,3:23.667,9fbb44dad692f8a24b168a185b72e674c4061eefcc14da3a
25,FluffyDino111,3:24.2,9cb7458cdb90faf11e458f4b5b77e671cc551ab49643893e
26,bill_door,3:25.517,9fbc43dfdcc5fcac194a8a4b5d76e423cd5719edc817d86a
27,royalor,3:25.533,9fbb44d98cc2faa64c17874e0b20e7769f0414e899438e31
28,Monster,3:25.933,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
