Placement,Name,Score,id
1,BigSwampOwner,1425345,31:09.8,9cb942ded6c0aca61b16d918587bb426cc0d1cbf96458d38
2,OliveKnight2955,1471340,30:32.6,9fba14de8dc5f0ac494a8a4d0c72e471ca0018b59b17d83e
2,BEASTY,1471340,30:32.6,9cea15d9df97f9a61a1188185d25e325c8561eeacd458e6b
2,(Katabu),1471340,30:32.6,9cec1eded894a8a6184a8d420925e575ca5615bacd17d83e
3,Sparky,1471430,26:56.6,9fbb44dddd90ada51e448f195721e025cb054bb49e45893a
3,TealZebra3242,1471430,26:56.6,9fbb1eddd99ffbf41017d94f5b7ab372cd001fb9cd148e6b
4,Soul,1519180,32:07.3,9fbb438dda95f8a54c10d91e0d7bb777c50648ba9a188b39
4,Objectsp,1519180,32:07.3,9fbb14de8d94fcad1c16881d5873b276cc5649becb10896c
5,Rosalinda,1524435,29:11.6,9fbe138ad9c4aff61b40dc4b0b20e576cb564eed9e13d16b
6,Timo,1546560,28:05.6,9fbb44dedc94faad1b468d490b71b77fc40619be9d18dd6a
6,Kakakarotcake,1546560,28:05.6,9cec14dada97fff34b4a89495921e170c8024fba9b17d038
6,Jeevan,1546560,28:05.6,9cb816d9d794faa21d4bdd4f0b20b470cc0d1ce8cc41de6d
7,Moonlight,1547735,31:36.6,9fbb41df8ac4f1f41f42da1d0a71b723ca051db999428a3b
8,SleepyToucan302,1593160,30:15,9ceb13df8dc4fca31a46864c5926e7259a5648e9c845df3b
9,Marshakul,1657560,27:37.2,9fbc4688dcc3f9f3184bd9190e22b473ca031eba9d16d038
9,SynthesisCT,1657560,27:37.2,9ce9418ad99ea8a74b108d1a5922e77eca0415b59841df6d
9,Sopel,1657560,27:37.2,9cee1082899eadf14b4a8d4e5e73e277cc0619ba9943893e
10,TheScarecrow,1825465,29:36.7,9ce941df8b94fbad4c11d94b0b21e477cc0719ba97468931
10,DotTrevv,1825465,29:36.7,9ce91fded892fea41d1686190c21e370cf031fe998458e3b
10,iShadow,1825465,29:36.7,9ce912838a93fbf44911db4e0e72e77fc50715ba96168e30
11,MoLo1276,1871595,26:39.3,9fbb438adf97f1ad1c4b8a4f5976ee7ecd0649ed9915df31
11,0_Sisi_0,1871595,26:39.3,9fbc12dfddc0a8f61e47da4f5a76e323990115bbcc11dc3e
11,MeowManFoot,1871595,26:39.3,9fbf10dfde95adf71b468f4e5622e471985114becb41dc6e
12,aipawns,1878892,29:07.5,9fbb4388d99fa8a14e4588425c75e777c90214bd9814db31
13,kuxxy,1906740,28:08,9fbb1edddb92a8ac114a8c4b5e27b226c90514eacc108e69
13,Cowlk on YT,1906740,28:08,9fbd1edadec4faad1847d91a0a25e422985049ba9d428a6b
13,Pearceyy,1906740,28:08,9cbb1fd9dcc0fdf11b43de425772e522cd571ab4c814d839
