Placement,Name,Score,id
1,24HR Level Run,42,10:53.4,9fbb438d8e91aaf418408f4a587ab072cd574eeecd19dd39
2,waiter386,46,12:18.6,9fbb438ddd90f0f01e40871a5973b722c8524bea9e198a3e
3,TealZebra3242,47,10:47.4,9fbb1eddd99ffbf41017d94f5b7ab372cd001fb9cd148e6b
3,IAmLonely,47,10:47.4,9fbb10ddd793fba71e42da4d5f27e226c90115be9843dc31
3,Fenix-YT,47,10:47.4,9ced1f83dac5ada61e16da435c71b070c9521eb89c13d830
3,Spade,47,10:47.4,9cb8118bd7c5f9a04c44894f5a20e574cf511eeacc45d139
4,Katabu,48,10:58.5,9cec1eded894a8a6184a8d420925e575ca5615bacd17d83e
5,Feedmepi314,54,9:25.4,9fbf42dddcc7fcad4c11d94a0e7be022cd5214bd9b19dd38
6,Soul,59,10:19.5,9fbb438dda95f8a54c10d91e0d7bb777c50648ba9a188b39
6,ikun,59,10:19.5,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
6,Jinyinqiu,59,10:19.5,9fbd4582de97faa71a168f425676e67f985119ee9943de3a
6,xing er,59,10:19.5,9cea118a8b90acf31c4a8649097ae77fc9074ee99743d93e
7,bzheng2,72,9:02.1,9fba168989c7f9f11f468e1e5e70b2219e0518be9a15de31
7,1246105283,72,9:02.1,9fbb458ad79ff8f74b138d4c5b21e47fc5551cb8cf468d6c
7,meng-huan-,72,9:02.1,9fbb148edf9efff41a4b8d185673b47099014eef9e14d831
8,sisyphus,86,10:15.9,9fbb428fdd93fbf71114db420e26e273cc501ebccd11dd69
9,Han lu,89,10:05.8,9fba13da8ec4fba41f42891e5f20e122ce064cb49e468a3f
9,EndP_MuC,89,10:05.8,9fbb42dfd6c2f8f04e16864a0c75ee769d511eb5ca41d938
9,cat,89,10:05.8,9fbb4288df95f0a01f468e1d5c74ef7ec4034be897168c38
9,just for T50,89,10:05.8,9fbb158fdfc0fcf71d4b8b4e5721e176ce0d14eaca10d16b
10,Stulle,99,8:18.6,9fbe4688899efca31d168e4e0a7be576c50d1fb8cd19de6d
10,Iceoutboss,99,8:18.6,9fbf15dd8996fdac1916874b0d22e5709e5119ee9f11da3e
10,RanFujimiyaTTV,99,8:18.6,9ce9178c8e96aba61a118a1f5f72e425cc0c4bbd9a10d86a
10,Secno,99,8:18.6,9cee13dd8c94aaf7194b86485f26e371cc5649be9e16893a
11,Charizard100 %,111,9:12.7,9fbc44da8dc5ada51011d9185d77e726ce511cbd9d14896b
11,Der_ute,111,9:12.7,9fbd168dda95fead18458f425b76e775cd031beacb19df3b
11,YT-FynnBTD6 :),111,9:12.7,9ce941df899efea14c16874c5627e77f9f521de99e458d3d
12,Nate,113,9:12.4,9fba138bd797ada44c41891d5975e27f9a014eeecf46d039
12,Srd,113,9:12.4,9ceb1f8adc93fea3114388190e70e122cd0315b897148e38
12,mikey,113,9:12.4,9cb81f82da91fcf0114b8c4f0921e226cd0d1eb59745da39
12,King,113,9:12.4,9cba16dd8a95aca219168b4e5b25e676cd551ee99e44d83a
13,pops,139,9:18.8,9fbb41838e9faba71845881a5d21e571c4044cbbc811de3a
13,c0ntext,139,9:18.8,9fbf10ded9c4afa210168e4f5c22e175c90449b49e18d931
14,You Are HeiGui,146,10:19.7,9fbd1082da9eabf41b47881a0b26e772c95748b99b14db3e
15,Yan,170,7:12.6,9fbb42d98c95f8a24a458e4c0a26ef769f5115ef9c158b6b
15,Pilot Falcon,170,7:12.6,9fbb4289dc96fcad18148c4c5b7ab376cb524eee9e19896d
15,Powerwild,170,7:12.6,9fbb438ada90fdf149168c435e7bb472ca051dbfca448c3e
16,Argbf,187,6:44.6,9fbb138d8bc7fea41d14db4c5625b421990619bacb108a6e
16,Player89,187,6:44.6,9fbb16da8ac3faf34d13dc4e5f70e077c95119ef9a43dc6d
17,Awesomwgamer91,187,8:14.9,9cb7118e8d9fabf64917de435a72ef26cc5018b5cd468e69
17,Blueguy118,187,8:14.9,9cbb428dd795f8f61c13db1e5670b272cc0c49ef9f11d13f
18,MortyBad,194,10:01.6,9fba11df8bc0afac4a108f435726e6739d024cb4cc19d06e
18,LeticiaHime,194,10:01.6,9fbb418cdf91aaa61b46864d5672ef269a034fb5cb17dd6c
18,DeadKiller,194,10:01.6,9fbb438adc92fea44916dc4e5670e074ce0119be9d19db6d
19,YT piter4500,199,11:01.3,9fbf46dd8bc2f8f04e17da1d5f7ae724c5511cbaca128931
19,eduardin,199,11:01.3,9fbf12da8e95aba71b40d91f5970e3269a0c49ee9641d06e
19,Tireloup,199,11:01.3,9cec4189dbc4aaf34a168d1e5b25e224c9521ce89e148d6a
19,Julian,199,11:01.3,9cee178fdcc3fba24c13dc4b0e71b725c8574fbbcf42dd3f
20,Wika,207,8:32,9fbd1e888b97a8ad1a11dc4a5922b47fca011abf9c12dc6d
20,DiegoRagazzi,207,8:32,9fbf108cdac5f0a5104a8d4e5972e322cc041ebbc818db6b
20,Pepsi Max,207,8:32,9ce9418b8bc5abf04b44894b5d27e77f9f524eb4cc15dc38
20,Kyle,207,8:32,9cec45dadb9ffca6494786495d73b372cd0615b59e10d939
21,Fossa_Magna,247,7:22.9,9cec12d9ddc0abf74a1786485820e224cb0649bb9c14df3c
22,Bloon Master,264,12:30.2,9cba15888ac5f9f419168b4e5b25e676cd5519ba9d13db30
23,4P HalfCashPls,275,8:45.1,9fbe15d9ddc3f8f04c478c195876e576cb5214b8c815dd3f
24,SigmaWolf,281,7:34.9,9fbd1388d6c0fdf01e13871f5c70ef25c40015be9f438e3c
24,Wvade,281,7:34.9,9ce9158cdcc7aca11f4a861e5877e224cd054eb49912dd6e
25,Messi,288,5:49.7,9fba17828a9ffaa21b448c1a5e25e375ca0c1dedcf13d83f
25,AMX 50 B,288,5:49.7,9fbb44dd8e91fea54a44dd4e0d76e0249f011ae99a41d16b
25,Sener,288,5:49.7,9fbb468e8d95f1a01141d94f5672b4759f514ebb9742d031
25,Sleepyeagle,288,5:49.7,9ceb13df8dc4fca31a46864c5926e7259a5648e9c845df3b
26,gmzinnel724,293,9:34.2,9fbb44d8dcc2fea64a42d91d5a70e175c80c49bf9a438d3b
26,Dazinnn,293,9:34.2,9fbb44da8b90fea24a10da4e0b70ee21c85249ed9e11df3f
26,lezinnel,293,9:34.2,9fbb108c89c5fca24b16864f5b21e075cd564fbf9f45dd39
26,PB 4ND JAM,293,9:34.2,9fbb108d8dc7f1a51a138a1d5a74b27ec8071db49f42d06e
27,OrzMaster,294,8:46.2,9ceb42dada96f0f11142da1d0c25e225c9514cbf9c18d86b
28,Baghetti,320,7:32.2,9fbc1f8ad694aaac4945da1f5c74b726cf0015b99b17df6a
28,Chobani,320,7:32.2,9ced12ded6c5aba44a46da4a5772b573cf0719b9cf18dd69
28,PMoney21,320,7:32.2,9cba1e8ddfc5fdf34d428b1e0b20b47fcc0c1fe89611d03e
28,CHEESEBALLS,320,7:32.2,9fbf16888bc4ffac1b14dc4a5d7ae424c5561abecb12d030
29,TifoRoyl,390,10:39.9,9fbb10d8899eaba4104a8e1f5626b572c8521ded9918dd31
30,Cal,407,9:26.2,9ce942dede95aba14e14884f0a27e77f9a0614b8cf10d838
30,MostToxicWins,407,9:26.2,9cb9418c8d95fca34b47db1a0a22ef26cc554fef96158939
31,Deficio,457,9:10.2,9fbb42df8e92a8f34a4a8f4d5970ef779d021eed9742d86e
31,Flabby,457,9:10.2,9fbb428cda9efbac1d428c430b72b0239d504fbb9817d96b
31,Grandalphon,457,9:10.2,9ce941d8dd92a8f14c428b490c75e77f985549bfcd10893a
32,seaniboy2000,560,7:21.4,9cb7118dd990ffa01d168f1e5d72ef70cc501aeaca12de6e
32,lerekcam,560,7:21.4,9cb712da8b93ada41a10dc4d097bef71cc504ee999438e39
32,AodK,560,7:21.4,9cb714d9de9ff1f01113d91f5825ee75cc501cedc816dc6b
33,Haste01-USA,575,13:47.7,9fbd1fdfd694fba211118d1a0e26b52199551cba9a10df6c
34,GeorgieYDavion,607,8:06.3,9ced118fddc3faa74a16dd1e0d76b477cf071ebd9642d83a
35,WindyMoon,654,9:24.6,9fba16da8b96fda44e42db195b22e474985148e8c815df6d
35,Atopos,654,9:24.6,9fbc4682d6c4fba11a4a88480a7bb07f99044be99c45d03c
35,xiatian,654,9:24.6,9fbc43dad796fda21f1186420b7ab47298501cb8cc18db6d
35,Star mu,654,9:24.6,9cea45888e90aff34b14de4b5871e7219d011def9e12d839
36,Javy,658,8:45.9,9fbc46ddd7c0ada31e108c1a5921ef709e024ce8cb46d838
36,Smitten Furious,658,8:45.9,9fbf158a8e97faa34a13881a0c76e771c80019edcf42d830
36,idversa,658,8:45.9,9cea41ddddc7f9ad1047dc18597be2729e5118e8cc15db6a
36,Melon,658,8:45.9,9cea468b8c94f8f61a11874f0d73e5709f0315bb9b12d93e
37,Fakent Name,776,7:40.9,9fba1f828d97ada218138b1e5a21e37799041dbe9d468c30
37,Fafkunn,776,7:40.9,9fba1f838ec4afa049118f4b5a75e277980419b89e17db30
37,elgenerau99,776,7:40.9,9fbd418ad8c4aca41a418d4d5b7ae222c5004bedc841d93a
37,JyYoshi,776,7:40.9,9ced148bdf9eada31117d91f5d74e371cc5519b99d15da6a
38,BoomBoi122,801,10:38.9,9cec1e888c91fef6184b8c435d20e426ca574fbeca13db3e
39,Dot_Dot,803,11:21.2,9fba10df8ac5f1a61d478c1d0e70b473c9071aba9c118b3d
39,Jellyfishent,803,11:21.2,9ce941d8ddc0fda41e4bd91d5a70e77ecb0614bc97168d38
39,NekoRed,803,11:21.2,9cea14898e90f8a74a4bdb4d5c76e2759e5248ea9910d03a
39,Dieded,803,11:21.2,9ceb4188dc92fbf74d43da480a72e424c8561ebc9a11dc3a
40,xMicrowave,1057,7:53.1,9fbf158a8dc0fda21c45db4e5d7ae7719e5549bd99438b38
40,DB22,1057,7:53.1,9fbf16d8df91ffad1940884e5e20e721cf5015b9cc13db31
40,Zmazi,1057,7:53.1,9cb641828d9ff9ad1c458e485a27e67fcf511fefcb11df3f
40,Stoned,1057,7:53.1,9cba17d8d7c0f8a51c45dc4e5a75ee70ce034fbe9c43dc3a
41,varis,1059,10:10.3,9fba13888ec7faa449148f1d5b72e570cf514ce89b428b38
41,Rafiial2,1059,10:10.3,9fbc10888ac5a8a34c45d9420b7bb272c8551dedc811d93c
41,Josh,1059,10:10.3,9fbe458a8996fea54a45db4d5773e27e9e071ab49d12db3b
41,Rafiial1,1059,10:10.3,9ced1488db9ffbf11117874c5f20e324ce521fbd97468c6a
42,Bollen,1081,7:24.8,9fbb468fdec4afa21b41874a5776e2239f571bbfc843df6a
42,Ability,1081,7:24.8,9fbc4182dfc4f1a7184a88190971e670cb0549b899128d6a
42,Sabotage,1081,7:24.8,9ce9448adc97ada51a10da4c5873e37799021ce99745896d
43,Rickytime60,1204,8:46.9,9fbd15d98994a8a54c118b1a5622ef709e021cbfca18da69
43,Lettuce,1204,8:46.9,9fbe44838992aff61d46dd4c5f27e177c9524bbfca43db6b
43,Cazs,1204,8:46.9,9cb8178dd7c4fba018458d425720b522cd024cea9a468969
43,AurixDarastrix,1204,8:46.9,9cba448a8991fff14c4a874d5f72b774cb0148eaca138c30
44,Normac,1826,6:56.4,9fbc4383d895f0f31e4add1a5d77e1219a021fba9e168c6b
44,Divined Sharki,1826,6:56.4,9fbc44ddd896adf31e148a4e0b72e070cd504bbe9b44df3a
44,Hyphen,1826,6:56.4,9fbe418ddf96abac1e108b4a5b73b77198054bba9c46dc31
44,LordMeme,1826,6:56.4,9fbe4288d79fffac1b4bdc490b25e27398054cef9c12df3f
