Placement,Name,Score,id
1,MrPietrek :),3:46.467,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
2,NeamPrijatelje,4:11.567,9fbf448f8bc7fdf31e47dc4d597be423ce5518b99c17d13a
3,Guanium,4:14.683,9ce942dedd93a8a61e13871f5b7be77ec8054beacc428e31
4,MrPlasma,4:16.866,9ce9108cd7c2fba51c1188195d77e026cb0118b9c816d16a
5,zarrot,4:24.3,9cec118d8b96f1a31f118b4a5a76e526ca031eb89e42df38
6,Gone,4:38.117,9fbe1fddddc4fef64d41861f5873e377c9524eb99614d86c
7,ikun,4:40.883,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
8,feinberg,5:02.017,9fbc44df8c95aaf61f43874d5d75e377980149e89e44893c
9,Olinequ,5:07.683,9fbf158ddb93afac1f4b8a1f5874e122c9574fb89c168e3f
10,FeedMePi314,5:13.767,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
11,ZeroLancer,5:19.85,9fbe46ddd8c7afa41c47d94e5a76e074ce5615edcf17d038
12,Overclock,5:56.817,9fbd15dfdf97aca2494b86195874b776c50d14e99e42df6e
13,Wugezideming,5:57.916,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
14,Westvirginia,5:59.6,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
15,BTD 6 NO0O0B,6:00.55,9cee418f8a93fca01f468d1a5d26ef25cc064be8cb19dd6b
16,lemon,6:44.284,9fbc1082d8c2adac4d41de4e0b71e175cc061dba9e168d6e
17,WOR ZOII3 LAK,6:52.717,9fbc428fdf94f1a74e43dc4e5973e07fc90748b8cb148a6a
18,High Wizard jp,6:57.634,9cbb1f8a8c9fadf118178e195d71b47fcc571dee9b45d838
19,Khaos,7:01.617,9fbd4483da93a8ac494a86495e75ee7399001ae89e42dc69
20,Dakota Jackson,7:08.367,9ced428adcc2fdac4b14db4c0b74e275cc554fbeca19df30
21,yjdstcyjdstc,7:09.084,9fbe138f8997fbf64d41dd185771e474cf5515ef97438e38
22,zuimeng,7:15.083,9fbe41dfde93f1f34c108f1e5721b773cf5014bc9e13d030
23,Tequila_233333,7:21.5,9fbc1edf8bc2f8ac4a44d91d0c74b777cd0318b89b11d96b
24,SupremeAvocado,7:24.517,9cb812d8dd94ffa31f40d9430d22b726cc0d19b497198b30
25,TiltMachine123,7:38.966,9fbb1f828a91ffac10168a490e72b5769d571bedcb12df6a
26,Ray1999,7:41.1,9fbb108bd891adf410458c195827e373cb011abec846dc38
27,pllan,7:43.817,9fbe13de8e91fea51116dd420e7ae67fce0114bccb17dc69
28,arthur.turtles,7:45.283,9fbf1583d99ff8a74c4089495827e771ca501dbccd178b3a
29,Bee Chanoknan,7:46.3,9ced148d8a90fca61c168e420b22b574ce564fb99942dd30
30,Milin,7:47.317,9fbb168bdac0afa11a45dc490d22b225ca514ceecb178a3a
31,Tobi,7:49.2,9ced1fdfddc7fea14e138a1f5670ee22cc5214bb98138c31
32,Syc (Zhi),7:52.866,9fbb178e8b95fef74c4bdd490b21e225cf0114ba9d128b6a
33,DotTrevv,7:53.367,9ce91fded892fea41d1686190c21e370cf031fe998458e3b
34,Hopper,7:55.217,9ce94183dc95faa14e458a4e5871e77f98511ebe9c41d13f
35,Had,7:58.05,9cba12df899faca610448f185877e172c8031bbcc812de39
36,thetruenadir,7:58.35,9fbd11dfd890faa74b45da1d5770e57ec9551ebd9918d93f
37,Long4J,7:58.517,9fbb158fd69fafa34c178f4b5c26ef719e001cba9810dc3e
38,megumi,8:00.967,9fbb148f89c4aaad4d44db1a5f21e526cf5118be9817db6c
39,BHD,8:11.834,9fbc1f838cc2adf118458a4f0b77ee25cb0c4fe9cf14dc3d
40,Player,8:13.517,9fbc1edfda9faca21a418b4b5974ef229d021cb4cc18db3f
41,Loconch,8:14.05,9fbc42d9d9c5a8ac1e408a4e0d26b5719f014eb49b178c3b
42,Jerry,8:14.55,9cb841d98a96aca41f10d94b0a76b421ce5614b49611d83f
43,Bird_,8:18.85,9ce9428cd6c3faa51c458e4b0b72e77ecf011abdcc458b3b
44,Sheesh,8:20.233,9ced138bdc95f1f31044861d5922b772cf0248ea9b17db3c
45,A'nan,8:21.734,9fbc128cda95a8f61b43894d5a21e0269a0c4ebfcf448b3c
46,chocbox,8:23.183,9ced1583db93a8f74e11db4b097bb27ecb0018e998438e6d
47,Ryan Bretel,8:23.35,9ced12dfd79ffbac4b4b8f1e0c77b074cd004cbc9b17d13f
48,Crowley (Real),8:23.716,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
49,940909681,8:23.9,9fbd1eda8b9ffff649418b4d5874e2239a501de99e438b3d
50,mrsquie,8:24.334,9fbe1482d690adac10148e430a25e576ca521fbfc819dc3d
51,Gone's friend,8:25.983,9fbc178e8b92f8f41f16dc1e5a73ee21ca061cbacb19896b
52,Nature's Grace,8:26.25,9fbc438c8b96fda11044881e5927ee25cc0d1ae9c8418e6b
53,RussianWaffle,8:33.117,9fbf1fddd9c0ada11c4087195771e124c9511dba97428e69
54,Bobett10,8:34.134,9ceb438bdd94abf61c148e1d097ae271c50348ed9843d131
55,Vert,8:35.917,9fbf13d98dc0fba74b40d94a5a74e4749d021fbe9a42da6a
56,Kittz,8:39.95,9ce9418889c4f0a74c10de185825e77ec4021bef9a19da3c
57,NicoYeet,8:40.983,9cea1e89dd97f9a54c428e430e27e7709f0d4fbc9c44dc6c
58,DtedtoFootball,8:41.917,9cec438c8cc5f0f71f4b8f4d5f73b376cd071cedcf448d6b
59,failure___,8:46.783,9fbb14d8da9fa8f04a4a86490a71e7219a051fb898118e39
60,K4S6M,8:46.95,9ceb1e8ed994f8a41b41d91f5e71e423c95649b49c13893d
61,M3mes,8:48.133,9ceb4682d99ff1a14c43de4a597ae77fc9071ae89b12dc38
62,nobody02983,8:49.25,9cba14838bc0fef31046db435a74ef21cc0c1ab9cf14d13f
63,Felicia(real),8:50.583,9cea458c8bc2abac1044da4c5d7be77fc50615b49d41d83d
64,Liam,8:51.5,9fbc1ed8da92acf01e42894d5670ee249a5618bdcd17dd3e
65,ItsMorbinTime,8:51.517,9cec1f88dfc7faa21e168d1f567ab275ca504cbf96438a3e
66,ALL_INSTAS!!!,8:57.433,9ced1f83d9c3fda511428e4f5b20ee71c95214e8cd43d139
67,Prob no no,9:03.133,9fbc14838a95fca61a45db1e0922e377ce034be89c188e3a
68,IORI,9:04,9fbb108d8ac2aff14b11dd4c587ab0769a5648e99846dd39
69,SomeWabalan,9:09.966,9fbc1ed98c92fcf34b42dd1d0971ef779a571aba9619896d
70,Viiv,9:11.65,9ced1f8cd692ffac191189425d25e074cf0419efcb18d030
71,2649935474,9:14.183,9fbe44d8dc91f9a510408f180d20e27f9a074befca13d93d
72,FAZEK,9:16.117,9ced178bd796fcf64d448c4e5d73b776cc5718eac811df69
73,Player,9:16.65,9fbb108a8dc7ffa74a118b190c75e123ce0c1bbccf42d83d
74,Patthebigmonke,9:18.033,9fbf12828e9fada44d41864f5d7ae575cc5014b99711dd6d
75,SirManuel,9:21.833,9ced1edf8990fda01d4b87430d77e376ca0548b5ca11d838
76,MakeTackGreat,9:22.633,9fbc158ddf96f9f44c4a894d5d25b276cc041bb59911dc6d
