Placement,Name,Score,id
1,YtseJam,1:43.883,9ce941d9ddc2afa3494a8f495d70e77f98071ebacc118b6a
2,MrPietrek :),1:45.45,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
3,feinberg,1:46.45,9fbc44df8c95aaf61f43874d5d75e377980149e89e44893c
4,Olinequ,1:47.417,9fbf158ddb93afac1f4b8a1f5874e122c9574fb89c168e3f
5,bloonariussy,1:47.75,9ce91588de94ffa21117894b5c7be377ca0d19ea9c10da6e
6,Gone,1:48.2,9fbe1fddddc4fef64d41861f5873e377c9524eb99614d86c
7,ikun,1:49.084,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
8,L01Y,1:50.483,9fbd1382d690fca61840dc4e0c73ef709a041aefcc44d131
9,Jandalf (Real),1:51.5,9cea43d88996fea44d47da1d5f20e07f9d034eb99813df6c
10,- Cyclop3s 49 -,1:51.533,9cec1edfd99efda74e178b4f5a70b321ca0348e99b14d169
11,Gielepino,1:51.967,9cea1482d694f0f01c148b1f5620e225c45114b59b438e31
12,YT:ANDRE8657,1:53.317,9fbc438bdfc2aca21b148a4a5977e270cd501abb9c15dc6b
13,Patthebigmonke,1:55.367,9fbf12828e9fada44d41864f5d7ae575cc5014b99711dd6d
14,MrPlasma,1:55.683,9ce9108cd7c2fba51c1188195d77e026cb0118b9c816d16a
15,zarrot,1:55.883,9cec118d8b96f1a31f118b4a5a76e526ca031eb89e42df38
16,Hannes,1:56.733,9cb614ddd695fcf44a45894f0d74b525cc551fbdcf158b3b
17,Darth Plagueis,1:57.85,9cb746da8d92aaf31b45de435a7bb072cc0d1feecb148e6b
18,Axyom,1:58.634,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
19,Westvirginia,1:59.433,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
20,FeedMePi314,1:59.883,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
21,TiltMachine123,2:00.317,9fbb1f828a91ffac10168a490e72b5769d571bedcb12df6a
22,Spoony,2:00.75,9cb71f838ec2fef61f4688185620e570cf074cedc817dd69
23,Punji :),2:01.75,9ce9418ad79ff1a2494389430c76e77f98501cbe98158a3c
