Placement,Name,Score,id
1,BTD 6 NO0O0B,715605,71:09.4,9cee418f8a93fca01f468d1a5d26ef25cc064be8cb19dd6b
2,MrPietrek :),723040,86:04.6,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
3,donkeymule2,737400,135:03.2,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
4,masmaves,750305,203:02.6,9cea13d9da95fda41d47de480e73e7709a0318bb9e15dc31
5,FeedMePi314,818525,53:29.7,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
6,ikun,848930,36:27.6,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
7,feinberg,923700,36:05.6,9fbc44df8c95aaf61f43874d5d75e377980149e89e44893c
8,zuimeng,975350,36:12.1,9fbe41dfde93f1f34c108f1e5721b773cf5014bc9e13d030
9,SquashMyMouse,999135,62:19,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
10,Gone,1000000,40:43.4,9fbe1fddddc4fef64d41861f5873e377c9524eb99614d86c
11,Westvirginia,1325285,34:04.7,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
12,giuliovhr,1411555,32:12.3,9cec4189da97f1a24a168d1e5b25e224c9521ce89e41da3d
13,Lionheart233,1428150,42:45.4,9ce945ded990f1ad11468c425d22e3229d561bbccc16de6e
14,bloonariussy,1433290,123:10.5,9ce91588de94ffa21117894b5c7be377ca0d19ea9c10da6e
15,doudizhu,1449320,41:31.1,9fbb46ded79ef9f31d40da185b76ee24cc5014e8cf46d039
16,Wugezideming,1453830,36:57.9,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
17,Monster,1472450,38:48,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
18,chickenshark,1472780,36:40.1,9fbe17dfd8c0f8a14d4a8d1e5974e621ca551dbb9843d130
19,GA,1473770,37:55.6,9fbb44de8c96ffa2194b8f1e5772b770cb0115ea9914896d
20,Peng_Xing,1473890,36:24.9,9fbb44dfddc3feac1c428e195721b376cc061bbf9e108b3e
21,mendoukusai,1473995,37:16.6,9fbc4683d796ffac1f17dc425677b324ce041db5cd198d30
22,N0B0DY,1474155,36:23.4,9fbb4483df91f8f41e4b864d0b72e624ca0019ed9814db3b
23,bcxmf,1474310,38:06.7,9fbb43838bc7f0f01d168b185a74e4739d0748b5cc188a6e
24,qian mo,1474345,35:01.4,9fbc1ed8dfc7f8a41a45db4e0b25e723ce511ee9c844dd30
25,megumi,1474345,35:29.6,9fbb148f89c4aaad4d44db1a5f21e526cf5118be9817db6c
26,<elves>,1474345,37:04.5,9fbc1edfd9c5f8f61b41dc4d5e21e575c9051cbd9d148c3d
27,buttman,1474345,37:39.6,9fbb10d9d990f0a41943dc185b26e775cc5148b496168e6a
28,ETL,1474395,37:09.5,9fbb1ededdc2f9a71f418d495826e2719f054bbc9f18df69
29,TiltMachine123,1474510,36:31.4,9fbb1f828a91ffac10168a490e72b5769d571bedcb12df6a
30,WeAreToast,1474525,39:23.6,9cb8138e8bc3fef61146884e5f22b424cc0d4eb89f13d13d
31,Player,1474595,34:36.9,9fbc448c8b90acf01940891f5970e174cc021cbbca15d869
32,A DISPLAYNAME,1474595,34:44,9fbc1edd8b90acf61d17dd1e5b70b575cd041fe99744d869
33,Player,1474595,34:48,9fbb12d98c97f1f419118f4c5777b7769a571bb499468d6d
34,V8Tesla,1474595,34:50.8,9fbb4683d99efbf711118a1f5922e170995019bf9910dd38
35,Loconch,1474595,35:07.3,9fbc42d9d9c5a8ac1e408a4e0d26b5719f014eb49b178c3b
36,Nekohachi,1474595,35:20.6,9fbe1482d99ffda01d428c4e5e72e173cc511dba9b16de6c
37,Player,1474595,35:25.5,9fbb118b8ec3aaf34e4286185e71e1739e0618ed9912dd6e
38,FENGING,1474595,35:25.8,9fbf41dfdbc0f0f64a408f4a5877e577c55618b89810d830
39,JRLM,1474595,35:48.1,9ce942d9dc96fca31041d9485f22e77f9e5719bd9a10d16b
40,MuYe,1474595,35:55.9,9fbc468cdfc3ada5494bd9495725b271c40718b9cf41da6e
41,kfbui454,1474595,35:56.2,9fbc4489d691faad4917871d5f22e671c80d15bcca16db39
42,konts,1474595,35:58.1,9fbb4589d9c3f8a24a428c425b20ef76cb5748e89a11dd39
43,Player,1474595,35:58.4,9fbc4689df96aaa14e148d480e25e5269a0d1fbb9a19dc6e
44,frostpanda,1474595,36:05.6,9fbb448b8a91ffa61c11d942097ae474cc0c4eb89843d931
45,A certain rat,1474595,36:06.6,9fbb10888e94fea31c46db185974e17f9f0c1cbc9812df31
46,User-a5549921b4,1474595,36:10.4,9fbc468adc96adf410138c425926e577cf044eea9e188b3d
47,Captain-Gunfire,1474595,36:20.1,9fbc1ed9d8c0fcf11c418f425e25e47f9d024cb89a14d139
48,WOR ZOII3 LAK,1474595,36:21.2,9fbc428fdf94f1a74e43dc4e5973e07fc90748b8cb148a6a
49,xiaomao783,1474595,36:22,9fbb148dda91abad49178c1a5f7ae523ce561de99d44dc3e
50,Hypernova,1474595,36:24.5,9fbc11ddd7c5fda51b14da185a7ae121ce5618b4cd43db6b
51,Player,1474595,36:27.4,9fbe138a8e95f0a51b40dc4b0b20e576cb564eed9942da69
52,Serrasty,1474595,36:32.6,9fbf46d88996faf61c45da1f5671e524c80018bc9b428b6d
53,The Dark Crow,1474595,36:32.8,9fbb1ededa97faa64b468b1e5a71b77fc5064fb49b18dc38
54,IUNLX,1474595,36:33.8,9fbc1ed8de93f9a31c408f4d5777ee269a0148b496128e30
55,WKMING,1474595,36:50.5,9ce9418bdcc5abac4c45864a0c22e77f9f0d1bbbcf13df3b
56,Polaris,1474595,37:16.9,9fbb458d8dc7fca51147864c5770b7739a524ebb9614d96c
57,KT23079,1474853,36:09.9,9fbb1ed9df97acac1940894a0a25e273ca0548ea9f14dc6e
58,lyklyk2000,1474960,37:38.2,9fbb14d9da92ffa018148d180a22ee26c90c48b99a43db69
59,940909681,1474995,35:33.2,9fbd1eda8b9ffff649418b4d5874e2239a501de99e438b3d
60,Giorno Giovanna,1476455,38:03.6,9cea15da8dc7fea54c4186495827e571c8024cb99810dc39
61,konoDIOda!,1476495,35:47.4,9cb816d9de90ffa64d16da4d0d25b422cc0d1be89a45d06c
62,Liam,1476825,35:12,9fbc1ed8da92acf01e42894d5670ee249a5618bdcd17dd3e
63,uniquewine,1480070,29:06.7,9fbc1ede8e93aaad18168d430926b470cb0015b9cd11d13a
64,va_nish,1480080,38:40.8,9fbc1ed98995fdac4a4587485627e47e9a074eea9a16d06c
65,CBAD,1480270,35:55.7,9fbe1388dec5aaa14a4b8b430a7ae62398041db49613dd6a
66,animal,1485740,43:34.1,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
67,Nature's Grace,1487460,36:24.3,9fbc438c8b96fda11044881e5927ee25cc0d1ae9c8418e6b
68,Epitaph,1493330,35:58.4,9cea17dddac7faf71d42861d0c75e77fc80019b9cd42dd31
69,Player78539,1498155,34:42.2,9fbb1e8c8a90faa54d41871a5971e370cd0619bd9817896b
70,1018019125,1498345,33:30,9fbb4688d694afa71e40884a5e70e1769a004cbbca44db69
71,Player,1500420,36:17.7,9fbc46da8cc0f1a31e16db4c5b22e577cd051fb5cf14d938
72,Player,1501100,36:49.7,9fbb4482d6c2fca31b4688495975e772c4001dbe9e14de38
73,2078273072,1509815,36:11.5,9fbb1489ddc4fbac1a14da4a0e77b07fcb034ee99717da6e
74,ConfusedBearCN,1523680,36:08.6,9fbd44dad7c2f8a31c47dc420a73e675cd571bba9b11df3a
75,Blue,1526775,38:10.8,9fbb44d9899efbf44c448e1a5c27b222c9564cba9e11d969
76,Cinta_ku,1538235,35:55.2,9fbf178e8b96a8f718178b4b5c20e773cf5014bb9e198a3f
77,2649935474,1539055,39:57.4,9fbe44d8dc91f9a510408f180d20e27f9a074befca13d93d
78,real ikun,1543325,36:08.4,9fbb46dd8a96f0a349478f485d70b076cc0449b59911da3a
79,sorry1wanted,1547950,35:53.2,9fbb44dad692f8a24b168a185b72e674c4061eefcc14da3a
80,QiangGe98787,1557460,37:31.6,9fbc45898ac7faa2491787185877b726ca564bbf9f19dd69
81,SomeWabalan,1569420,127:41.9,9fbc1ed98c92fcf34b42dd1d0971ef779a571aba9619896d
82,gaowan,1579270,36:40.6,9fbb468ed694f9f049428a1e5a73b021c90d19b89a118b3a
83,Zachmen,1589466,35:05.9,9fbc1ed98ec7fead1a138a180c20e477cc064be89c46df3f
84,shuxinbi,1590070,36:31.9,9fbd15828bc3f1ad1141da495a74ee7ec9051cbb9b43d838
