Placement,Name,Score,id
1,xing er,186390,42:55.2,9cea118a8b90acf31c4a8649097ae77fc9074ee99743d93e
2,hengzwis,189920,64:02.5,9fbc428d8c9eadf31c45de195f72b025980c14ea9746de6c
3,ikun,191340,48:23.6,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
4,Mackan Rules,199830,53:38.1,9fbe1e888cc3a8a44b10da425722e777cf041beec8468939
5,WeAreToast,207045,52:40.5,9cb8138e8bc3fef61146884e5f22b424cc0d4eb89f13d13d
6,masmaves,211455,76:15,9cea13d9da95fda41d47de480e73e7709a0318bb9e15dc31
7,Axyom,213990,55:42.7,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
8,zuimeng,214775,43:50.5,9fbe41dfde93f1f34c108f1e5721b773cf5014bc9e13d030
9,animal,218855,41:17.2,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
10,Gone,224220,50:24.4,9fbe1fddddc4fef64d41861f5873e377c9524eb99614d86c
11,chickenshark,225120,54:00.9,9fbe17dfd8c0f8a14d4a8d1e5974e621ca551dbb9843d130
12,Pool party,225600,49:21.2,9cba1ed989c5f1a41f46de1a0a70b47fcc0c15be96118d3a
13,Unicorn,225620,39:26.5,9fbf11df8c90a8ac4d43874a5a75e576c9564fba9c12da30
14,zhuyifei1999,225620,58:34.2,9fbe43ddd89ff1f31a17db195d22e222cc031deecf468b31
15,06bob fan,227620,57:46.5,9fbd1589d790f9f71111d94c5d75e623cc504cbccc45db3b
16,Uniquepotatoes,231970,53:37.2,9ced13838ac3fff71d11dd4b0b20e325cd0148e89f178b6a
17,baimian,238590,49:59.8,9fbb148f8c95fbad4a4a881a0b77e171ce524fe89e10db3d
18,Milin,239685,49:53.2,9fbb168bdac0afa11a45dc490d22b225ca514ceecb178a3a
19,HKJ06,240330,38:47.8,9fbc1f8fdd97fdf61d4bdd4c0b73b072ca0d18e99b178931
20,SupremeAvocado,240445,40:19.5,9cb812d8dd94ffa31f40d9430d22b726cc0d19b497198b30
21,M3mes,242185,42:38.9,9ceb4682d99ff1a14c43de4a597ae77fc9071ae89b12dc38
22,ISAB,242310,60:53.8,9cb91089ddc5fea31f468c195e70b426cc0d1abe9d44da69
23,xrlylyl,242435,39:40.4,9fbe1edddcc7aaac1b40d91f5f26e576c40c48be9641d03e
24,fanglincs0828,243790,42:45.4,9fbc1f8fd9c5f0f14b40da4a5d71b2719a511dee98178d3d
25,Kawhilites,245205,64:54.6,9cb61e89dcc7faa31a41da4f0971b275cc5515ee9c11db3b
26,bensta,245365,49:06.5,9fbc458a8b9fa8f11913dd1e5f22b2249e0d1db49b428c6c
27,Crystalmagma,245365,59:55,9fbc45da8b92a8ad1f42d91e0e7ab371c80c1bb89d12db6a
28,Lionheart233,245465,111:10.7,9ce945ded990f1ad11468c425d22e3229d561bbccc16de6e
29,FieryColonel143,246220,46:06,9ce94682db93fca611178e185871e624cf014fbd9815d96b
30,Tankulator,246475,37:58.5,9fbc1edfdd93aba54b46874c5d76e225c5051db49c108a3e
31,Fenix-YT,246530,41:24,9ced1f83dac5ada61e16da435c71b070c9521eb89c13d830
32,Dasius,246705,92:29.1,9fbe178fd792f9f34b45881a5c75e572ca5548bd97438b3c
33,W,247170,46:52.6,9cee418ddd90f9a34a458e4d5e25e47fcb021db598188c3d
34,No_Message,247170,98:57.1,9fbd10d8d890f9ad1b4bde430a7ae771c5511ced9e438a3b
35,SquashMyMouse,247475,48:26.7,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
36,Callsharp,247580,84:25.2,9fbc46df8ac2a8f71e108c1a5921ef709e024cb5ca148b6d
37,FeedMePi314,247685,44:52.9,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
38,Vert,247855,47:30.6,9fbf13d98dc0fba74b40d94a5a74e4749d021fbe9a42da6a
39,Mawo,247900,73:22.8,9cb642d9d7c4afa11a14d9490e71e471cb061abe9f43da3c
40,CyanRabbit3141,248185,58:34.6,9fbb1eded6c5f8a24e45881d5f21e773cc5119ee9d18d13f
41,Wyzinard,248230,46:24.4,9fbc46d8d896fbf0184bd9190e22b473ca0319eecb178b3f
42,Titietgrom,248365,104:58,9cea41828dc0aaa64c468d4b5a25e5769e0415eacb148d3b
43,Mujica,248395,49:09.8,9fbc168ddf92afa34e478c495e75b471cc004cbc96148a6c
44,MikoAE,248450,41:02.5,9fbc46898cc7f1a71e168a4f0a26b077990d4fe8cb458b3c
45,MetalPrime,248465,48:41.2,9fbf458edf93ffa349468e4c5971e672c9011cbd9b44db39
46,+ Lusika +,248465,48:58.7,9cba1e83d8c5f0f718478e1a0d27b471cc0c48ef9b17da31
47,MonkeyWizard20,248465,50:18.2,9fbd1e8b8e94f9a54b17d9195775e57e9e001deacf11de6b
48,gazza_white,248465,51:56.8,9fbc46898c95faa04942de4f5674e42499074fb99a168939
49,Dropler,248465,54:47.5,9cea17dfdf94f0a04c108a480b75e722cb0c48ef9e108c6b
50,N,248465,56:30.8,9fbb1e8b8b9eaaf04e138f1a5d77b425cd001aeecd418b3c
51,PoohBearPlayz,248465,57:59.9,9cec44dada9efdf74c118f4a5d7be677ca044fbb9a12d93c
52,Carrot :),248465,58:46.5,9cb742838b92a8a111438c490d7ae771cc551dee9d178d69
53,MKsomething,248465,64:04,9fbc448c8a94f1f1114bdc1d0975e172ce0348bacf14d83d
54,Yuichiro5,248465,66:22.1,9ceb1382de97fda149418e430a70e770c90115ef9945de38
55,Cyndaquil,248465,68:43.1,9cea138add94fcad1b4adc4c5c77e77fc95615e9ca18893a
56,Westvirginia,248465,70:25.8,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
57,Andi N,248465,70:36.7,9cb91188de9fa8a4184a8e495673b473cc0d4bbbcf138e31
58,gze,248465,89:09.3,9fbc168f8b93fba11c16db4b5b77e577c8521cb4c8108a6b
59,Tranqylity,248470,51:02.8,9ceb44d9d69efef41e418e1f5b25e32399521fe9cb17df3c
60,Aggregation IE,248595,40:53.1,9fbc1ed8dec7fba14a4587485627e47e9a074eeacf13d031
61,RainbowPC69,248660,73:16.7,9cb812898c93fbac4c43da4f5726b423cc0d48edcb10dc6c
62,KigyozoFeri,248675,75:14.8,9fbc1ed8dc90fdad49478a435776e224c5054bb49b10da6a
63,ThisGameEZ,248735,46:50,9ceb418dda97f8a61f10881d5d77e77fce574bbb9d148d6a
