Placement,Name,Score,id
1,1224790991,65,35:28.6,9fbd45dfdf9efda410448f490b25e3749f5618b89a168a3f
2,VeDAN,79,43:13.9,9cb612deddc2aaa01910de490b21b524cc5548bd9a16dc6b
2,donkeymule2,79,43:13.9,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
3,Sparky,80,37:37.1,9fbb44dddd90ada51e448f195721e025cb054bb49e45893a
3,i_dont_sab,80,37:37.1,9fbc43dad7c5fea0104486185b25e2719a0419ea9913dd39
3,HoboJoe,80,37:37.1,9cb91389d693f9ad1e428e4a5620ef76cc0d48bcca15da3e
4,Luca,83,36:54.6,9fbb148bdac4f8f11b46de495626e324cb551fbecc15db3d
4,BBC,83,36:54.6,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
5,645167251,96,33:21.4,9cea1fdfdb9fffa54c42da490d70e374c5034bb4cb458e6b
5,NINJAKIWI,96,33:21.4,9ceb14d8d99faff01a118a4e5677e725c95719e997108a6e
6,redsnipe,99,32:45.3,9fbc4288dbc4f8a64c168b1e0b7aee75c90518efcb42dd3b
6,Lemonadedrinker,99,32:45.3,9ceb428fd89eaca010438f1a5970e574cb0015ea99118d6a
6,Starfighter3000,99,32:45.3,9ceb428fdc96aff34c42de19587be37ec90c15b49e17d96c
7,BANANANOMNOM,142,37:45.4,9fbc4189db90aaa44e11861d5675e174cf0d18edcf18df39
7,BananaJC,142,37:45.4,9fbc4189db90f8f418168d435b71e7749a5518e89c178a3a
7,BANANASC,142,37:45.4,9fbc468ddbc5fea54a13881d5972b074ce504cef9716db3b
8,Windkey.,174,36:29.2,9fbb438fdfc4a8f41a47dd195827e6249d0d14b5cc15de3e
8,MonkeyMan,174,36:29.2,9fbb178d8d92f9f74d448d495c22e726ce051ce8cd18d93f
9,Y.,183,34:45.9,9fbb44898d90aff64e1789425c7aee7f9d511dbf9d458d30
9,giddy4,183,34:45.9,9fbc4482d891f9a24d13da4d5a76e324cb014bedcc438b39
9,infopeek,183,34:45.9,9ce94289d99efaac11178b1a5821e77ecb5015bf9e168a31
10,Tikkkzz,201,34:04.9,9fbc458e8a93faac1017da4e0e22b47ecb0115bf9a108e3a
10,Ph4nt0m8979,201,34:04.9,9fbe118ad89ef8a71d42da1a5a74e272cd061dbc9b15de6a
11,Fairy Tail,209,34:06.1,9fbb44df8bc3faad4e4b8f4f5d7ae7259d011ee89e41de31
11,Time,209,34:06.1,9fbb1eda8ec5f8a54e14884c0d27e170ce071cbb9f418b69
11,yjxsld,209,34:06.1,9fbb43dadc96a8f149408d4b0a20e723c40c1eee9e12db38
12,love TRY,218,35:20.6,9fbb44df8ac3aaa24c17874e0b20e7769f044cbf9d468a3f
12,ETL,218,35:20.6,9fbb1ededdc2f9a71f418d495826e2719f054bbc9f18df69
13,Kirme1999,220,30:47.6,9cbb43dddc92fda21b4bdb185b72e022c9574ced9814dc30
13,Cowlk on YT,220,30:47.6,9fbd1edadec4faad1847d91a0a25e422985049ba9d428a6b
14,WALALA,220,31:12.9,9fbb438bd895aba51b46dd4d5b7ae17498051cba9943d03b
14,hlweas,220,31:12.9,9fbc468adec4ada54942de4f5674e42499074fbd9614dc30
14,bbbs,220,31:12.9,9ce9428ddf91fca31142dc430e22e77f99501abacf44db6a
15,BoggleThenLose,257,27:45.5,9fbc1189de94fcf31c47864c5b77e0239e0c1fb49b18d939
15,Gura,257,27:45.5,9fbd458d8bc5a8a64946de4f5f27b7769a501aedc8418d3e
15,Chara,257,27:45.5,9fbe42ded997aaf61c4bda180975e270ca524eb59b46df39
16,hedisgoo,266,33:56.5,9fbf158ddfc2fef71046864a0c20e771cf031bbfcf118930
17,deng1996,274,31:27.1,9fba14888bc5f0f61044864f5f75b4749d551ebe9e15dc30
17,samgo,274,31:27.1,9fbb1f82d9c2aff64c428a4d5870e4749a5018b999198a69
17,Ray1999,274,31:27.1,9fbb108bd891adf410458c195827e373cb011abec846dc38
18,DiegoRagazzi,283,25:42.9,9fbf108cdac5f0a5104a8d4e5972e322cc041ebbc818db6b
18,zScrollcamp,283,25:42.9,9ce94189d79ffda1184a8c1a0b75e77ecc0c19bacd43de6e
19,SirCr0wley :),294,26:18.5,9cea43d88996fea44d47da1d5f20e07f9d034eb99813df6c
19,Jandalf,294,26:18.5,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
20,unhomie,315,26:44.9,9fbe14838cc3abad1944de1f5e72e17fca074bb59f138d3b
20,not unhomie,315,26:44.9,9fbb44d98c91fba61e45891d5b74e173c9021abb9614db3d
21,XSHshooter,370,26:44.2,9fbb418fd991fcf61c458b4e567ab576cf034eb49e13de31
21,Zeroyyz,370,26:44.2,9fbb44dedcc2aaf41941dd4c5e7bb073cf0c4bba9745d169
21,MIKU,370,26:44.2,9fbb468fde9efdf11d4a8b4d5f27b52699011aeac815df3b
22,Deek,399,38:11.2,9ce9428d8b96faa418438d4f5921e77f9f0118ee9d17df3d
22,Big ducky,399,38:11.2,9cbb1f8e8990aaf618148a4d5d26e523cc061cbccd44db6c
22,Bummy,399,38:11.2,9ce9418bde97abf31a1187195e22e77f9f5114b898168b3e
23,Muhis,403,33:46.8,9fbb46de8cc7faad4c40d94c0d77b025c9501bb99e43d06e
23,Juhopod,403,33:46.8,9fbb14da8c91aaa11a428f485672e0229a501eba9c41896c
23,Turhalokki,403,33:46.8,9cb916888ec7fdad4a11de1e0c20ee75cf5514bd9b41da38
24,pops,407,28:15.7,9fbb41838e9faba71845881a5d21e571c4044cbbc811de3a
24,c0ntext,407,28:15.7,9fbf10ded9c4afa210168e4f5c22e175c90449b49e18d931
25,skygunfe,423,35:53.6,9fbb168a8dc7aca71c43de1d5d27e07ec50218bcca44da3b
26,TraiN,478,28:00,9fbb168ad793aaf64a1187435b21b426c5564ee999428e3d
26,SleepyToucan302,478,28:00,9ceb13df8dc4fca31a46864c5926e7259a5648e9c845df3b
27,MythosBoy,500,35:37.2,9fbd138f8cc4fcac11408a4e5977e47fcb501bbe9e188a3d
27,Oskar,500,35:37.2,9cec1e8edf94afa01043874b5b73e021ca5614bf9615de6d
27,Laurenz Wiedemann,500,35:37.2,9cba178bd696aaf41d40db1d5925e226cf571bea9646dd38
28,Lieutenant1917,510,26:01.2,9fbb44dfd9c5acac4a16de4f5f21e1259d574cbfcb12da30
28,Jocular Jabber,510,26:01.2,9fbb44dfd9c5adf01e1087185b7ae27ecd0c1eb597428c69
28,Vigil,510,26:01.2,9fbf128cde92fef61940894e5f76e576ca5115eecc428b31
29,Izuberi10,512,31:27.8,9fbc1ed9d8c0aca64b43dd1a5f73b523985019bf9a128d6e
29,WebZ,512,31:27.8,9ce9148ddfc0fbf71a148a4e5976e7709f061dbc97148c3a
30,setbackNA,535,35:25.2,9fbb44dd8bc0f0f61b46dd4d5b7ae17498051cb8c8128931
30,LUDACRIS,535,35:25.2,9fbf14828ec5aaf418418e195975e771cf021db49a12dd39
30,SetbackGeorge,535,35:25.2,9cee43dfd995adac1e4b87430d20b726cc561bbf9e458b3b
31,EJOTricks,537,28:10.2,9fbb42dad8c0a8ac4d408e180b72e776c45748bd9d428d3f
31,Alex,537,28:10.2,9fbb118ad895f0a14e4286185e71e1739e0618efca16d169
32,That1Dfault,539,25:02.2,9fbb438bdac3fff64e138b1d5a73e671c40014ea9b46de39
32,Godzgalaxyy,539,25:02.2,9fbe1e8ed894adf01145db180d74e576c4034cb89c11db6b
32,MeH kInG nUb,539,25:02.2,9ced15dfdd94f8f41117d91f5d74e371cc5519bd9c16dc6a
33,CreatorGDS,545,28:42.3,9fba17d98ac7ffa51c40894d5e7ab274cd0049b899428e31
34,Baconman,655,33:23,9fbb1eded693afa21f418d495826e2719f054bbd9c15d96b
34,Fiufu,655,33:23,9fbe1488dd9ff8a31843864a0e71e522990c1eb59b198d69
34,Odnod,655,33:23,9ced15898e9ef0a14d4b874a5725b024cc561abfcc11d96e
35,Hallo123wert,666,29:23.1,9fbc41dadec0fba04c42d94b0e77e072cd0019bc9915df6e
35,:),666,29:23.1,9fbd17dedb97aaa64a4b88180977b3729e524feacc438e69
35,YT-FynnBTD6,666,29:23.1,9ce941df899efea14c16874c5627e77f9f521de99e458d3d
36,MZ,669,24:48.8,9fba1389d991f1a14a41864a0e7ae07699504fe9c845dd3d
36,LaoMengXin,669,24:48.8,9fbd10ddd694fba74d43861e5c7be222cf551cb897468c30
36,DZH,669,24:48.8,9ceb428bd990fdf01c40d91e0c71e722c40518b89a15dd6e
37,Tacotown314,740,34:08.9,9ce911dd8a95acac18138a1d5d73e77fcc551eef96128a39
38,Lovis_Legende,805,35:20.3,9fbc468bd893faf74c178b485677e27299561bba9619d96b
38,opilogi2,805,35:20.3,9ce9418adf96fba14913da185f73e77ece5714ef96108b3a
39,TyDialexno,810,34:26.4,9fbd1688d8c7f1a71b41de4f5f21e526c4034cb8cc18d939
39,audriuslion,810,34:26.4,9cea1788da92fef41b148e190d20e1759f561fbacb17d83f
39,Panther,810,34:26.4,9ced108fd7c5ada71143dd4d0b21b325cf0715e8c844dd3f
40,trainer,828,28:08.1,9fbc16df8ac7fcf11010da4d5775e272990d1ce89b14df31
40,tijme,828,28:08.1,9fbe118a8d94afa4101688490e27e5729e0315b5cc42df30
40,Rapidemonth,828,28:08.1,9ce942dfd7c7adf14e40dd4d0972e77eca5615be9c13da38
41,Genocide,848,26:44.4,9fba178d89c2fff41f40dc420c73e370cb031cbec815d06c
42,Eagles Nest,927,29:17.4,9ced13dfdf91fca41f108d190a7bb076cf074ee9cb448c3d
42,Brynn C N,927,29:17.4,9cbb1edede9efef349468c430d72b522ce0d18bd9f108b69
42,Ratatouille,927,29:17.4,9cbb1f82df92f9a04b13de1e597bb47ecf011de8cb46dd6d
43,cat,959,18:08.6,9fbb4288df95f0a01f468e1d5c74ef7ec4034be897168c38
43,Saturno,959,18:08.6,9fbb4388dcc4fcf14c17871e0e71b52598504ebfcc118a39
43,Br-secret,959,18:08.6,9fbb448add95aba51f108e425925e075ca0718b4cd17d93f
