Placement,Name,Score,id
1,Loxidous,22,35:12,9ced43d9dcc2f8f6194bdc1f0925b521cd004cbbc815d93e
2,Soul,22,37:45.8,9fbb438dda95f8a54c10d91e0d7bb777c50648ba9a188b39
3,LateTrender,24,50:00.5,9ceb42828c92ffa44a16dd1f5e20e57fc85718ed9816de6a
3,Sarah,24,50:00.5,9cba11ded7c7f0ac49428d1f0a25e525cc561eb49c158c3d
4,BUTTMAN,25,44:45.8,9fbb10d9d990f0a41943dc185b26e775cc5148b496168e6a
4,ikun,25,44:45.8,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
5,Gura,25,44:58.3,9fbd458d8bc5a8a64946de4f5f27b7769a501aedc8418d3e
5,Chara,25,44:58.3,9fbe42ded997aaf61c4bda180975e270ca524eb59b46df39
6,jandalfual,25,47:48.1,9fbb14ddd8c5ada4114486185622e676cc0149ba9c45d16e
6,Objectsp,25,47:48.1,9fbb14de8d94fcad1c16881d5873b276cc5649becb10896c
7,SleepyToucan302,25,57:32.1,9ceb13df8dc4fca31a46864c5926e7259a5648e9c845df3b
7,(Katabu),25,57:32.1,9cec1eded894a8a6184a8d420925e575ca5615bacd17d83e
8,waiter386,26,36:19.8,9fbb438ddd90f0f01e40871a5973b722c8524bea9e198a3e
9,NINJAKIWI,26,45:46.6,9ceb14d8d99faff01a118a4e5677e725c95719e997108a6e
10,Irrlicht,27,35:29.8,9ce9418e8dc2adf118138d4a5b20e77f9f064cbe9619d938
11,SupremeAvocado,27,38:58.9,9cb812d8dd94ffa31f40d9430d22b726cc0d19b497198b30
12,PlayerAE,27,43:36,9fbc46898cc7f1a71e168a4f0a26b077990d4fe8cb458b3c
13,zuimeng,30,43:22.1,9fbe41dfde93f1f34c108f1e5721b773cf5014bc9e13d030
13,Francis,30,43:22.1,9fbe43828cc2afa41c108b190c7be27ec5551ce99810df3f
14,EliteMaster2724,30,47:22.1,9fbb45ded992adf110408a4b5b26e473cd0648b99d11d16c
14,SpiderDude,30,47:22.1,9ce944828991acf11a13861f0e77e0779d004fb89a11dc3c
15,Yes4721,32,37:06.9,9fbb468ddd94fcf618408e430b21e1239d0414e996148b3f
16,Windkey.,33,33:31.9,9fbb438fdfc4a8f41a47dd195827e6249d0d14b5cc15de3e
16,monsterman_03,33,33:31.9,9fbb44dfdf92ada110478e485c25e77ecc0c1bef9b158a30
17,TIME,33,34:21.2,9fba16da8bc5f8a01b118d425c7ab225cd571dbaca118c3f
17,Muteki Gamer,33,34:21.2,9fbb45ded69ea8f44917d9195e71e124cb0349be9745d06d
18,meni365,33,34:52.3,9fbb43888b92fca74c4a891e0c74b574cb5715edca14df6e
18,BigSwampOwner,33,34:52.3,9cb942ded6c0aca61b16d918587bb426cc0d1cbf96458d38
19,Saber,33,36:24,9fbb428fd896aaa01910dc1d0c22e422c5041bbf9c45dd3c
19,Hiraeth,33,36:24,9fbb428fd9c0fff010178f4a0d27e57099574eed9a19896e
20,AHardyLopunny,33,37:39.4,9ced1582d895adf6104b8b1d0d7bef70cd571bbf9f18da3b
21,wzhzone,33,37:53.3,9fbc46d9de95f1ad1e168a4f0a26b077990d49bdcc438e3b
21,xifeng,33,37:53.3,9fba1682dc9fafac1e448b1d5d20ef76c40d14efcd458d38
22,Luca,33,38:11.1,9fbb148bdac4f8f11b46de495626e324cb551fbecc15db3d
22,JonaNumbaWan,33,38:11.1,9fbf46ddd6c2ada74a43db1a5971e4779d561bb5ca448e30
23,Geno,33,39:02.4,9fbf1e8edd93f9f64b138e190e77e576cb564cbb9b12d831
23,LPDasBacon,33,39:02.4,9cea168b8dc2fef41d42881a5820e7709a551be99f10da6d
24,bigbloonbopper,33,40:21.4,9fbc1e8adf92aaf04c118f1e0e74b2269f561fbec843de6e
24,MayoMonkey,33,40:21.4,9fbe438addc0afa74c438b4c5722e272cd064fe89d418e3a
25,Norb,33,50:36.5,9fbb15d8da95f9f14c438d4f0c7ae67e9a0d4cbc9c17da38
25,Knight0fNight,33,50:36.5,9fbd428a8d91f1a61c14884d5f71e677c9034bbacf42da6c
26,suheedohn,33,54:15.1,9fbe158cdf91ada71d478d195c73e224c90514b8cd15da38
26,Coom,33,54:15.1,9fbf178f8b93a8f64d178e1f5676e773c80315ed9a18de6b
27,Cowlk on YT,34,32:08,9fbd1edadec4faad1847d91a0a25e422985049ba9d428a6b
28,Txkuerbiskopf,34,40:36.8,9fbe1783dd96f9f74e41de420c25e772ce0515b89c10da3e
28,FOX_FEAL,34,40:36.8,9cea45dadc92f0a44c178b1d5e76e47fce0215ed9811df39
29,Yaman,34,49:19.1,9fbb1e8a8dc3f1f44b4487485b7ae0719e054ce89b17db6c
29,Sebi,34,49:19.1,9fbe438f8a93aff74c438b4c5722e272cd064eb59d148d39
30,PokeTakudi,35,34:41.7,9fbd418adc91a8a21f458f4e0d76b524cb031be9ca43df3c
31,ManFakk,35,37:22.8,9fbd458ad8c3fef61c178c4c5674b324c90314b99910d86c
32,Kronos,35,40:40.8,9cea17ddd8c4a8a21d42881a5820e7709a551bedcf448d3e
32,Monster,35,40:40.8,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
33,Topu,35,41:30.9,9cea1089d8c2f9a11e44de1f587be77fcc0114b5cd14da6c
33,Quesk-chan,35,41:30.9,9cb615dddd9efea71b4587480a73b275cc5519eeca45dd69
34,Sythes,35,45:25.2,9fbb42838d92f9f11e138a4a5f77b47e9f5019bdcd13d16e
34,Kafos,35,45:25.2,9cb6128adc93fbf01f4b8b1d5620b523cc554fbb97458d3e
35,Monkey hater,35,45:38.5,9fbc428e8e96faad1117dc4e0a7be57699031dbacf428c3f
35,sleepiestkevin,35,45:38.5,9fbc468f8d90f0a51045864d5c7be771c9524fb9c819d83d
36,SoggyBussy89,35,49:43.4,9fbe1383dfc7fdad4e4a8b185d77e576ca5048b99944db3a
36,A_Squip,35,49:43.4,9ce941d8899ffdf64e43dc1a0d75e37ec9554fba9d14d130
37,Eismann,35,52:56.4,9fbb41dad792fbad1f4b884c0b74b3249a5249ef9b43de30
37,animal,35,52:56.4,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
38,kD,36,25:56.1,9fba17dfdb97acf14d4b864d0a7ae17299031bbc96198d3b
38,Firedancer2408,36,25:56.1,9cea1683d695afa04d4b8d420d27e7239f5715b597168e3d
39,Qaz34,36,35:03.5,9fbd44dfdbc5adf749438d425a21e072c50114b599428b31
39,MioHorizon,36,35:03.5,9cbb1fd98b93acf349448f190c25e226c9571cee9d16d930
40,FabianGamen,36,38:30.2,9fbc128c8ac4aaf71d11dd1e5b25e3729d5249be9a16db3b
41,Archie,36,42:54.9,9fbc468ede9faaa41c1087420b7be5709a571aee9843d13d
42,III,37,35:43.2,9fbd438ed794fea51145884e5a76b77ecc0548bacd45df6e
43,P blo :>,37,39:03.3,9fbc1782db95ada54d41db4f5621e376cb051aea9819d03b
44,LunaTuna,37,42:08.1,9fba148bdb90aca01817891e0b7ae770cd0119b8cb43db3e
44,Fif Gen,37,42:08.1,9fbd4589de91aca51a1387195b26ee24cb0c4bbd9814da6b
45,SomeOtherGuy,37,45:03.4,9fba15d98a97fba14b40dd4b0977e724ce561ce89743d03f
45,GustaW,37,45:03.4,9fbe17da8a90aba54d478a4b5f72e27ec4014ebfcc44896e
46,night,38,36:58.4,9cb81683df97f0f419428c180d72e774c8024eb49d11de31
46,Umu,38,36:58.4,9fbf17daddc5a8a61f1088495822e771ce0715ba9a138e39
47,NPC,38,38:01.2,9fbb1488db95abf31b4adb4e5c72e777c4024eef9e43d06b
47,TNK,38,38:01.2,9cba138edf95f0a01c108d4e5e7ab021cb071dbec843d06b
48,Single,39,33:16.3,9fbb438addc4f9a34e42884b5e27b026c50019e8cd43de6b
49,Loui,40,30:19.8,9cea13da8b93acf11844de425725e77fcb011ee8c8468e6d
50,RealName,40,33:25.8,9ceb13dfd8c5a8ad1b418f490e77e724980449eec813dc38
50,Kazzoon,40,33:25.8,9ced158c8a91adf04e138c185877e471cd021cbe9c16da6a
