Placement,Name,Score,id
1,Enzo,7:20.767,9fbb10d9d990f0a41943dc185b26e775cc5148b496168e6a
1,WOR ZOII3 LAK,7:20.767,9cb71e8a8996fbf11d13864a5621b273c80715bfcd138b69
1,1224790991,7:20.767,9fbd45dfdf9efda410448f490b25e3749f5618b89a168a3f
2,3062283445,9:09.033,9fbb148adac7fba04d13da4e0925b774cb064ebd9744d03a
2,linjiangzhixian,9:09.033,9fbc46ddd6c2fda74b16dd4c0b72b376ca0c1aedc814df6a
2,WYF731,9:09.033,9fbf128ed791f1f14b45dc4d5b70e1269e0518be9917d86d
3,Francis,13:52.534,9fbe43828cc2afa41c108b190c7be27ec5551ce99810df3f
3,Myrrh the maid,13:52.534,9ce941898cc4fba110468e195922e77ec9501cee9a448e69
3,zuimeng,13:52.534,9fbe41dfde93f1f34c108f1e5721b773cf5014bc9e13d030
4,BANANANOMNOM,14:06.867,9fbc4189db90aaa44e11861d5675e174cf0d18edcf18df39
4,BananaJC,14:06.867,9fbc4189db90f8f418168d435b71e7749a5518e89c178a3a
4,BANANASC,14:06.867,9fbc468ddbc5fea54a13881d5972b074ce504cef9716db3b
5,Han lu,15:25.167,9fba13da8ec4fba41f42891e5f20e122ce064cb49e468a3f
5,cat,15:25.167,9fbb4288df95f0a01f468e1d5c74ef7ec4034be897168c38
5,Kduel,15:25.167,9fbb17dddfc5f9f61c478e485d25e575c9064fba9713893a
6,Jandalf,16:21.734,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
7,Andrew Tate,18:25.767,9fbb43888b92fca74c4a891e0c74b574cb5715edca14df6e
7,$,18:25.767,9cea17ded790f1f011138b4a5a27e77fce031ee99e418c39
7,BigSwampOwner,18:25.767,9cb942ded6c0aca61b16d918587bb426cc0d1cbf96458d38
8,1246105283,20:01.017,9fbb458ad79ff8f74b138d4c5b21e47fc5551cb8cf468d6c
8,MsrHono,20:01.017,9fbc16838c96abf04d168b4d5620b577cd0515e8ca45896e
9,Yttrium,20:29.316,9fbb448f8994fca34d108f480d75e575c40c49e8c845d030
9,eyalv13,20:29.316,9fbd4282da93fea34b43da4a5d7be77fcd0048e99d138a6d
9,Ben251,20:29.316,9cb81e89ddc3acf61816dc4b0b71e721cf051fed9c428e3b
10,giddy4,20:53.434,9fbc4482d891f9a24d13da4d5a76e324cb014bedcc438b39
10,infopeek,20:53.434,9ce94289d99efaac11178b1a5821e77ecb5015bf9e168a31
10,Y.,20:53.434,9fbb44898d90aff64e1789425c7aee7f9d511dbf9d458d30
11,Mardorla,20:54.267,9cb61188da94f0ac1a178f4f5a26b524cc551abb9f17d938
11,Navel orange,20:54.267,9fbb45888c92f8f34a428c425b20ef76cb574bbccf11db6a
11,Jinyinqiu,20:54.267,9fbd4582de97faa71a168f425676e67f985119ee9943de3a
12,Fiufu,21:02.183,9fbe1488dd9ff8a31843864a0e71e522990c1eb59b198d69
12,Odnod,21:02.183,9ced15898e9ef0a14d4b874a5725b024cc561abfcc11d96e
12,Baconman,21:02.183,9fbb1eded693afa21f418d495826e2719f054bbd9c15d96b
13,Bee Chanoknan,21:52.633,9ced148d8a90fca61c168e420b22b574ce564fb99942dd30
14,LeticiaHime,22:18.583,9fbb418cdf91aaa61b46864d5672ef269a034fb5cb17dd6c
14,DeadKiller,22:18.583,9fbb438adc92fea44916dc4e5670e074ce0119be9d19db6d
14,BloodFlare,22:18.583,9fba11d88ec2aca44b4287490d75ee709a0c1fbd9b18db3e
15,Izuberi10,22:24.033,9fbc1ed9d8c0aca64b43dd1a5f73b523985019bf9a128d6e
15,meth head,22:24.033,9fbb1f88dcc4f8f01d448b4a5e27b376cc034ebeca178e3e
16,TraiN,23:17.317,9fbb168ad793aaf64a1187435b21b426c5564ee999428e3d
16,Sleepytoucan,23:17.317,9ceb13df8dc4fca31a46864c5926e7259a5648e9c845df3b
16,Player,23:17.317,9cea12d98b97f1f11d118e4c5e7be77fcc031cb99a14d96b
17,fieryphoenixo,26:30.167,9fbb468bdec7fda54b468b1e5a71b77fc5064fe89c13d03d
17,Icebearz,26:30.167,9ce9108e8e93faa74a108c1f5e71e67fc8501bb99a16da6c
18,artemoleksiy,26:52.5,9fbc1edfd69efaa118168d430926b470cb0015bf9d11dc69
18,Kakakarotcake,26:52.5,9cec14dada97fff34b4a89495921e170c8024fba9b17d038
19,Durithil,27:40.067,9fbe1082d992ffa31c148e490d27e576ca551dbc9811896b
19,MediocreLemon,27:40.067,9cb843d88993faa71b108c4d5e74ee23cc5015b59e198e6d
19,Alo,27:40.067,9fba12d98b9faff71842884e5f76b722cd061ae99942d869
20,Legenderik,27:40.5,9fbf16da8ec0fff31c408e185671e377cc0519b4cd17db39
20,Banane,27:40.5,9ce91f898bc3f0a21f4b8c4c5d73e1759f0c49be9f18da3d
21,not unhomie,28:05.55,9fbb44d98c91fba61e45891d5b74e173c9021abb9614db3d
21,unhomie,28:05.55,9fbe14838cc3abad1944de1f5e72e17fca074bb59f138d3b
22,Turgeon,28:25.6,9cec108ad6c4f9a51c178b425b75e124cd021dbb9e17dd6a
22,YF_2001,28:25.6,9fbb438edfc0fdf31f178d480a72e37798501be9cf13db31
22,i_dont_sab,28:25.6,9fbc43dad7c5fea0104486185b25e2719a0419ea9913dd39
23,bavrtv,28:48.983,9fbd138bd791f0ac1d408c485921e274cb5618b8cb11d130
23,NickT31,28:48.983,9cba108eda94aba61042864d5871b072ce571ced9d11d86c
23,Courraffe YT,28:48.983,9fbd178ad8c3a8f11a138d4b0d76b721cc001ebb96178b3f
24,CanonRouge24,29:48.033,9fbb43dfd89eafa21c4b86480d76ef76980248bd97418a39
24,LuxtillLuna,29:48.033,9ced148cdbc7afa31b44de1f0c20b324ce561bef9f11d13d
24,Dragon,29:48.033,9cba418ed7c4aff11e4bda1d5876b321cc0d1cb59718d869
