Placement,Name,Score,id
1,Katabu,2:20.167,9cec1eded894a8a6184a8d420925e575ca5615bacd17d83e
1,--Thefool--,2:20.167,9ced168a8990f1a61a4486435f72e024cf0719efca188b69
2,FeedMePi314,2:21.117,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
2,BigSwampOwner,2:21.117,9cb942ded6c0aca61b16d918587bb426cc0d1cbf96458d38
2,Feedmealt,2:21.117,9fba108c8c95f9f34a45de4f5e7bee70ca0d1eefcd158b3a
3,TwiZzy,2:22.767,9fba11d98b97aaad1c14dd4a0c72e0269a041cb5cd45893b
4,Sniper monkey,2:40.233,9cea15d9df97f9a61a1188185d25e325c8561eeacd458e6b
4,Sleepytoucan,2:40.233,9ceb13df8dc4fca31a46864c5926e7259a5648e9c845df3b
5,3062283445,2:57.683,9fbb148adac7fba04d13da4e0925b774cb064ebd9744d03a
5,linjiangzhixian,2:57.683,9fbc46ddd6c2fda74b16dd4c0b72b376ca0c1aedc814df6a
6,Isshiki bro,4:22.1,9fbd1082da9eabf41b47881a0b26e772c95748b99b14db3e
6,Funky_Monkey,4:22.1,9ce945d8d7c7aca71947de4a0b7ae67fcb551bbf9a13db3a
6,Sparky,4:22.1,9fbb44dddd90ada51e448f195721e025cb054bb49e45893a
7,BANANANOMNOM,5:23.667,9fbc4189db90aaa44e11861d5675e174cf0d18edcf18df39
7,BananaJC,5:23.667,9fbc4189db90f8f418168d435b71e7749a5518e89c178a3a
7,BANANASC,5:23.667,9fbc468ddbc5fea54a13881d5972b074ce504cef9716db3b
8,Bee Chanoknan,5:25.917,9ced148d8a90fca61c168e420b22b574ce564fb99942dd30
9,Isshiki,5:32.516,9fbe10d8d9c2aff71c1489485f76e5769a554bb89f148b3f
9,Kronos,5:32.516,9cea17ddd8c4a8a21d42881a5820e7709a551bedcf448d3e
10,Andrew Tate,6:24.383,9fbb43888b92fca74c4a891e0c74b574cb5715edca14df6e
10,$,6:24.383,9cea17ded790f1f011138b4a5a27e77fce031ee99e418c39
11,Albedo,6:57.966,9fbb46dfd6c5fbf71f45da4c0a22e0779d011bb49f16893a
11,Mr. Trolley,6:57.966,9ced1582de94f8f41a47de1a0926e47ecc504bea9643893d
11,TornadotomFTW,6:57.966,9cba138ddd9ff8ac1c108d4e5e7ab021cb071db99f198931
12,LeticiaHime,7:07.217,9fbb418cdf91aaa61b46864d5672ef269a034fb5cb17dd6c
12,DeadKiller,7:07.217,9fbb438adc92fea44916dc4e5670e074ce0119be9d19db6d
12,BloodFlare,7:07.217,9fba11d88ec2aca44b4287490d75ee709a0c1fbd9b18db3e
13,morklinyt,7:16.217,9fbb428f8bc2fea04a458d4b0d27e3759f041cbdcc19dc6a
13,vampije,7:16.217,9fbc1383dac2fef61946de495d72e07ecd051deacc138d3a
13,CREEPER,7:16.217,9cea1189d691aaa11b1687435d27e27e9f004bb8ca17d06a
14,Tacotown314,7:17.683,9ce911dd8a95acac18138a1d5d73e77fcc551eef96128a39
15,YF_2001,7:32.55,9fbb438edfc0fdf31f178d480a72e37798501be9cf13db31
