Placement,Name,Time
1,YtseJam,0:45.817
2,E,0:48.65
3,06bob,0:52.316
4,Olinequ,0:54.233
5,Gone,0:54.5
6,Guanium,0:56.017
7,AroundAverage,0:57.45
8,Loeg,0:57.85
9,feinberg,1:12.083
10,- Cyclop3s 49 -,1:13.8
11,BAPAK BAPAK,1:16.983
12,Punji :),1:18.166
13,FeedMePi314,1:20.917
14,VeDAN,1:22.567
15,Vert,1:23.783
16,SupremeAvocado,1:24.283
17,sejamstepbroth,1:26.233
18,Monster,1:26.234
19,Spoony,1:26.3
20,K4S6M,1:26.65
21,Dasius,1:26.733
22,Shhdaddysworkn,1:27.083
23,BTD 6 No0o0b,1:27.334
24,Thompis,1:28.433
25,WOR ZO77 LAK,1:28.45
26,JackIsthebest,1:31.266
27,BengPro,1:31.35
28,Caleb Fraser,1:32.433
29,Domingus Boomr,1:33.116
30,Westvirginia,1:33.7
31,Maistas,1:34.084
32,JustANoob,1:34.45
33,Totti,1:36.75
34,viennariver,1:37.383
35,Paperboy,1:37.5
36,Adeemthebeam,1:41.55
37,KuroNoTsubasa,1:41.817
38,Peter,1:42.533
39,Kerone,1:42.967
40,Gura,1:43.267
41,No_Message,1:44.917
42,Nocturnal,1:45.367
43,Axenow,1:45.383
44,DogFace,1:46.116
45,Red Komrade,1:46.433
46,Patthebigmonke,1:46.65
47,Pancake <3,1:47.633
48,Kevin,1:47.733
49,iBenba,1:47.816
50,Bonzo,1:48.083
51,Stage 2 Ligma,1:48.767
52,geronimo tauren,1:49.816
53,WOR ZOI1 LAK,1:50.3
54,BloonGoon,1:52.683
55,ikun,1:52.684
56,IndoorWallaby8,1:53.084
57,GruchaElPrimo,1:53.367
58,A'nan,1:53.467
59,DonnieSharko,1:53.666
60,ikun,1:54
61,Player8313015,1:54.217
62,TheIvyX,1:54.6
63,TylerDex,1:54.617
64,nobody02983,1:55.117
65,Affter,1:55.667
66,NIK,1:56.016
67,=KingofDaRing=,1:57.9
68,DireRaven,1:57.967
69,Gumball,2:00.267
70,redaktteedd,2:01.366
71,Damianjestem,2:03.483
72,Dakota Jackson,2:04.433
73,SniperCup,2:06.367
74,DarN,2:06.517
75,T.Tv_Firefly,2:08.433
76,Hopper,2:08.483
77,taiks,2:09.183
78,Player,2:10.034
79,01191020csl,2:13.15
80,fpalazzo46,2:13.283
81,Player,2:16.817
82,Ayeccs,2:20.25
83,Thedonald,2:21.783
84,marcoleong007,2:22.8
85,choccy onion,2:25.383
86,chuckddd,2:26.2
87,Lazlo,2:27.017
88,Dylan Gray,2:28.283
89,CyanRabbit2842,2:28.5
90,Geno,2:28.733
91,StormKiller,2:31.417
92,Tequila23333,2:32.15
93,108r5meme,2:33.417
94,ILoveThisGame,2:33.95
95,Thunder,2:34.667
96,nuohu,2:35.917
97,CyberRail,2:38.867
98,2649935474,2:39.65
99,GreatMonkey4742,2:40.384
100,QLancer,2:40.6
