Placement,Name,Score
1,YtseJam,0:36.567
2,MrPieTrek,0:36.6
3,WhiteNight,0:37.95
4,Guanium,0:39.867
5,Remove LC Boss,0:43.617
6,Loeg,0:44.383
7,- Cyclop3s 49 -,0:45.767
8,YT-FynnEbsen,0:46.317
9,Gone,0:51.267
10,Patthebigmonke,0:52.45
11,chickenshark,0:53.8
12,WIZARDPARAGON,0:55.417
13,Gura,0:55.8
14,Punji :),0:56.133
15,Feinberg,0:56.15
16,Caleb Fraser,0:56.233
17,Heli sucks,0:57.133
18,Shhdaddysworkn,0:57.483
19,WOR ZOII3 LAK,0:57.7
20,FeedMePi314,0:58.933
21,Darth Plagueis,0:59.2
22,Westvirginia,0:59.7
23,GruchaElPrimo,1:01.683
24,K4S6M,1:02.983
25,Andre8657,1:03.2
26,ILoveThisGame,1:03.25
27,Umbrella,1:04.367
28,David Rojas,1:04.583
29,VeDAN,1:04.6
30,M3mes,1:04.8
31,Hell:VampireZ,1:05.25
32,DireRaven,1:05.55
33,Yut,1:05.717
34,Monkeman,1:05.75
35,bonk,1:05.917
36,<elves>,1:06.434
37,Vert,1:07.15
38,Nocturnal,1:07.2
39,Hopper,1:07.8
40,Bonzo,1:07.917
41,Yuki,1:08.466
42,Kerone,1:08.517
43,Krelli0608,1:08.883
44,BengPro,1:09.333
45,Fluffy Spani:3,1:09.466
46,Affter,1:09.817
47,geronimo tauren,1:09.916
48,xx,1:10.267
49,FunRon,1:11.05
50,SupremeAvocado,1:11.083
51,ALL_INSTAS!!!,1:11.783
52,iBenba,1:12.3
53,Ansppy,1:12.934
54,Visomero Brabo,1:12.95
55,Isshiki,1:13.65
56,108r5meme,1:13.65
57,heiyu,1:13.833
58,druck3r,1:14.2
59,hedisgoo,1:14.267
60,donkeymule2,1:14.283
61,Dakota Jackson,1:14.617
62,Kevin,1:14.917
63,Monster,1:15.217
64,Rivera,1:15.55
65,Domingus Boomr,1:15.6
66,01191020csl,1:16.033
67,Jao,1:16.1
68,mdeschu,1:16.783
69,I hate boss,1:16.833
70,viennariver,1:17.167
71,DogFace,1:17.384
72,NIK,1:18.317
73,Lava,1:19.85
74,Alexpv8080,1:20.416
75,T.Tv_Firefly,1:20.683
76,MATTOCK,1:20.883
77,KotalKatil,1:20.95
78,Light,1:21.067
79,rodulant,1:21.3
80,Pancake <3,1:21.367
81,Blild,1:21.6
82,LightningBenji,1:21.733
83,chenboy 467,1:23.517
84,chuckddd,1:23.583
85,CHenMoOn,1:23.716
86,UNLUCKY,1:24.583
87,Jaster56100,1:24.916
88,WOR ZOII4 LAK,1:25.383
89,Ayeccs,1:25.55
90,Winnie5401,1:26.533
91,JustSummmer,1:27.25
92,mizon yala,1:27.45
93,A'nan,1:28.617
94,specker86,1:29.033
95,ANG-Z,1:29.4
96,HexagQn,1:29.733
97,RiFt,1:30.367
98,VanBummel,1:30.95
99,Lino,1:30.984
100,choccy onion,1:31.266
101,der_ute,1:31.6
102,Tequila_233333,1:32.183
103,Player7636396,1:32.267
104,7,1:32.417
105,No_Message,1:34.25
106,Valen,1:38.533
107,Godbot,1:39.05
108,ttotto0417,1:39.1
109,$jimal$,1:39.267
110,yjdstcyjdstc,1:40.283
111,Alro7,1:41.117
112,MedicBag,1:41.566
113,PsykomanT,1:41.916
114,DotTrevv,1:42.467
115,ronSold,1:44.017
116,Marshader,1:44.934
117,Keiranco,1:45.733
118,Zogazig,1:45.85
119,GreatMonkey4742,1:47.2
120,Ariq123,1:47.434
121,Mik0la,1:49.467
122,BloonGoon,1:50.366
123,Player,1:51.666
124,Lukstar129,1:51.95
125,CAUCWYK,1:52.6
126,Gielepino,1:53.15
127,Murko,1:53.217
128,taiks,1:55.433
129,TinTin,1:55.55
130,Player,1:56.25
131,frankbenedet,1:56.333
132,powerless,1:56.783
133,Petrichor,1:57.35
134,IndoorWallaby8,1:57.517
135,roasted_bird,2:00.684
136,limitlesss,2:01.733
137,Aequinoktium,2:01.983
138,Kuta,2:03.05
139,Dihzzy,2:05.667
140,Fredrik,2:07.533
141,TheIvyX,2:07.717
142,LMPB,2:08.7
143,kanou-suguru,2:09.067
144,Player,2:10.717
145,MichaelVickDog,2:10.95
146,Player1320014,2:14.116
147,Weadeater,2:15.4
148,settam07,2:15.467
149,The noob,2:17.334
150,Player1611590,2:17.4
151,inurachi,2:18.416
152,BoBLorDE,2:18.85
153,Fxz,2:18.917
154,LeGenericMemer,2:19.3
155,xener,2:20.9
156,Legend,2:21.784
157,SquidKid,2:24.216
158,Knuckles,2:25.916
159,Pengy,2:27.15
160,AdairHeyU,2:27.434
161,Yumi,2:28.35
162,RAE,2:30.383
163,Y,2:31.834
164,platey66,2:31.95
165,Superbrad,2:33
166,Logical_Panda_,2:34.3
167,dsero,2:35.984
168,uvclive,2:36.783
169,StormKiller,2:38.8
170,Covid 19,2:39.683
171,DBirdie,2:41.15
172,song,2:43.833
173,jing qing,2:44.167
174,Raymond,2:44.916
175,MarmanGameSS,2:45.817
176,Mr.PPPenguin,2:46.4
177,3062283445,2:47.516
178,default,2:48.634
