Placement,Name,Score,id
1,Guanium,2:43.55,9ce942dedd93a8a61e13871f5b7be77ec8054beacc428e31
2,zarrot,2:59.366,9cec118d8b96f1a31f118b4a5a76e526ca031eb89e42df38
3,Asahina,2:59.45,9fbf128d8a90f8f11841de4e5b20e5769a064bb99d11893f
4,NeamPrijatelje,3:00.083,9fbf448f8bc7fdf31e47dc4d597be423ce5518b99c17d13a
5,donkeymule2,3:04.817,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
6,FeedMePi314,3:32.55,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
7,Wugezideming,3:58.534,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
8,lemon,4:17.433,9fbc1082d8c2adac4d41de4e0b71e175cc061dba9e168d6e
9,feinberg,4:19.017,9fbc44df8c95aaf61f43874d5d75e377980149e89e44893c
10,TiltMachine123,5:03.934,9fbb1f828a91ffac10168a490e72b5769d571bedcb12df6a
11,Kakakarotcake,5:13.217,9cec14dada97fff34b4a89495921e170c8024fba9b17d038
12,Number1NkHater,5:14.9,9fbb1f8edac3fea0194486420d27e025cf511ebcc846de6b
13,SomeWabalan,5:33.4,9fbc1ed98c92fcf34b42dd1d0971ef779a571aba9619896d
14,MikoAE,5:51.683,9fbc46898cc7f1a71e168a4f0a26b077990d4fe8cb458b3c
15,Hopper,5:56.75,9ce94183dc95faa14e458a4e5871e77f98511ebe9c41d13f
16,2649935474,6:02.166,9fbe44d8dc91f9a510408f180d20e27f9a074befca13d93d
17,ILoveThisGame,6:09.517,9ce942ded8c0f9f41f42dc190c22e77f9a0c4eb49612d138
18,Monster,6:25.6,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
19,pllan,6:27.183,9fbe13de8e91fea51116dd420e7ae67fce0114bccb17dc69
20,WOR ZOII3 LAK,6:30.166,9fbc428fdf94f1a74e43dc4e5973e07fc90748b8cb148a6a
21,xrlylyl,6:36.333,9fbe1edddcc7aaac1b40d91f5f26e576c40c48be9641d03e
22,AwesomeWizard4,6:36.7,9fbe178fd992acad1016da480d7be7239a0d49bd9c16da38
23,Mentor,6:47.5,9fbc168cdb95ada21e4386425d7ae2759f5618bf9c118a6b
24,sabishina,6:54.05,9fbe14df8ec2ada71846884b5f22e576cb504fb49b12d030
25,Loconch,6:54.2,9fbc42d9d9c5a8ac1e408a4e0d26b5719f014eb49b178c3b
26,Player,7:01.7,9fbc448c8b90acf01940891f5970e174cc021cbbca15d869
