Placement,Name,Score,id
1,WhiteNight,0:38.667,9cee45dfd6c0fef44a448f190e21b324c9041be89f418b3d
2,MrPietrek :),0:39.55,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
3,YtseJam,0:39.6,9ce941d9ddc2afa3494a8f495d70e77f98071ebacc118b6a
4,Gone,0:41.133,9fbe1fddddc4fef64d41861f5873e377c9524eb99614d86c
5,Patthebigmonke,0:41.7,9fbf12828e9fada44d41864f5d7ae575cc5014b99711dd6d
6,- Cyclop3s 49 -,0:44.3,9cec1edfd99efda74e178b4f5a70b321ca0348e99b14d169
7,feinberg,0:45.017,9fbc44df8c95aaf61f43874d5d75e377980149e89e44893c
8,Gielepino,0:45.133,9cea1482d694f0f01c148b1f5620e225c45114b59b438e31
9,Tompa,0:47.283,9fbf1188db96faf14c4686485974e575cc061ebe9919dc30
10,BTD 6 NO0O0B,0:47.283,9cee418f8a93fca01f468d1a5d26ef25cc064be8cb19dd6b
11,Player,0:48.417,9fbf46d9db94f0ac1b11dc4f5672e576ca5719be9619d16a
12,TiltMachine123,0:48.517,9fbb1f828a91ffac10168a490e72b5769d571bedcb12df6a
13,Spani (Real),0:49.133,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
14,Crowley (Real),0:49.183,9ceb4383de90fef71c148c4c5d26e77fcc514ebc9a118d3a
15,Overclock,0:49.983,9fbd15dfdf97aca2494b86195874b776c50d14e99e42df6e
16,ikun,0:50.55,9fbd4382d996fef34a4bdd4c0d7ab3719d064ce89845893d
17,Punji :),0:52.617,9ce9418ad79ff1a2494389430c76e77f98501cbe98158a3c
18,MrPlasma,0:52.8,9ce9108cd7c2fba51c1188195d77e026cb0118b9c816d16a
19,reflect,0:54.45,9cea1483dac7f8ad4e4a874f0b27e1739e5118bb9b128e3e
20,ILoveThisGame,0:55.366,9ce942ded8c0f9f41f42dc190c22e77f9a0c4eb49612d138
