Placement,Name,Score,id
1,YtseJam,40,27:03.5,9ce941d9ddc2afa3494a8f495d70e77f98071ebacc118b6a
2,Wingmonkey OP,40,29:58.1,9fbd43d8dfc2faa44d138f4c0c70e726cd551fb5cd148a6c
3,MrPietrek :),40,32:03.6,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
4,BTD 6 NO0O0B,40,32:29.7,9cee418f8a93fca01f468d1a5d26ef25cc064be8cb19dd6b
5,donkeymule2,40,33:38.9,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
6,animal,41,32:05.8,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
7,bloonariussy,41,33:24.8,9ce91588de94ffa21117894b5c7be377ca0d19ea9c10da6e
8,W,42,28:17.2,9cee418ddd90f9a34a458e4d5e25e47fcb021db598188c3d
9,SeeRukio,43,30:33.9,9fbd14ded696aba54c478a1e0b72e223980115bc99148d31
10,JG466,43,33:15.8,9ce9428ada94f8a11d10de4d5672e77f980d1fe89611d83e
11,FeedMePi314,45,31:22.2,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
12,Superjombombo,46,27:31.3,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
13,baimian,46,28:28.2,9fbb148f8c95fbad4a4a881a0b77e171ce524fe89e10db3d
14,A DISPLAYNAME,46,29:57.8,9fbc1edd8b90acf61d17dd1e5b70b575cd041fe99744d869
15,MikoAE,46,30:06.3,9fbc46898cc7f1a71e168a4f0a26b077990d4fe8cb458b3c
16,qian mo,46,30:13.3,9fbc1ed8dfc7f8a41a45db4e0b25e723ce511ee9c844dd30
17,FiatAccompli,46,30:37.6,9ce941d88a9faba41e4add4e5f71e421cc0c4bb496448a31
18,Loconch,46,30:46.6,9fbc42d9d9c5a8ac1e408a4e0d26b5719f014eb49b178c3b
19,royalor,46,30:46.8,9fbb44d98cc2faa64c17874e0b20e7769f0414e899438e31
20,I_C_U,46,30:55.3,9cb916898ec2f9a01842894f5f21e023ce5015b89c128e6e
21,WOR ZOI1 LAK,46,31:02.7,9fbc46df8e9eada21e458d4e5821ef2498021ee99d17d838
22,the3one5,46,31:03.6,9fbc46898cc4fdf61e168a4f0a26b077990d4fe8c810d13c
23,HELP ME,46,31:11.6,9fbb44ddd797f9f31d4487195626b3779a054bb59e18dd38
24,sorry1wanted,46,31:17.4,9fbb44dad692f8a24b168a185b72e674c4061eefcc14da3a
25,sisyphus,46,31:17.5,9fbb428fdd93fbf71114db420e26e273cc501ebccd11dd69
26,MuYe,46,31:20.1,9fbc468cdfc3ada5494bd9495725b271c40718b9cf41da6e
27,ZZ LOVE CY,46,31:31.6,9cec4688d695adf410108d480925b223cd071eb8c8458e6a
28,ConfusedBearCN,46,31:35.6,9fbd44dad7c2f8a31c47dc420a73e675cd571bba9b11df3a
29,2649935474,46,31:37.1,9fbe44d8dc91f9a510408f180d20e27f9a074befca13d93d
30,lyb,46,31:40.8,9fbc12dd8ac5acf6194ade4e5c71b47e9f511fe99f458c38
31,Tikkkzz,46,31:49.8,9fbc458e8a93faac1017da4e0e22b47ecb0115bf9a108e3a
32,800 miles,46,31:50.8,9fbb448cd8c5afac4d108f480d75e575c40c48b8cb17df3b
33,906267928,46,31:51.8,9fbb46da8d90fea51f45da4c0a22e0779d011bbc9917de6d
34,mendoukusai,46,31:52.5,9fbc4683d796ffac1f17dc425677b324ce041db5cd198d30
35,Altang,46,31:55.6,9fbc16898cc2ffa01914db4c5877ee73c90d19e9cc12d93e
36,Huse,46,32:00.4,9fbd42de899facad4c46dd4d0e76e675c40215ef96108e69
37,Lazy Cat,46,32:03.2,9fbf468ddcc2f1f64e40884c0b73e477ce0c1bbf9d108e39
38,20444,46,32:03.8,9fbb43888e9faaa41f118b435972e574cc0d4cba9b44d96e
39,guapihou,46,32:05.2,9fbb11d88dc0f8f71843874b5d27b52298014bb9ca468a6d
40,megumi,46,32:07,9fbb148f89c4aaad4d44db1a5f21e526cf5118be9817db6c
41,SquashMyMouse,46,32:09.4,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
42,mustangOvO,46,32:10.8,9fbc45da8b95abac10408d4e5920e174cf5118b5ca448c6b
43,2394788106,46,32:17.6,9cea12dddc9ffca24d14db485720e77fca0d4eed99148d3a
44,waiter386,46,32:25,9fbb438ddd90f0f01e40871a5973b722c8524bea9e198a3e
45,Player,46,32:27.5,9fbc438ed993fda54b4ade495773e625cf0549e8cc14dd3b
46,Lionheart233,46,32:34.7,9ce945ded990f1ad11468c425d22e3229d561bbccc16de6e
47,Yuinnna,46,32:35.3,9fbf438dde9ef8ac1b4a86180a73e6229d0114b8cf178a6b
48,Hachey,46,32:37.8,9cea12888c94adf04942884f5b77e1739d0715b8cb46dc31
49,JackyL love ZZ,46,32:54.7,9cec4688d69efdad1d4bde1a5677e125ca0648ef9e168e3a
50,Peng_Xing,46,33:01,9fbb44dfddc3feac1c428e195721b376cc061bbf9e108b3e
51,hangmoumou,46,34:17.4,9fbb44dddf94aca5194b8f1e5772b770cb0114bc9f10896b
52,zhiyu,47,29:05.2,9fbf12dfd8c3fdf41940871a597be5769e0c4ebb9710893e
53,lyt2228,47,31:08.6,9fbb4388df91f1f64916dc4e5670e074ce0119bb9d448d3c
54,CuteAnimeGirl,48,32:23.5,9fbe45d88bc0fff14b458c4b0b77e0219f0d19e89b14da3b
55,Axyom,48,32:48.8,9ceb158a89c5f1a318478f1e5976e126cd0015bd9f41de39
56,SdEE SpeedRUN%,49,29:47.2,9fbb12deda93f1f01d4a891f5e76e5719e0348e89742df69
57,Kralju,49,31:08.4,9fbf128b89c3fcad1845dc1a5d73e424c9024bbbca148b69
58,goodguyham,50,31:32.7,9fbc1f83dcc0fbf71947de4b0e25e4719e071befcf44de6e
59,fanglincs0828,51,31:42.4,9fbc1f8fd9c5f0f14b40da4a5d71b2719a511dee98178d3d
60,mrsquie,52,32:34.3,9fbe1482d690adac10148e430a25e576ca521fbfc819dc3d
61,Captain-Gunfire,52,32:46.1,9fbc1ed9d8c0fcf11c418f425e25e47f9d024cb89a14d139
62,doudizhu,53,26:43.6,9fbb46ded79ef9f31d40da185b76ee24cc5014e8cf46d039
63,LEEEROOOOOOOY,53,27:51.7,9fbc468bdcc2f8ac4d43de485926ee769f5615bb9e448c39
64,ETL,53,28:12.5,9fbb1ededdc2f9a71f418d495826e2719f054bbc9f18df69
65,WX:zf393414299,53,29:55.3,9fbe438bdfc3fda01917864b0972e272cd511cbc9e188b30
66,PhiX,53,29:59.1,9fbb428e8d91f1a54a138c1e5a21ef24c55715e897418e3d
67,EECKLLP,53,30:01.5,9fbc1ed9dac4fba24910de4e0c26e2239e051cef9e428e6a
68,MrHbaba,53,30:04.4,9fbb11d8dc97f0f71a418c180977e5739d564be9cf108a6b
69,Jinyinqiu,53,30:05.1,9fbd4582de97faa71a168f425676e67f985119ee9943de3a
70,Erguna,53,30:06.9,9fbb4683de9faff11a41db1a0b72b426c50415bb9817d130
71,QiangGe98787,53,30:10.8,9fbc45898ac7faa2491787185877b726ca564bbf9f19dd69
72,happyyy,53,30:12.5,9cea41de89c5fba749108f4d0974e5769f571db5cf19dd3d
73,bcxmf,53,30:14.8,9fbb43838bc7f0f01d168b185a74e4739d0748b5cc188a6e
74,lemu0202,53,30:15.6,9fbb44dfdfc2fba749168a4c5871ee76995149b59a42d86d
