Placement,Name,Score,id
1,MrPietrek :),25,17:59.2,9ced1589d997fca24c16dc1e5c25e221c8511bbecc13dd38
2,YT: ZT BTD6,25,21:38.4,9fbc178bdfc5faa04c45de4d587be77fc4061fbec8128c3c
3,W,25,26:01.7,9cee418ddd90f9a34a458e4d5e25e47fcb021db598188c3d
4,FeedMePi314,26,24:18.7,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
5,Hyperion,27,18:39,9cec108bddc0fba04d47de1d5a25b372c90c4bbfcd44de69
6,Chicken :),27,19:27.9,9ce9158fdec0f9ac1a17dc495a27e1749f0315be9844db3d
7,sisyphus,27,19:46.8,9fbb428fdd93fbf71114db420e26e273cc501ebccd11dd69
8,Gura,27,20:20.6,9fbd458d8bc5a8a64946de4f5f27b7769a501aedc8418d3e
9,FiatAccompli,27,20:51.4,9ce941d88a9faba41e4add4e5f71e421cc0c4bb496448a31
10,Lionheart233,27,21:12.4,9ce945ded990f1ad11468c425d22e3229d561bbccc16de6e
11,Lunne,27,21:18.9,9ced15d88e95faf7104b8b1d0d7bef70cd571bbacc418c30
12,SuperPhoenix13,27,21:20.5,9fbb10888e97aca24d13861f597be77e98561fef98448d6a
13,Antonio,27,21:21.3,9fbb44d98bc4aff010478e485c25e77ecc0c1bb59d43da6b
14,SquashMyMouse,27,21:22.4,9cb61fde8ec7fca34e148d4a0977b524cc5519bbcf42d83f
15,Calone,27,21:27.4,9cb910df8e9ffda119408d4a5e27b726cf004eea9846d13d
16,Boi,27,21:30.6,9fbe418a8a96fcf319118c185f76e47f9d0d4fbf9d42df31
17,Ayeccs,27,21:31.2,9ced158ad6c7abf74d408e1e5f22b424cd0148b99a43dc3f
18,Monster,27,21:35.8,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
19,Sk8FastEatA55,27,21:38.1,9ce91fded7c0f1a31c11861a0d73e37fcc554ee9c8158d3f
20,yoshilikesbeans,27,21:40.1,9fbc1ed989c5fcf04a4587485627e47e9a074eea9b42d131
21,Superjombombo,27,21:48.4,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
22,Dawxdio,27,22:09.6,9fbb42dad993aba21b47de4c5877b4779a561fba9946da31
23,Dakota Jackson,27,22:15.7,9ced428adcc2fdac4b14db4c0b74e275cc554fbeca19df30
24,IcePhoenix3801,27,22:18,9cec428c8a96aff44c4a891a0a75b022c9004ebe9715dc6d
25,Bobett10,27,22:21.2,9ceb438bdd94abf61c148e1d097ae271c50348ed9843d131
26,Mathys,27,22:22.6,9fbe168cdbc7f9ac4e138e4a5971e472990248ef9b12dd3c
27,Benji,27,22:23.4,9fbd1589d790f9f71111d94c5d75e623cc504cbccc45db3b
28,EvilBxnny,27,22:23.6,9cea11898b97f9a21f45d91d097ae7709a031fb49818d16d
29,Mugsy,27,22:23.6,9cec458ddac7f9a41814db190e25e17eca0348b8cc178d3d
30,LongShanks,27,22:24.1,9fbf12dad9c3aaf01d108c1d5e73e07fc8514fbb9716d930
31,RiceandDice,27,22:30,9cb81682d89faaf64a1186195f75b574cc0d19bb9a458c6e
32,Joshi13,27,22:30.4,9fbb4188de9fabf34947db4b5920e073cd064bea9d468d3a
33,Takeshi,27,22:32.4,9fbb14dfd8c4fea04d14881d5622b077c8061cbf9d468a30
34,Huse,27,22:37.4,9fbd42de899facad4c46dd4d0e76e675c40215ef96108e69
35,Mackan Rules,27,22:38,9fbe1e888cc3a8a44b10da425722e777cf041beec8468939
36,Kytoxid,27,22:38,9fbe44dedfc0f8f010408f180d20e27f9a071dbf9f428e69
37,Cloudee,27,22:39.4,9fbb43df8d9ffef71c10da4a0977e075cd001cb89f128a31
38,No_Message,27,22:44.4,9fbd10d8d890f9ad1b4bde430a7ae771c5511ced9e438a3b
39,ban stratshare,27,22:45.1,9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39
40,Muteki Gamer,27,22:45.6,9fbb45ded69ea8f44917d9195e71e124cb0349be9745d06d
41,Westvirginia,27,22:46.9,9fbf1ed98a9efca71e408c185a25e27199524ee99646de3c
42,xererain,27,22:47.6,9ce941888d9ef0a34945d91e0c74e77eca051dbaca108969
43,Aleccrazy,27,22:54.2,9fbf15dad79fa8a74e448d190c7be771ca5749b99914d130
44,Tranqylity,27,22:55.1,9ceb44d9d69efef41e418e1f5b25e32399521fe9cb17df3c
45,doudizhu,27,22:56.4,9fbb46ded79ef9f31d40da185b76ee24cc5014e8cf46d039
46,Cyai,27,23:00,9ced468cdcc3aca64e40dc4d5a72b270ca5215bc9816d93a
47,itex1,27,23:08.8,9ceb438ddfc5ffad1846de420926e073cf034bba9618dc39
