Placement,Name,Score,id
1,animal,37,44:34.7,9fbc1289d6c3ada04916881f5774b574c9021be99f11de3b
2,BTD 6 NO0O0B,38,25:44.7,9cee418f8a93fca01f468d1a5d26ef25cc064be8cb19dd6b
3,FeedMePi314,38,26:34.8,9fbd44ddde91ada31b148e425770e37e99011ebe9615dc3e
4,Feedmepi314,38,32:22.8,9fbf42dddcc7fcad4c11d94a0e7be022cd5214bd9b19dd38
5,pat is stupid,38,32:30.5,9fbf43d9d796aaac1c41de4e5e7be672cc511aeacc138a39
6,HappyJTC,38,34:33.8,9fbc44df8dc5ada14d448b4d5d7be7729d0218bdcf18da31
7,VeDAN,38,38:56.9,9cb612deddc2aaa01910de490b21b524cc5548bd9a16dc6b
8,donkeymule2,38,40:22,9cb943d8d797fea249468e4f5b76b473cc0d1eee9c14d03e
9,ISAB,39,37:12,9cba1eda8ec2aaac4945dd4d0a77b470cc0c1fe89914db38
10,(Katabu),40,30:05.2,9cec1eded894a8a6184a8d420925e575ca5615bacd17d83e
11,bcxmf,40,30:51.8,9fbb43838bc7f0f01d168b185a74e4739d0748b5cc188a6e
12,Superjombombo,40,31:19.1,9cec428cdc9eabf71c13871a0972e47ec8501bee9b42d96c
13,WinZzZ,41,28:41.1,9fbe4183de9ffea24d4b891a0976e171cb054fef9b138d6c
14,Kralju,41,29:22.7,9fbf128b89c3fcad1845dc1a5d73e424c9024bbbca148b69
15,Iceland,41,30:02.8,9fbb10d9d990f0a41943dc185b26e775cc5148b496168e6a
16,chickenshark,41,32:04,9fbe17dfd8c0f8a14d4a8d1e5974e621ca551dbb9843d130
17,Lonely,41,32:40.6,9fbb10ddd793fba71e42da4d5f27e226c90115be9843dc31
18,Arakasi,41,33:05.3,9fbb438f8996abf71040871f0d7be474c8044cea9b44de3c
19,Hachey,41,34:42.4,9cea12888c94adf04942884f5b77e1739d0715b8cb46dc31
20,AOPSUser,41,35:03.1,9ce94182db94fef64d41871f5c26e77eca521defcc198d6e
21,Loxidous,41,36:10.2,9ced43d9dcc2f8f6194bdc1f0925b521cd004cbbc815d93e
22,Hobbit,41,37:01,9fbd1fdfd792ada31d16d94c567be2269f0c4eb5cf108d3a
23,wzymy,42,31:07.7,9fbc1edf8c94abf71c42da1a5c20b7719e074cb5c819896a
24,rtthrd,46,30:16.1,9fbf128edac7fba410178f1e0d21e42198561bee9f11df6d
25,Lo Tormento,46,33:17.7,9fbb438d8e95aca21947da1a5675b326c4514cb5cc18dc69
26,high player,47,29:49.2,9fbc158fda90fff04c4a894d5d25b276cc041bb8cf43dd3b
27,ZungGaaYi,47,32:40,9cea168a8a91abf14a448b1d0c76e77fcc554ce99b108c3c
28,VeJaGE,48,30:39.1,9fbb43d8d8c3faf119448a430e7ae4749e044cb89b168c30
29,SiSCon Raven,49,27:19.2,9fbb428f8d92f0f119138f4d5773e07798001cbd9b16d96b
30,royalor,49,28:00.4,9fbb44d98cc2faa64c17874e0b20e7769f0414e899438e31
31,SynthesisCT,49,28:39.2,9ce9418ad99ea8a74b108d1a5922e77eca0415b59841df6d
32,Andi N,49,31:45.8,9cb91188de9fa8a4184a8e495673b473cc0d4bbbcf138e31
33,adwarfq23,49,33:40.2,9fbb438f8d95adad4a11dc1d5d21e4249f0318ea9841d13e
34,Player,49,37:14.6,9fbc1edf8b9eaca61d4bde435671ef2398001eba9846da3b
35,1779669978,50,34:50.1,9fbd10dedbc3f1f61944dd425b71b3739d574ce8ca138a6e
36,Yukscu,51,26:55.2,9fbb418ad6c2acf64947db4b5920e073cd064bee9a178b30
37,doudizhu,51,27:14.8,9fbb46ded79ef9f31d40da185b76ee24cc5014e8cf46d039
38,UsmellikeFish,51,30:42.5,9fbc458c8ac2adf64b4589430d21e37ece0214bb9e14d03c
39,FiatAccompli,52,29:00.9,9ce941d88a9faba41e4add4e5f71e421cc0c4bb496448a31
40,mendoukusai,52,29:50.3,9fbc4683d796ffac1f17dc425677b324ce041db5cd198d30
41,Just a noob,53,26:52.1,9ced1283d892faa24b47db180c71e270cb0115bb9713d030
42,PlayerAE,53,28:13.5,9fbc46898cc7f1a71e168a4f0a26b077990d4fe8cb458b3c
43,buluberi,53,31:21.7,9fbb44ded690aba41141de4c0b75b7269a5615b49d448c30
44,Player_0,53,32:49.4,9ce942ded897fead1c42dc4a0a7ae77ecb071aba99458d69
45,Jakilip,53,33:06.6,9ced46dedcc2fdf31b44864b0d76e374ca0c1bef9c14d06e
46,Monkey Star,54,28:56.5,9fba17dd8ec7afa24b10da4d5c7be123c55615bccd188b38
47,VanBummel,54,30:35.7,9fbc4382d794a8a01f458f4c5d25b771ce021ae8ca14dd3c
48,iuueeng,54,31:19,9fbc45dadec2ffa41b13de4e5f7bb3719e5218bb9846d938
49,Tony,54,31:58.5,9fbc428f89c3ffa549428b4d5e70b27ece0c1fed9845d83b
50,Mr.Mouse,54,34:01.4,9fbb1ede8c95fbf01017d94f5b7ab372cd001fbfcb41db3c
51,VioletHero1760,55,25:32.3,9fbc1e8c8d94fdf31046dc185e26b526c4574cbb9713dc3d
52,Player,55,27:04.4,9fbb118b8ec3aaf34e4286185e71e1739e0618ed9912dd6e
53,unarmedstars,55,28:35,9fbc1edddfc2fef11b40de1d0b71e170c90d14ea9a44d86b
54,EECKLLP,55,29:36.7,9fbc1ed9dac4fba24910de4e0c26e2239e051cef9e428e6a
55,damage4396,55,29:54.9,9fbc118b8bc3ffa71c4b88180b25e426995748bccf188c3a
56,guojia123,55,31:17.7,9fbc1283d690ada11142d9185e22e573ca0015b596148969
57,leslee2020,55,32:12.9,9fbb43da89c7aca319458e195c25b472c55019b9cd43db3e
58,amoxianhaha,55,33:27.8,9fbe1482dac0fbad1d4b8f195620e173c90348e99d44d03e
59,rthgrtg,55,33:45.5,9fba138bd692aff74c41de430e7be626cb521fbf9c10d96a
60,Player3565393,55,34:38.1,9fba1288de92f8a549408d195d76b27ec5551be9cf438c69
61,samgo,55,38:48.5,9fbb1f82d9c2aff64c428a4d5870e4749a5018b999198a69
62,Wulihard,56,32:46.8,9fbe12dd8dc7fbf71d478b4c5e25e576c5011aee98428e30
63,plant,59,26:55.5,9fbb428adac4a8f01f448d4d5d7ab3749d571dbaca148b3d
64,IORI,60,27:15.6,9fbb108d8ac2aff14b11dd4c587ab0769a5648e99846dd39
65,James,61,28:23,9ced118edc91fda11a148d1f5c27e321cf031cbfcf15d96a
66,RT.Nino,61,28:50.9,9ceb428f8b91fcf11b14dc4f5926e5769f511db59d138c6b
67,OceanNigel,62,33:23.6,9fbb44dedec2f1a51e448f195721e025cb054bb99916dc38
68,PowerDino3773,63,26:47.4,9fbb1e8dd692f0a61f10864d0d76e470cb014cbd9a468a3e
69,Player,63,27:31.4,9fbb4388d6c3f8f41a4a8a195772e4759f514bb498418c3e
70,Loconch,63,29:56,9fbc42d9d9c5a8ac1e408a4e0d26b5719f014eb49b178c3b
71,Bai_Mao,63,35:25.9,9ce917dfdec0faa11146864c0c27e726cd554be9cc15d939
72,1,63,35:35.8,9ce942898c90fff01b4bdb1e5a7be77f9f071befca128930
73,Aye Tenraku,65,25:19.5,9fba1388df9fada54b42d94e5a22b2249d5518eec8428c39
