Placement,Name,Score,id
1,Deleted Player,35,22:22.3,9fba11888993fca618478c1a0b77ee709a564bb99645da6b
1,Sparky,35,22:22.3,9fbb44dddd90ada51e448f195721e025cb054bb49e45893a
1,BigSwampOwner,35,22:22.3,9cb942ded6c0aca61b16d918587bb426cc0d1cbf96458d38
2,waiter386,43,30:21.6,9fbb438ddd90f0f01e40871a5973b722c8524bea9e198a3e
3,645167251,44,17:13.3,9cea1fdfdb9fffa54c42da490d70e374c5034bb4cb458e6b
3,NINJAKIWI,44,17:13.3,9ceb14d8d99faff01a118a4e5677e725c95719e997108a6e
4,cat,44,19:44.1,9fbb4288df95f0a01f468e1d5c74ef7ec4034be897168c38
4,yanyu,44,19:44.1,9fbc4188d696fcf44a468e1a5a7ab771cb0d4cb8cf128930
5,Makka Pakka,45,28:08.6,9fbb438f89c7f0a64d138d4a5a22ee729f074bbb9a12896b
5,XMF,45,28:08.6,9fbb14ddd8c5ada4114486185622e676cc0149ba9c45d16e
6,Soul,48,21:32,9fbb438dda95f8a54c10d91e0d7bb777c50648ba9a188b39
7,Kronos,54,28:58.6,9cea17ddd8c4a8a21d42881a5820e7709a551bedcf448d3e
7,Monster,54,28:58.6,9cb6178ddcc7f9f01a4a874c5d25e726cc5548be97468b6a
8,i_dont_sab,59,25:35,9fbc43dad7c5fea0104486185b25e2719a0419ea9913dd39
8,ICEMOUNTAINX,59,25:35,9ced11dfd994f8ad1b43de1d5c73ee23c80618be9d438a3d
9,meth head,62,21:21.3,9fbb1f88dcc4f8f01d448b4a5e27b376cc034ebeca178e3e
9,Bloonclapper,62,21:21.3,9fbd41dd89c7abf41f46d91f0a72e47f9f004bb59c11dc3c
9,Courraffe YT,62,21:21.3,9fbd178ad8c3a8f11a138d4b0d76b721cc001ebb96178b3f
10,SigmaWolf,65,17:57.8,9fbd1388d6c0fdf01e13871f5c70ef25c40015be9f438e3c
11,III,66,17:10,9fbd438ed794fea51145884e5a76b77ecc0548bacd45df6e
12,rinko,73,25:23.1,9fbc1edf8e92f0ad1d4bde435671ef2398001eb9c812dd31
12,1224790991,73,25:23.1,9fbd45dfdf9efda410448f490b25e3749f5618b89a168a3f
12,Orange,73,25:23.1,9cec45da8ac2fbf7104b89435621e725cd054bb89b17893d
13,Stulle,83,18:42,9fbe4688899efca31d168e4e0a7be576c50d1fb8cd19de6d
13,RanFujimiyaTTV,83,18:42,9ce9178c8e96aba61a118a1f5f72e425cc0c4bbd9a10d86a
13,Secno,83,18:42,9cee13dd8c94aaf7194b86485f26e371cc5649be9e16893a
14,xiaoyu,89,18:09.5,9fba138f8e92f0f11e148f435727e476cc0019ee9e128930
14,EndP_MuC,89,18:09.5,9fbb42dfd6c2f8f04e16864a0c75ee769d511eb5ca41d938
14,Xie,89,18:09.5,9ce9418adac5afa54b108d1a5922e77eca0415b59a19d130
15,BANANANOMNOM,100,24:17.3,9fbc4189db90aaa44e11861d5675e174cf0d18edcf18df39
15,BananaJC,100,24:17.3,9fbc4189db90f8f418168d435b71e7749a5518e89c178a3a
15,BANANASC,100,24:17.3,9fbc468ddbc5fea54a13881d5972b074ce504cef9716db3b
16,Starlight,111,16:16.2,9fbe11828c96f8a71847871a5777e57699061ebb9e15db31
17,CreatorGDS,112,16:48.4,9fba17d98ac7ffa51c40894d5e7ab274cd0049b899428e31
18,SdEE SpeedRUN%,113,14:51.6,9fbb12deda93f1f01d4a891f5e76e5719e0348e89742df69
19,Tacotown314,116,31:10.9,9ce911dd8a95acac18138a1d5d73e77fcc551eef96128a39
20,not unhomie,121,14:30.5,9fbb44d98c91fba61e45891d5b74e173c9021abb9614db3d
20,unhomie,121,14:30.5,9fbe14838cc3abad1944de1f5e72e17fca074bb59f138d3b
21,Isshiki,130,10:21.9,9fbe10d8d9c2aff71c1489485f76e5769a554bb89f148b3f
22,ALECC,130,15:50.4,9fbb4383d9c5f0a71d168b185a74e4739d0748b4cf43d038
22,RealName,130,15:50.4,9ceb13dfd8c5a8ad1b418f490e77e724980449eec813dc38
22,Kazzoon,130,15:50.4,9ced158c8a91adf04e138c185877e471cd021cbe9c16da6a
23,Teeroy,137,16:19.9,9fba158f8b9ff9a31f448b480e26ee25985149e99941de6b
23,L-Roy,137,16:19.9,9ced4383d99eaba41e168b1f5721e724cf0d15ba9c14dc30
23,doawelul,137,16:19.9,9fba16838c9ef8f01b46dc4a5a20b477c4034fb89844da3d
24,PowerDino302,150,18:56.1,9fbb4683d692fea41c1186430e7be17598041fbb9a428b30
24,sleepiestkevin,150,18:56.1,9fbc468f8d90f0a51045864d5c7be771c9524fb9c819d83d
24,BTD6 in public,150,18:56.1,9fbc12828ac0ada51a17da1f5e75b775ca061dea9c10db69
25,DarkBloodM,157,16:12.1,9ceb428a8cc4f8f64c42de19587be37ec90c15bdcd45d930
25,TARVIS,157,16:12.1,9cb6468cdf93afa21e458e4b0c73b276cc551cb59941893c
26,H,174,10:00.4,9fbb44dfdbc2aaa24a42d91d5a70e175c80c49ba9c10d06c
27,LittleHedgehog,188,16:17.9,9fbb10888c97faa44d13861f597be77e98561fefcd15d03a
27,bananaking9001,188,16:17.9,9fbe468cda90aaf74c4a8d1a5725e024c8051eb99b18df3d
27,UpstartMan9241,188,16:17.9,9cee448b8b92aff41f458a185977b425cf0318b597428b6e
28,XSHshooter,197,14:31.6,9fbb418fd991fcf61c458b4e567ab576cf034eb49e13de31
28,DunGeonMaster,197,14:31.6,9fbb438bda97a8ac4d45d9485e71b7239a0118bf9612d138
